"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","genre_1","genre_2","genre_3","genre_4","genre_5"
"Beautiful War","Kings of Leon","Mechanical Bull (Expanded Edition)","2013-09-24",309920,57,0.0496,0.503,0.588,0.0931,0.0706,-10.569,0.0449,62.302,9,1,309920,0.367,4,"modern rock","rock",NA,NA,NA
"Stubborn Love","The Lumineers","The Lumineers (Deluxe Edition)","2012",279000,70,0.604,0.596,0.544,0.017,0.262,-11.759,0.0362,115.022,0,1,279000,0.262,4,"folk-pop","modern rock","stomp and holler",NA,NA
"Iris","The Goo Goo Dolls","Dizzy up the Girl","1998-09-11",289533,86,0.00125,0.315,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,11,0,289533,0.497,3,"neo mellow","permanent wave","pop rock","post-grunge",NA
"Somewhere Only We Know","Keane","Hopes And Fears","2004-05-10",237146,87,0.06,0.448,0.665,2.55e-05,0.0828,-4.203,0.026,172.004,9,1,237146,0.304,4,"neo mellow","piano rock","pop rock",NA,NA
"Comeback Story","Kings of Leon","Mechanical Bull (Expanded Edition)","2013-09-24",239053,58,0.0262,0.464,0.738,0.00202,0.143,-7.304,0.0413,119.764,9,1,239053,0.369,4,"modern rock","rock",NA,NA,NA
"Human","The Killers","Day & Age (Bonus Tracks)","2008-11-18",245373,77,0.00132,0.557,0.8,0.0012,0.0906,-8.477,0.0601,135.47,10,1,245373,0.582,4,"alternative rock","dance rock","modern rock","permanent wave","rock"
"Mr. Brightside","The Killers","Hot Fuss","2004",222973,87,0.00121,0.352,0.911,0,0.0995,-5.23,0.0747,148.033,1,1,222973,0.236,4,"alternative rock","dance rock","modern rock","permanent wave","rock"
"How to Save a Life","The Fray","How To Save A Life","2005-09-13",262533,81,0.269,0.64,0.743,0,0.101,-4.08,0.0379,122.035,10,1,262533,0.361,4,"neo mellow","piano rock","pop","pop rock",NA
"Afraid","The Neighbourhood","I Love You.","2013-04-19",251186,76,0.00892,0.464,0.701,0.309,0.335,-5.693,0.0411,83.996,6,0,251186,0.356,4,"modern alternative rock","modern rock","pop",NA,NA
"Cry Baby","The Neighbourhood","Wiped Out!","2015-10-30",235160,75,0.00269,0.581,0.656,2.78e-06,0.101,-4.891,0.0294,108.033,4,0,235160,0.338,4,"modern alternative rock","modern rock","pop",NA,NA
