"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Faking Love (feat. Saweetie)","Anitta","Faking Love (feat. Saweetie)","2021-10-14",148577,58,0.0368,0.904,0.564,0,0.054,-4.779,0.121,133.029,0,1,148577,0.843,4,"3V7jLMYvvg4BHi4tmDveNc","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","2022-05-06",182906,80,0.0777,0.801,0.601,3.23e-05,0.145,-7.574,0.255,159.969,8,0,182906,0.74,4,"0hquQWY3xvYqN4qtiquniF","dance pop","pop",NA,NA,NA,NA
"OJALÁ","Maria Becerra","OJALÁ","2022-06-01",160482,69,0.133,0.798,0.629,5.06e-06,0.103,-4.393,0.0729,92.018,1,0,160482,0.362,4,"1uGdRSOpObu3lp0jvrVREl","pop argentino",NA,NA,NA,NA,NA
"Happier Than Ever","Kelly Clarkson","Kellyoke","2022-06-09",254725,46,0.233,0.361,0.461,0,0.0971,-6.435,0.0599,162,7,0,254725,0.183,3,"3jAj05GZHIGVkJTA4WRau5","dance pop","pop","talent show",NA,NA,NA
"Boys Don't Cry","Anitta","Boys Don't Cry","2022-01-27",136011,62,0.00178,0.589,0.842,0,0.113,-4.86,0.0372,164.163,5,1,136011,0.657,4,"35COLcFjvONwVv6jkG23gI","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"DESPECHÁ","ROSALÍA","DESPECHÁ","2022-07-28",157017,81,0.184,0.919,0.623,1.63e-05,0.0609,-6.521,0.0992,130.037,7,1,157017,0.775,4,"5ildQOEKmJuWGl2vRkFdYc","latin viral pop","pop","r&b en espanol",NA,NA,NA
"AUTOMÁTICO","Maria Becerra","AUTOMÁTICO","2022-09-08",175317,72,0.0911,0.68,0.808,2.23e-06,0.205,-3.854,0.224,176.131,10,0,175317,0.868,4,"3Ne5uYDFzHEFYAPbaBMIck","pop argentino",NA,NA,NA,NA,NA
"Fair","Normani","Fair","2022-03-18",184012,59,0.673,0.721,0.364,5.4e-05,0.105,-7.81,0.0483,94.098,5,0,184012,0.4,4,"1SlGaBvTqX0gb24ouXonOo","pop","r&b",NA,NA,NA,NA
"Favela chegou","LUDMILLA","Hello mundo","2019-08-09",160962,49,0.612,0.669,0.9,0.000157,0.637,-5.472,0.111,149.901,1,0,160962,0.749,4,"7hpa8WPLkkSmpSHwls3FWt","funk carioca","funk pop","funk rj","pagode baiano","pop nacional",NA
"SAOKO","ROSALÍA","MOTOMAMI","2022-03-18",137533,71,0.79,0.827,0.768,2.45e-05,0.497,-5.702,0.265,99.988,0,1,137533,0.734,4,"2FYGZDfsAnNsrm1gVbyKnG","latin viral pop","pop","r&b en espanol",NA,NA,NA
