"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"Televendite di quadri","Post Nebbia","Canale Paesaggi","2020-10-23",265500,39,0.0658,0.513,0.724,0.0208,0.415,-5.945,0.0323,78.995,10,0,265500,0.707,4,"2sRuOQ3fg1EGzzcuBgohJX","indie veneto","italian indie pop",NA,NA,NA,NA,NA
"Oh! Battagliero","CCCP – Fedeli Alla Linea","Enjoy CCCP (2008 Remastered Edition)","2008-01-01",176703,36,0.0435,0.856,0.399,0,0.0704,-8.86,0.0653,133.469,5,1,176703,0.604,4,"5GyS0X0Hh8XZvp88kKEf2b","italian alternative","italian new wave","italian punk",NA,NA,NA,NA
"Agitations tropicales","L'Impératrice","Odyssée - EP","2015-10-12",248892,68,0.564,0.76,0.401,0.259,0.0977,-9.537,0.0674,115.989,1,0,248892,0.619,4,"2La21GqU4fKTQLcfLxTeoz","french indie pop","french indietronica","french synthpop",NA,NA,NA,NA
"Glow","Alice Phoebe Lou","Glow","2021-03-19",165412,57,0.0427,0.58,0.573,0,0.0811,-5.345,0.0314,86.699,6,1,165412,0.502,4,"7wR04K3JSaRJPO3D0f5fnx","south african alternative",NA,NA,NA,NA,NA,NA
"Porsi","Marco Castello","Contenta tu","2021-02-05",203624,27,0.706,0.613,0.584,0,0.101,-7.831,0.0519,164.963,0,1,203624,0.677,3,"3KXbpUBX5UO78gbHkpNVX2",NA,NA,NA,NA,NA,NA,NA
"Acida","Prozac+","Acidoacida","1998-01-01",157466,54,0.000194,0.488,0.914,0.00231,0.0712,-7.531,0.0539,174.396,9,0,157466,0.55,4,"00NIByhDqGWbptOjm0dU4f","italian alternative","italian indie pop","italian pop punk","italian punk","punk rock italiano",NA,NA
"Il cielo in una stanza","Franco Battiato","Fleurs 3","2002-08-30",191106,28,0.447,0.379,0.379,0.000164,0.17,-8.655,0.0272,87.113,4,1,191106,0.47,3,"2T9iPrDt8BMgsB364Egqzn","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
"Ti voglio","Ornella Vanoni","Io Fuori","1977-01-01",349462,51,0.0263,0.632,0.727,0.000114,0.32,-7.341,0.05,118.253,7,0,349462,0.824,4,"5Z8A2y3IxNvkRzEMxWu01u","classic italian pop","italian adult pop",NA,NA,NA,NA,NA
"Silvano","Enzo Jannacci","No, Tu No","1997-09-29",249666,33,0.384,0.563,0.574,0,0.0528,-11.784,0.0849,149.054,0,1,249666,0.873,4,"3I7L6Ca7ytWMa5skyB60Xs","canzone d'autore","classic italian pop","folk rock italiano","italian adult pop","musica lombarda",NA,NA
"Gli uomini celesti - Ripresa","Lucio Battisti","Anima latina","1974",52480,27,0.462,0.508,0.324,1.04e-05,0.566,-11.755,0.0559,131.74,4,0,52480,0.961,4,"1iEwBfk9vzmnWQdqgXDTrQ","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA
"Luca","Marco Castello","Contenta tu","2021-02-05",236949,23,0.639,0.783,0.471,0.00425,0.0916,-7.988,0.0479,89.146,11,1,236949,0.698,4,"01u3pUiw1i912kxJqrx1Et",NA,NA,NA,NA,NA,NA,NA
"Witches","Alice Phoebe Lou","Witches","2020-03-13",195078,66,0.0296,0.576,0.719,4.95e-06,0.169,-5.749,0.0584,73.122,8,1,195078,0.73,4,"5BBK1WoaiD3b3sJ2UysLuM","south african alternative",NA,NA,NA,NA,NA,NA
"La Torre - 2008 Remaster","Franco Battiato","L'Arca Di Noè (2008 Remastered Edition)","1982",219013,23,0.321,0.633,0.702,1.17e-05,0.647,-8.82,0.0561,145.808,11,0,219013,0.546,4,"7sMp10lavsai2jnHsKPxoz","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
"Due mondi","Lucio Battisti","Anima latina","1974",311760,39,0.183,0.551,0.707,0.000199,0.319,-11.299,0.0726,107.973,0,1,311760,0.619,4,"3QQAvzgnH8fRwMO3SC2okL","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA
"Torpi","Marco Castello","Contenta tu","2021-02-05",252159,31,0.194,0.72,0.586,0.000651,0.149,-7.235,0.0383,128.15,0,1,252159,0.691,4,"3Y1MnksvtISml5GDgrooTe",NA,NA,NA,NA,NA,NA,NA
"Only When I","Alice Phoebe Lou","Glow","2021-03-19",231786,52,0.573,0.704,0.272,1.63e-05,0.122,-8.758,0.0582,106.028,7,1,231786,0.345,4,"0ZzElIB9iulNYwycFVPXdl","south african alternative",NA,NA,NA,NA,NA,NA
