"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"Threesome","Canova","Threesome","2017-05-26",211486,47,0.0409,0.529,0.896,0,0.076,-4.084,0.0697,127.935,9,1,211486,0.451,4,"1uJlpcJU3IgM5pMxXWccz0","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nostalgia","BLANCO","Nostalgia","2022-06-02",182307,64,0.0372,0.644,0.904,0,0.0767,-3.749,0.0605,130.061,0,1,182307,0.562,4,"22gH5Qg5j5ZzF7LaR7Nrkj","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THATS WHAT I WANT","Lil Nas X","MONTERO","2021-09-17",143901,83,0.00614,0.737,0.846,0,0.0486,-4.51,0.22,87.981,1,0,143901,0.546,4,"0e8nrvls4Qqv5Rfa2UhqmO","lgbtq+ hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Io non abito al mare","Francesca Michielin","2640","2018-01-12",192626,53,0.273,0.442,0.709,5.38e-06,0.092,-5.236,0.134,72.434,0,1,192626,0.309,4,"2awDnmL1D9cyIJFVruAQcF","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cigarette Daydreams","Cage The Elephant","Melophobia","2013-10-08",208760,77,0.0807,0.636,0.676,0,0.0831,-3.442,0.0263,113.98,2,1,208760,0.273,4,"6jHvX8ZnHKC1PnrPMJ0Emt","modern alternative rock","modern rock","pov: indie","punk blues","rock",NA,NA,NA,NA,NA,NA,NA,NA
"Sundress","A$AP Rocky","Sundress","2018-11-20",158205,80,0.181,0.721,0.707,3.68e-06,0.143,-6.364,0.0595,125.005,6,1,158205,0.743,4,"2aPTvyE09vUCRwVvj0I8WK","east coast hip hop","hip hop","rap","trap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stelle","Fabri Fibra","Caos","2022-03-18",186106,47,0.00323,0.638,0.921,0,0.185,-4.428,0.112,120.004,8,0,186106,0.621,4,"66AUa1k42pssdUkFCDOhC8","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Magnifico (feat. Francesca Michielin)","Fedez","Pop-hoolista","2014-10-14",203746,63,0.3,0.675,0.686,0,0.108,-7.927,0.0542,92.027,0,1,203746,0.359,4,"3DmjHN1btW4dRtgwm7FdO2","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pensando a lei","Shiva","Pensando a lei","2022-02-11",176245,59,0.0551,0.79,0.68,0,0.0761,-6.787,0.223,143.046,1,1,176245,0.61,4,"4Yi4RRhp3nfKR1FDbXlHBp","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIORNATE NOIOSE","ARIETE","SPECCHIO","2022-02-24",156306,42,0.0324,0.611,0.622,0,0.248,-5.132,0.0273,94.998,0,0,156306,0.703,4,"1NtpWsXJY3b2Cmmu2wWmQH","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seignosse","Rhove","Seignosse","2022-02-18",176426,55,0.192,0.919,0.591,8.22e-06,0.1,-5.668,0.245,104.959,10,0,176426,0.159,4,"1aHWdsWQooVkRhZL2oU8m2","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Presa B e La Presa Male (feat. Francesca Michielin)","Bresh","ORO BLU","2022-03-04",195452,47,0.362,0.699,0.473,0,0.11,-8.033,0.0772,86.502,5,1,195452,0.0983,4,"16TaDfuh9aueJJY96mFdXw","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camelot","Leon Faun","C'era una volta","2021-06-24",129427,46,0.0139,0.436,0.837,0,0.141,-5.228,0.0872,140.413,1,1,129427,0.604,4,"4i1qmWjOWq2VP1janRNBVv","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIORI MORTI","PSICOLOGI","TRAUMA","2022-04-28",136313,52,0.12,0.46,0.76,0,0.261,-5.729,0.131,175.968,1,1,136313,0.642,4,"0Yoizi4nA5CE4d52jRwvld","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUTTO (con te)","ARIETE","TUTTO (con te)","2022-06-16",178660,48,0.259,0.72,0.72,0,0.184,-5.871,0.0722,124.002,6,1,178660,0.424,4,"08Hacl2rWl6GD6TKUyaKIy","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marciapiede (con Tony Effe, Ernia & Rkomi)","Night Skinny","Botox","2022-10-04",156827,46,0.264,0.48,0.569,0,0.317,-7.514,0.187,87.115,2,0,156827,0.32,4,"73vDLslbbGUsK4MvX99pWQ","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Come le balene","Postino","Latte di soia","2018-07-06",226440,28,0.615,0.381,0.703,2.28e-06,0.149,-6.018,0.0516,92.016,10,1,226440,0.149,4,"35VdWbXXNZ0t0zlU0IK4V5","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUI MURI","PSICOLOGI","TRAUMA","2022-04-28",181529,60,0.739,0.422,0.477,0,0.255,-8.12,0.0384,76.183,11,1,181529,0.39,4,"1pz0bN7LWZZLTx5odixW7a","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
