"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Dolcenera","Fabrizio De André","Anime Salve","1996-10-17",51,0.177,0.68,0.492,5.63e-05,0.201,-8.359,0.0436,125.827,11,0,297786,0.595,4,"1DFFUsN49AUonUcTiQNnjI","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Message In A Bottle","The Police","Reggatta De Blanc (Remastered 2003)","1979-10-02",79,0.0338,0.577,0.808,1.33e-05,0.221,-7.04,0.039,151.008,1,0,290280,0.869,4,"1oYYd2gnWZYrt89EBXdFiO","album rock","classic rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"The Passenger","Iggy Pop","Lust For Life","1977-08-29",74,0.0947,0.498,0.889,1.62e-06,0.733,-5.413,0.0546,134.88,0,1,283360,0.696,4,"15BQ7vEDv2LJuh8TxWIhtd","alternative rock","glam rock","permanent wave","protopunk","rock",NA,NA,NA,NA,NA
"Ho Visto Un Re","Enzo Jannacci","Enzo Jannacci - I Miti","2000-09-01",45,0.485,0.745,0.61,0,0.344,-9.333,0.309,139.304,2,1,239906,0.897,4,"2ZVohWP6HSpLeoXGvcQWgh","canzone d'autore","classic italian pop","folk rock italiano","italian adult pop","musica lombarda",NA,NA,NA,NA,NA
"Canzone intelligente","Cochi e Renato","Finchè c'è la salute (Deluxe Edition)","2007-02-16",35,0.316,0.719,0.774,0,0.206,-3.792,0.0377,135,0,1,164186,0.936,4,"5pHxNnUvlzYsJc9WI4irxv","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parallel Universe","Red Hot Chili Peppers","Californication (Deluxe Edition)","1999-06-08",66,0.00107,0.343,0.983,0.296,0.0708,-2.359,0.212,124.536,0,0,269360,0.186,4,"1Se0r96r0gnqg67kJPmESc","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA,NA,NA
"Society","Eddie Vedder","Into The Wild (Music For The Motion Picture)","2007-09-18",70,0.902,0.561,0.327,0.000469,0.111,-10.835,0.0327,161.858,11,0,236306,0.298,4,"3bHhUEOTIbezeZ856R0BX5","acoustic rock","grunge","permanent wave",NA,NA,NA,NA,NA,NA,NA
"Calypso Blues","Calypso Rose","So Calypso !","2018-05-25",55,0.0604,0.946,0.49,4.79e-05,0.0468,-7.989,0.0901,129.947,2,0,260120,0.768,4,"26Myj8FOTQdBMqfSUCwfzB","calypso","trinidadian reggae",NA,NA,NA,NA,NA,NA,NA,NA
"La ballata del Miché","Fabrizio De André","Volume 3","1968",45,0.331,0.372,0.31,0,0.0432,-13.369,0.127,199.772,6,0,172213,0.556,3,"6BJNuw4us7jjIpJHFWbeKh","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Boom Boom","John Lee Hooker","Burnin'","1962-01-01",63,0.62,0.441,0.455,0.00187,0.135,-14.207,0.0485,160.9,10,1,152350,0.918,4,"2Mr1bGI2E10K7Mt1UJZ6Mw","blues","blues rock","british blues","delta blues","electric blues","memphis blues","traditional blues",NA,NA,NA
"Brucia marcio brucia","Mondo Marcio","Cose dell'altro Mondo Marcio (Special Edition)","2013-06-25",22,0.396,0.627,0.675,0,0.339,-6.331,0.258,91.744,9,0,274746,0.428,4,"6VOutD4s9NIoZDRrHS7d5d","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Butterfly Knife","Noyz Narcos","Non Dormire","2005-01-01",56,0.573,0.695,0.759,0,0.0726,-4.746,0.498,91.445,4,0,231266,0.748,4,"4vYvY3M4ZtJrS03KqtjYUv","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Telegraph Road","Dire Straits","Love Over Gold","1982-09-20",60,0.0152,0.381,0.59,0.464,0.169,-10.108,0.0321,123.272,2,0,858133,0.282,4,"0Bg100ruK1ZD7H96rNo6fR","album rock","classic rock","mellow gold","rock",NA,NA,NA,NA,NA,NA
"Shake a Tail Feather (feat. Ray Charles)","The Blues Brothers","The Blues Brothers Original Motion Picture Soundtrack","1980",55,0.444,0.664,0.8,0.000711,0.113,-7.376,0.0805,159.351,2,1,170733,0.898,4,"4L2laOh04x7g7WjEtY8PkZ","blues","blues rock",NA,NA,NA,NA,NA,NA,NA,NA
"Dentro a un sogno - 2022 Remastered","Mondo Marcio","Mondo Marcio (2022 Remastered)","2004-05-01",28,0.0812,0.747,0.592,3.34e-06,0.166,-5.325,0.22,84.005,7,1,246626,0.472,4,"6JblEbaoSSj5gP3p2KEPnx","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster","Pink Floyd","Wish You Were Here (Remastered Version)","1975-09-12",66,0.738,0.27,0.214,0.661,0.117,-15.779,0.029,135.869,7,0,810293,0.0445,3,"32dnKMni3I3gwUbWp4mi45","album rock","art rock","classic rock","progressive rock","psychedelic rock","rock","symphonic rock",NA,NA,NA
"Sultans Of Swing","Dire Straits","Dire Straits","1978-10-07",84,0.0614,0.733,0.794,0.0367,0.33,-10.023,0.0307,148.174,5,1,348400,0.931,4,"37Tmv4NnfQeb0ZgUC4fOJj","album rock","classic rock","mellow gold","rock",NA,NA,NA,NA,NA,NA
"Days Are Forgotten","Kasabian","Velociraptor!","2011",30,0.0013,0.588,0.96,0.000306,0.135,-5.216,0.0933,105.009,9,1,302613,0.321,4,"4KWdechHPcWx4NOjb0ICk6","britpop","garage rock","leicester indie","modern rock","rock",NA,NA,NA,NA,NA
