"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"House of the Rising Sun","The Animals","The Singles Plus","1987-10-19",77,0.000334,0.316,0.484,0.00445,0.0912,-9.11,0.0308,117.363,9,0,269906,0.299,3,"4mn2kNTqiGLwaUR8JdhJ1l","album rock","british invasion","classic rock","hard rock","protopunk","psychedelic rock","rock",NA,NA,NA
"Sea Shanty Medley","Home Free","Sea Shanty Medley","2021-03-19",65,0.253,0.561,0.692,0,0.125,-5.71,0.0551,140.554,4,1,234362,0.898,4,"5mkoR8mVrEwpDQc9y54sM2","a cappella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rushing Water","Sting","The Bridge (Deluxe)","2021-11-19",48,0.0229,0.792,0.723,0,0.407,-3.862,0.117,125.094,11,1,197808,0.925,4,"3M9TxdnduVdqxf3D7kTcX5","permanent wave","soft rock","sophisti-pop",NA,NA,NA,NA,NA,NA,NA
"Man On The Moon","R.E.M.","Automatic For The People","1992-10-05",71,0.42,0.667,0.699,0.000442,0.201,-7.574,0.026,118.567,7,1,314173,0.655,4,"4jLv3tDBu8ww2R07DvL12s","alternative rock","athens indie","permanent wave","rock",NA,NA,NA,NA,NA,NA
"Inverno","Fabrizio De André","Tutti Morimmo A Stento","1968",41,0.837,0.374,0.277,0.0132,0.0901,-13.216,0.0288,65.383,9,0,251186,0.266,4,"7bnnu8bfcHxRh1WC0FMXjX","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Superstition - Single Version","Stevie Wonder","The Definitive Collection","2002-10-29",79,0.038,0.633,0.634,0.0064,0.0385,-12.115,0.0725,100.499,8,1,245493,0.872,4,"1h2xVEoJORqrg71HocgqXd","motown","soul",NA,NA,NA,NA,NA,NA,NA,NA
"Just the Two of Us (feat. Bill Withers)","Bill Withers","Lean on Me: The Best of Bill Withers","1994-08-09",68,0.597,0.793,0.386,0.31,0.0775,-13.413,0.0819,95.819,10,0,237373,0.584,4,"2tH28YyKYOldxhuBHoI79M","classic soul","funk","quiet storm","soul",NA,NA,NA,NA,NA,NA
"Psycho Killer - 2005 Remaster","Talking Heads","Talking Heads '77 (Deluxe Version)","1977-09-16",81,0.0708,0.721,0.521,0.00545,0.127,-8.123,0.0613,123.118,2,1,261413,0.942,4,"1i6N76fftMZhijOzFQ5ZtL","alternative rock","art punk","dance rock","funk rock","new wave","permanent wave","post-punk","rock","zolo",NA
"I'm a Believer - 2006 Remaster","The Monkees","More of The Monkees (Deluxe Edition)","1967-01-09",77,0.707,0.526,0.775,2.05e-05,0.217,-6.05,0.0352,80.106,0,1,167373,0.962,4,"3G7tRC24Uh09Hmp1KZ7LQ2","album rock","beatlesque","bubblegum pop","classic rock","folk rock","mellow gold","rock-and-roll","singer-songwriter","soft rock","sunshine pop"
"Clandestino","Manu Chao","Clandestino","1998-10-06",67,0.469,0.68,0.594,0,0.431,-6.417,0.0688,85.04,6,0,149173,0.774,4,"51R2M1JgyFfRS3e6v5wCt3","latin alternative","world",NA,NA,NA,NA,NA,NA,NA,NA
"Il bombarolo","Fabrizio De André","Storia Di Un Impiegato","1973-11-25",47,0.615,0.712,0.303,3.58e-05,0.283,-12.07,0.0436,116.213,9,0,259680,0.76,4,"2zT6ahvNZgrXu2MWi0h5LG","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Hallelujah","Jeff Buckley","Grace","1994",72,0.931,0.324,0.136,0.00117,0.176,-10.33,0.0318,97.256,0,1,413826,0.0831,3,"3pRaLNL3b8x5uBOcsgvdqM","melancholia","permanent wave","singer-songwriter",NA,NA,NA,NA,NA,NA,NA
"Faceva Il Palo","Enzo Jannacci","Enzo Jannacci - I Miti","2000-09-01",29,0.558,0.537,0.663,0,0.259,-8.375,0.0995,100.357,5,1,230893,0.757,4,"5QO0eCa3yhpqaeYM0BErUO","canzone d'autore","classic italian pop","folk rock italiano","italian adult pop","musica lombarda",NA,NA,NA,NA,NA
"Chop Suey!","System Of A Down","Toxicity","2001-09-04",86,0.000278,0.417,0.934,0.0015,0.132,-3.908,0.119,127.066,7,0,210240,0.287,4,"2DlHlPMa4M17kufBvI2lEN","alternative metal","nu metal","rap metal","rock",NA,NA,NA,NA,NA,NA
"La Grange - 2005 Remaster","ZZ Top","Tres Hombres (Expanded 2006 Remaster)","1973-07-26",78,0.00249,0.545,0.64,0.0304,0.196,-9.937,0.224,80.544,4,0,230480,0.606,4,"70YvYr2hGlS01bKRIho1HM","album rock","blues rock","classic rock","hard rock","rock",NA,NA,NA,NA,NA
"Il bevitore longevo","Duo bucolico","Bucolicesimo","2011-06-02",40,0.854,0.663,0.5,0,0.614,-6.07,0.194,141.126,7,1,211000,0.942,4,"79xPbo9kMiOGcwjubf7IKt","italian reggae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunday Morning","The Velvet Underground","The Velvet Underground & Nico 45th Anniversary","1967-03-12",67,0.0869,0.506,0.442,0.00239,0.0846,-13.268,0.0276,105.826,5,0,175893,0.532,4,"11607FzqoipskTsXrwEHnJ","alternative rock","melancholia","permanent wave","protopunk","rock",NA,NA,NA,NA,NA
"Ballata degli impiccati","Fabrizio De André","Tutti Morimmo A Stento","1968",33,0.826,0.473,0.371,0.00153,0.114,-13.155,0.0388,101.767,11,0,263146,0.445,4,"4IenJlYjR244s4A6ugr1MI","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Live Is Life - Live","Opus","Millennium Edition","1998-01-01",60,0.195,0.624,0.925,1.33e-06,0.98,-6.004,0.0532,93.705,9,0,257306,0.596,4,"5AUByBgSqf3a9Sgtp142D2","austropop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psycho","Muse","Drones","2015-06-04",69,0.00114,0.555,0.883,0.041,0.868,-3.426,0.0341,125.02,2,1,316717,0.507,4,"383QXk8nb2YrARMUwDdjQS","alternative rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"Toxicity","System Of A Down","Toxicity","2001-09-04",84,0.000264,0.413,0.873,0.00249,0.204,-4.151,0.0536,116.68,8,1,218933,0.48,3,"0snQkGI5qnAmohLE7jTsTn","alternative metal","nu metal","rap metal","rock",NA,NA,NA,NA,NA,NA
"Cantina Band","John Williams","Star Wars: Una Nuova Speranza (Colonna Sonora Originale)","1977-01-01",29,0.255,0.699,0.419,0.0239,0.0471,-15.133,0.134,131.629,0,1,164306,0.822,4,"0xaKXu7U3826ib9Jz1RKIj","orchestral soundtrack","soundtrack",NA,NA,NA,NA,NA,NA,NA,NA
"S'i' fosse foco","Fabrizio De André","Volume 3","1968",45,0.707,0.556,0.509,3.14e-06,0.111,-9.887,0.044,152.492,4,1,73346,0.963,3,"5UEnvmALaG4BWRm8TBORFQ","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Sanatoria","Noyz Narcos","Non Dormire","2005-01-01",46,0.0569,0.926,0.67,0,0.133,-5.144,0.26,93.989,9,1,256013,0.854,4,"3gZYR7Tg5YFTxe2HFA6UzA","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"The Joker","Fatboy Slim","Palookaville","2004-10-01",40,0.0875,0.736,0.759,4.54e-06,0.148,-7.239,0.0533,87.763,5,1,321746,0.967,4,"1kF8T3bo5s0kMBYEH4a32c","big beat","electronica",NA,NA,NA,NA,NA,NA,NA,NA
"I'm A Believer","Smash Mouth","Smash Mouth","2001-01-01",70,0.0178,0.549,0.981,1.8e-06,0.438,-3.558,0.059,82.331,11,0,185306,0.873,4,"0C9jZPUv4SuaXkuEQw6L40","pop rock","post-grunge",NA,NA,NA,NA,NA,NA,NA,NA
"Amore che vieni, amore che vai","Fabrizio De André","Volume 3","1968",55,0.773,0.398,0.362,0.0128,0.155,-10.892,0.0294,98.87,8,0,168173,0.509,3,"6C7oJFOk0WX01wH1KMebaY","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Questi fantasmi - 2022 Remastered","Mondo Marcio","Mondo Marcio (2022 Remastered)","2004-05-01",29,0.143,0.656,0.776,1.08e-06,0.0961,-3.185,0.0974,82.501,9,1,262493,0.646,4,"0P3cvuxTGE0OwQKVL89v5Z","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Have You Ever Seen The Rain","Creedence Clearwater Revival","Pendulum (Expanded Edition)","1970-12-07",88,0.0664,0.741,0.697,2.28e-05,0.133,-7.028,0.0277,116.109,0,1,160133,0.774,4,"2LawezPeJhN4AWuSB0GtAU","classic rock","country rock","rock","southern rock","swamp rock",NA,NA,NA,NA,NA
"The Hardest Cut","Spoon","The Hardest Cut","2021-10-28",43,0.135,0.671,0.683,0.00107,0.0534,-5.271,0.0965,164.943,7,1,193369,0.809,4,"5QUhSXDrrX7euR87oeQevM","alternative rock","austindie","indie rock","modern rock",NA,NA,NA,NA,NA,NA
"Cantico dei drogati","Fabrizio De André","Tutti Morimmo A Stento","1968",41,0.891,0.235,0.206,0.00461,0.389,-14.687,0.0301,88.771,9,1,428066,0.187,3,"0v4xH07K31S7cNZAkj3tV5","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Delorean","Noyz Narcos","Non Dormire","2005-01-01",42,0.426,0.747,0.868,0,0.0747,-6.152,0.235,96.584,1,1,241493,0.777,4,"4x5AAabTEXa8K3ycIvuMJ5","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Green Onions","The Blues Brothers","Made in America","1980-12-01",42,0.15,0.477,0.834,0.000385,0.955,-8.253,0.207,154.705,10,0,347400,0.765,4,"0AW6QqUSLSCGJpVUX7GTAE","blues","blues rock",NA,NA,NA,NA,NA,NA,NA,NA
"E, la vita la vita","Cochi e Renato","Finchè c'è la salute (Deluxe Edition)","2007-02-16",44,0.463,0.715,0.881,0,0.175,-3.785,0.0366,137.029,5,1,235813,0.965,4,"28U1sUQKKGGFY8e4SPfHfr","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Un giudice","Fabrizio De André","Non Al Denaro, Non All'Amore, Ne Al Cielo","1971-10-17",52,0.89,0.627,0.157,9e-04,0.0846,-16.367,0.106,156.135,9,0,175880,0.677,3,"4UsYN68FV4laJT0ppCswS3","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"Non Dormire","Noyz Narcos","Non Dormire","2005-01-01",49,0.543,0.729,0.855,0,0.0867,-6.107,0.338,90.557,1,1,221230,0.721,4,"2E2Za7ZEqhAaxDAn4IdIk6","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"They Don't Care About Us","Michael Jackson","HIStory - PAST, PRESENT AND FUTURE - BOOK I","1995-06-16",76,0.205,0.859,0.905,0.00837,0.322,-5.539,0.129,89.946,0,0,284160,0.731,4,"3wuCCNCnBhJlwkIJTBZFiv","r&b","soul",NA,NA,NA,NA,NA,NA,NA,NA
"L'inquilino","Cochi e Renato","Libe-libe-là","1977-12-20",22,0.448,0.848,0.422,0,0.0656,-8.737,0.0402,96.568,0,1,286133,0.817,1,"0HMKSGZSCZXLdHFcDDkFmp","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Freed From Desire - prod. Molella, Phil Jay","Gala","Come Into My Life (The Album)","1997-11-17",81,0.587,0.704,0.861,0.0615,0.0992,-4.221,0.0493,128.99,2,0,213394,0.636,4,"3u5N55tHf7hXATSQrjBh2q","eurodance","hip house","italo dance",NA,NA,NA,NA,NA,NA,NA
"Verano Zombie","Noyz Narcos","Non Dormire","2005-01-01",47,0.117,0.489,0.762,0,0.0918,-6.424,0.345,122.265,7,1,242906,0.445,5,"64lAuSz0vPFFK4IAFlENnU","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Il testamento","Fabrizio De André","Volume 3","1968",38,0.81,0.648,0.468,0,0.122,-11.59,0.116,124.52,9,1,224760,0.89,4,"12jDm9yrUZIH2533e3w6pV","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
"M.A.R.C.I.O. - 2022 Remastered","Mondo Marcio","Mondo Marcio (2022 Remastered)","2004-05-01",26,0.134,0.419,0.68,0,0.624,-5.373,0.272,77.024,7,1,324173,0.61,4,"7qVeJ7OmgMmhwAXsDkTJyV","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Runaway Train (2022 Remaster)","Soul Asylum","Grave Dancers Union (2022 Remaster)","1992-10-06",73,0.0132,0.613,0.72,0,0.104,-7.957,0.0425,117.341,0,1,266560,0.561,4,"3TW48DvQ7ChwY1Yy1tkMaP","alternative rock","grunge","permanent wave","pop rock","post-grunge",NA,NA,NA,NA,NA
"Me and Bobby McGee","Janis Joplin","Pearl (Legacy Edition)","1971-01-11",72,0.303,0.43,0.463,5.84e-05,0.152,-10.96,0.0442,93.405,2,1,271333,0.66,4,"1IqFh00G2kvvMm8pRMpehA","album rock","classic rock","hard rock","psychedelic rock","rock",NA,NA,NA,NA,NA
"Il gorilla","Fabrizio De André","Volume 3","1968",45,0.85,0.624,0.535,4.21e-06,0.117,-13.341,0.0676,118.202,6,1,178000,0.863,4,"7mlOO9JBY4vhzK7PniqUK8","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA,NA
