"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4"
"Half a Heart","One Direction","Midnight Memories (Deluxe)","2013-11-25",66,0.286,0.515,0.714,0,0.118,-4.516,0.0348,155.954,0,1,188546,0.495,4,"6nIE1oCE4udqMGv3bqVNVb","boy band","pop","post-teen pop","talent show"
"Gaetano","Calcutta ","Mainstream (Deluxe Edition)","2016-06-03",64,0.752,0.609,0.483,3.96e-06,0.264,-7.778,0.0287,139.908,0,1,242320,0.254,4,"48Nh04YgUsE4b5V3y9sIdD","italian adult pop","italian pop","rome indie",NA
"Death By A Thousand Cuts","Taylor Swift","Lover","2019-08-23",80,0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,4,1,198533,0.313,4,"2dgFqt3w9xIQRjhPtwNk3D","pop",NA,NA,NA
"tadb","rovere","disponibile anche in mogano","2019-03-29",42,0.0289,0.551,0.667,0,0.0859,-4.884,0.0958,200.064,1,0,189745,0.699,4,"3q6CTHUI3qjRkq0YqosAdt","italian indie pop",NA,NA,NA
"Photograph","Ed Sheeran","x (Deluxe Edition)","2014-06-21",87,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4,1,258986,0.201,4,"1HNkqx9Ahdgi1Ixy2xkKkL","pop","singer-songwriter pop","uk pop",NA
"STOCCOLMA","Still Charles","STOCCOLMA","2022-06-17",38,0.0705,0.544,0.878,0,0.0736,-7.448,0.11,158.12,4,1,185644,0.777,4,"2YbyAH03K37nF4fOnOGkIo","emo trap italiana",NA,NA,NA
"cardigan","Taylor Swift","folklore","2020-07-24",91,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,0,0,239560,0.551,4,"4R2kfaDFhslZEMJqAFNpdd","pop",NA,NA,NA
"Right Now","One Direction","Midnight Memories (Deluxe)","2013-11-25",82,0.218,0.645,0.78,0,0.0919,-5.165,0.0319,120.008,8,1,200400,0.372,4,"1dQQ2QlnvXUehsRUrukKmf","boy band","pop","post-teen pop","talent show"
"NUOVO RANGE (con SFERA EBBASTA)","Rkomi","TAXI DRIVER","2021-11-30",69,0.233,0.68,0.76,0,0.13,-4.866,0.0556,82.54,1,0,176772,0.709,4,"5YSR0sWUZk7NuIbkycxndu","italian hip hop","italian pop",NA,NA
"24/7","Tear&Drugz","24/7","2022-05-06",26,0.0293,0.618,0.744,0,0.0809,-5.474,0.107,80.082,7,1,139562,0.636,4,"032zxhpUSSgQMrHiplLHlY",NA,NA,NA,NA
"Come Back...Be Here (Taylor's Version)","Taylor Swift","Red (Taylor's Version)","2021-11-12",74,0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,4,1,223333,0.399,4,"4pNApnaUWAL2J4KO2eqokq","pop",NA,NA,NA
"Poetica","Cesare Cremonini","Possibili Scenari","2017-11-24",61,0.014,0.393,0.607,0,0.0721,-6.569,0.0339,139.807,7,1,293960,0.202,3,"07qo9gnLM488CUr0EtgIA1","italian adult pop","italian pop",NA,NA
"Amarsi Male","Lo Stato Sociale","Amore, Lavoro E Altri Miti Da Sfatare","2017-03-10",44,0.0189,0.536,0.879,0.0361,0.682,-4.162,0.0361,190.063,10,1,257906,0.884,4,"2Ros2t8vJWm9okVWJCvvZB","italian adult pop","italian alternative","italian indie pop","italian pop"
"ESAGERATA","Tananai","ESAGERATA","2021-12-03",43,0.0233,0.753,0.65,9.57e-05,0.104,-5.337,0.0545,115.013,0,1,198782,0.407,4,"6yRqZK6gIT3zVu3y5JPcaF","italian pop",NA,NA,NA
"this is me trying","Taylor Swift","folklore","2020-07-24",80,0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,9,1,195097,0.412,4,"7kt9e9LFSpN1zQtYEl19o1","pop",NA,NA,NA
"The One That Got Away","Katy Perry","Teenage Dream","2010-08-24",70,0.000812,0.691,0.795,1.02e-06,0.156,-4.021,0.0355,133.971,1,0,227333,0.876,4,"4uQY80TKE1u4ZQZQKHzVEi","pop",NA,NA,NA
"No Control","One Direction","FOUR (Deluxe)","2014-11-17",72,0.0278,0.558,0.916,0,0.0296,-3.145,0.0839,142.984,1,0,199720,0.85,4,"4JaLkM90MJutDAl5jD9BZX","boy band","pop","post-teen pop","talent show"
"Cold Coffee","Ed Sheeran","Songs I Wrote With Amy","2011-12-09",42,0.453,0.544,0.529,0,0.131,-6.753,0.0256,92.936,6,1,254226,0.403,4,"0Qhut5Vj2My3pVxjHdwAAX","pop","singer-songwriter pop","uk pop",NA
"Wonderland","Taylor Swift","1989 (Deluxe)","2014-01-01",74,0.0493,0.422,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,3,1,245560,0.197,4,"6RvRzl1YJTDnUvdOtV21IK","pop",NA,NA,NA
