"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"Changes","2Pac","Greatest Hits","1998-01-01",77,0.0453,0.865,0.665,0,0.224,-6.289,0.073,111.113,7,1,268826,0.331,4,"1ofhfV90EnYhEr7Un2fWiv","g funk","gangster rap","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA
"La mer","Charles Trenet","Disque D'or","1992",58,0.965,0.241,0.168,0.114,0.373,-16.267,0.0442,84.749,0,1,201840,0.556,3,"1ZK8WJqkD1XhEYI1AlkMHG","chanson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All About You (feat. Foster The People)","The Knocks","All About You (feat. Foster The People)","2020-10-28",46,0.0518,0.645,0.895,0.0843,0.106,-3.78,0.0522,102.005,8,1,216777,0.549,4,"5ug2bpyUHVOR7Y3TUPH3J7","alternative dance","indie poptimism","nu disco",NA,NA,NA,NA,NA,NA,NA,NA
"ABC","Michael Jackson","The Definitive Collection","2009-01-01",52,0.502,0.735,0.848,7.58e-05,0.145,-6.206,0.039,93.587,8,1,177360,0.948,4,"2VCUcIPY3i6pv9Nu9Vg6k3","r&b","soul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHATS POPPIN","Jack Harlow","Sweet Action","2020-03-13",79,0.017,0.923,0.604,0,0.272,-6.671,0.245,145.062,11,0,139741,0.826,4,"1jaTQ3nqY3oAAYyCTbIvnM","deep underground hip hop","kentucky hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA
"Watcher of the Skies - 2007 Stereo Mix","Genesis","Foxtrot (2007 Stereo Mix)","1972-10-06",38,0.059,0.382,0.569,0.0285,0.206,-9.711,0.0441,122.401,6,1,443365,0.19,3,"0QtL2ONAn6cSamg6vzvGI7","album rock","art rock","classic rock","hard rock","mellow gold","progressive rock","rock","soft rock","symphonic rock",NA,NA
"Watching Him Fade Away","Mac DeMarco","This Old Dog","2017-05-05",76,0.981,0.74,0.072,0.00698,0.111,-17.984,0.0713,139.081,3,1,143080,0.297,4,"2QzKAF0y1BQhxwg8N05Uog","edmonton indie","lo-fi indie","pov: indie",NA,NA,NA,NA,NA,NA,NA,NA
"Take Me Out","Franz Ferdinand","Franz Ferdinand","2004-02-16",82,0.000409,0.277,0.663,0.00051,0.136,-8.821,0.0377,104.561,4,0,237026,0.527,4,"20I8RduZC2PWMWTDCZuuAN","alternative rock","dance rock","indie rock","modern rock","rock","scottish rock",NA,NA,NA,NA,NA
"Pour Un Instant","Harmonium","Harmonium","1974-01-01",46,0.616,0.528,0.35,5.4e-06,0.125,-17.108,0.0322,129.253,5,1,201363,0.489,4,"10pCXoG0FfFqk2ltikjuEf","flute rock","prog quebec","symphonic rock",NA,NA,NA,NA,NA,NA,NA,NA
"Pjanoo - Radio Edit","Eric Prydz","Pjanoo","2008-08-29",71,0.000563,0.605,0.874,0.812,0.112,-4.949,0.0295,125.99,7,0,157432,0.836,4,"0F2BxpbxH8Yc3pLub48hrb","dutch house","edm","electro house","house","pop dance","progressive electro house","progressive house",NA,NA,NA,NA
"Anchi Bale Game","Admas","Sons of Ethiopia","2020-07-27",37,0.213,0.551,0.648,0.00029,0.116,-9.776,0.0435,118.501,10,0,314866,0.551,4,"1ivUwqx8QXtteFsxAOF5X1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
