"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"Give A Little Bit","Supertramp","Even In The Quietest Moments","1977-01-01",79,0.0694,0.531,0.818,0.0096,0.263,-5.358,0.0452,90.767,2,1,248173,0.471,4,"6XUHsYE38CEbYunT983O9G","album rock","art rock","classic rock","glam rock","mellow gold","piano rock","progressive rock","rock","soft rock","symphonic rock",NA
"Triple bicéphale","Le Dé","Delta Plane","2016-03-20",51,0.125,0.476,0.537,0.000822,0.0773,-9.058,0.468,62.538,9,0,283283,0.381,3,"2lGBMltMTJupKXQowsBLZP","french hip hop","rap calme","rap liegeois",NA,NA,NA,NA,NA,NA,NA,NA
"Auntie Diaries","Kendrick Lamar","Mr. Morale & The Big Steppers","2022-05-13",61,0.745,0.52,0.375,0.0122,0.429,-13.409,0.358,127.544,0,1,281069,0.589,5,"1uY1X8YeBixs1FdQ3fQ7d4","conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,NA
"All Of The Lights","Kanye West","My Beautiful Dark Twisted Fantasy","2010-11-22",81,0.0796,0.531,0.803,1.71e-05,0.176,-3.284,0.0717,142.113,1,1,299613,0.221,4,"22L7bfCiAkJo5xGSQgmiIO","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA
"Solsbury Hill","Peter Gabriel","Peter Gabriel 1: Car (Remastered)","1977",74,0.355,0.678,0.631,0.000268,0.376,-8.624,0.0301,102.378,11,1,261560,0.463,1,"6vZZtivPrtpggT5SSXsYTy","album rock","art rock","classic rock","mellow gold","new romantic","new wave","permanent wave","progressive rock","rock","singer-songwriter","soft rock"
"Harder, Better, Faster, Stronger","Daft Punk","Discovery","2001-03-12",73,0.0427,0.817,0.716,0.00263,0.358,-8.898,0.144,123.474,6,0,224693,0.692,4,"5W3cjX2J3tjhG8zb6u0qHn","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA,NA
"Dance on a Volcano - 2007 Remaster","Genesis","A Trick of the Tail (2007 Remaster)","1976-02-02",34,0.00519,0.335,0.848,0.119,0.381,-7.61,0.0587,122.527,8,1,358626,0.363,3,"0HWHskHvBQnAzJHVvOYMRG","album rock","art rock","classic rock","hard rock","mellow gold","progressive rock","rock","soft rock","symphonic rock",NA,NA
"Tell The Vision (feat. Kanye West & Pusha T)","Pop Smoke","Faith","2021-07-16",64,0.251,0.662,0.686,5.59e-06,0.349,-8.302,0.332,143.971,7,1,215000,0.678,4,"2UwALqx6yOsXTFt7zRxnts","brooklyn drill","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Space Oddity - 2015 Remaster","David Bowie","David Bowie (aka Space Oddity) [2015 Remaster]","1969-11-04",74,0.0726,0.31,0.403,9.27e-05,0.139,-13.664,0.0326,134.48,0,1,318026,0.466,4,"72Z17vmmeQKAg8bptWvpVG","art rock","classic rock","glam rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"[PNJ]","Kirouac","[PNJ]","2022-07-15",22,0.0662,0.757,0.58,0.000678,0.0824,-8.639,0.219,113.029,1,0,168228,0.317,4,"2y68STO1ZviqnmzAvZdakw","hip hop quebecois","indie quebecois",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doomsday","MF DOOM","Operation: Doomsday (Complete)","1999-10-19",76,0.0973,0.856,0.84,0,0.0773,-7.736,0.334,95.416,6,0,298053,0.792,4,"7EQvdUJqZ2i7SWvSB2VqGA","alternative hip hop","east coast hip hop","hip hop","instrumental hip hop",NA,NA,NA,NA,NA,NA,NA
"Bartender (feat. Akon)","T-Pain","Epiphany (Expanded Edition)","2007-06-05",76,0.0564,0.832,0.391,0,0.224,-8.504,0.0628,104.961,8,1,238800,0.436,4,"1RGIjMFMgJxkZHMDXVYzOJ","dance pop","gangster rap","hip hop","pop rap","r&b","rap","southern hip hop","trap","urban contemporary",NA,NA
"Superheroes","Daft Punk","Discovery","2001-03-12",57,0.00409,0.619,0.74,0.00356,0.102,-8.204,0.0789,140.874,11,0,237800,0.674,4,"186hvCTyrni4KT9nwIQ7zS","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA,NA
"LES GRADINS (XII)","Kirouac","Les Gradins","2021-06-04",22,0.036,0.797,0.535,0.000272,0.199,-11.095,0.174,122.982,8,0,139575,0.282,4,"7nfwDluLbMQSKWkEcFrhGm","hip hop quebecois","indie quebecois",NA,NA,NA,NA,NA,NA,NA,NA,NA
"We Are Mirage","Eric Prydz","Liberate (Remixes)","2014-01-01",63,0.000521,0.556,0.792,0.75,0.494,-6.723,0.0361,127.956,4,0,379500,0.0871,4,"6mTnH6xSYwKohtsO9RFzcc","dutch house","edm","electro house","house","pop dance","progressive electro house","progressive house",NA,NA,NA,NA
"Rapp Snitch Knishes feat. Mr. Fantastik","MF DOOM","MM...FOOD","2004-11-16",80,0.327,0.728,0.832,0,0.504,-6.827,0.267,95.051,7,1,172893,0.825,4,"5KUNwkaNf8l5A9sXZhiCgI","alternative hip hop","east coast hip hop","hip hop","instrumental hip hop",NA,NA,NA,NA,NA,NA,NA
"Babe I'm Gonna Leave You - 1990 Remaster","Led Zeppelin","Led Zeppelin","1969-01-12",63,0.246,0.404,0.435,0.00074,0.156,-12.045,0.0323,136.058,4,0,401066,0.156,4,"4OMu5a8sFpcRCPCcsoEaov","album rock","classic rock","hard rock","rock",NA,NA,NA,NA,NA,NA,NA
