"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"Ciao Baby","Gemitaiz","Eclissi","2022-05-12",66,0.194,0.635,0.53,0.000197,0.149,-8.605,0.0555,102.043,1,0,186008,0.183,4,"0tE8LYz08MdcV8UZUa1YVV","italian hip hop",NA,NA,NA,NA,NA,NA
"BOOGIE WOOGIE","Il Tre","BOOGIE WOOGIE","2022-06-24",42,0.0582,0.733,0.73,0,0.0552,-6.77,0.264,99.988,7,1,193187,0.615,4,"2fZhoGiRElmAOtfEXLzSfz","italian hip hop","italian pop",NA,NA,NA,NA,NA
"Metro (feat. Sorcho)","Albert","Alterego","2016-12-21",13,0.385,0.76,0.811,0,0.334,-7.084,0.296,94.946,11,1,195213,0.883,4,"69xPwyyBab9fsJwQwm0naL",NA,NA,NA,NA,NA,NA,NA
"Wrapped Around Your Finger","Post Malone","Twelve Carat Toothache","2022-06-03",72,0.0493,0.744,0.628,0,0.317,-5.435,0.0287,119.966,2,1,193565,0.539,4,"6Kfoo60npYPdvNxMPMiDpX","dfw rap","melodic rap","pop","rap",NA,NA,NA
"Fuori","Gemitaiz","Davide","2018-04-20",45,0.124,0.564,0.726,0,0.119,-8.187,0.247,110.056,4,0,238000,0.21,4,"2jrWlfYz7fYYXS8aO9DIqn","italian hip hop",NA,NA,NA,NA,NA,NA
"AOK - with Manuel Turizo","Tai Verdes","AOK (with Manuel Turizo)","2021-11-18",32,0.0836,0.633,0.653,0,0.124,-6.309,0.158,82.341,1,0,193859,0.802,4,"4mMVfVrFM6b0boY4EXTFvK","modern indie pop","singer-songwriter pop",NA,NA,NA,NA,NA
"Febbre a febbraio (feat. Lil Kvneki)","Gianni Bismark","Bravi Ragazzi","2022-03-24",33,0.715,0.549,0.413,0.000695,0.109,-14.259,0.166,80.653,7,1,187124,0.214,4,"1bJWzGeAObOcfdRB8JTXFH","emo rap italiano","italian hip hop",NA,NA,NA,NA,NA
"FINTO GIOVANE","Dani Faiv","FAIV","2022-06-03",29,0.0358,0.648,0.851,0,0.136,-3.582,0.305,135.937,10,1,124635,0.847,4,"5yzseArFRxJw8gDedJZywV","italian hip hop",NA,NA,NA,NA,NA,NA
"Adesso","Gemitaiz","Eclissi","2022-05-12",56,0.205,0.793,0.723,0,0.125,-5.563,0.15,126.035,9,1,201964,0.254,4,"1v1ltuBMogS2CxJUW7yCyY","italian hip hop",NA,NA,NA,NA,NA,NA
"last day on earth","Tai Verdes","HDTV","2022-09-16",58,0.323,0.5,0.552,4.97e-05,0.221,-5.83,0.222,83.938,5,1,172773,0.336,4,"2sS1DcNGSsG34Ccua98Q4t","modern indie pop","singer-songwriter pop",NA,NA,NA,NA,NA
