"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Love Will Tear Us Apart - 2020 Remaster","Joy Division","Love Will Tear Us Apart","1980-06-01",74,0.000541,0.527,0.923,0.765,0.127,-7.458,0.0379,146.924,2,1,208453,0.899,4,"34iOH7LY3vme5rQxsVILZ4","alternative rock","art rock","indie rock","madchester","new wave","post-punk","punk","rock","uk post-punk"
"TEMPTATION","Joey Bada$$","ALL-AMERIKKKAN BADA$$","2017-04-07",70,0.397,0.775,0.707,0,0.874,-5.339,0.152,104.979,10,0,244197,0.78,4,"3gJDgenxLephg09x86IxPs","conscious hip hop","hip hop","rap",NA,NA,NA,NA,NA,NA
"sweet sweet","Travis Scott","Birds In The Trap Sing McKnight","2016-09-16",64,0.0859,0.733,0.578,1.19e-06,0.403,-5.245,0.0417,142.028,0,0,222317,0.447,4,"01Ch5LzVStxCFPKkT1xg6k","hip hop","rap","slap house",NA,NA,NA,NA,NA,NA
"The Message","Dr. Dre","2001","1999-11-16",61,0.0446,0.711,0.608,7.56e-05,0.123,-4.008,0.0754,82.448,8,0,304026,0.791,4,"6WgxXdBZrtdQFGBcxQxpiv","g funk","gangster rap","hip hop","rap","west coast rap",NA,NA,NA,NA
"JEANS STRAPPATI (feat. Fabri Fibra)","Ketama126","KETY","2019-10-18",46,0.0339,0.765,0.651,1.55e-06,0.357,-6.904,0.0301,127.992,0,1,215160,0.0921,4,"0VzoWdVMnnYAF91VsQNVbA","drill italiana","emo rap italiano","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"Owner of a Lonely Heart","Yes","90125 (Deluxe Version)","1983-06-01",73,0.175,0.744,0.798,0.00367,0.26,-5.981,0.0364,125.061,7,1,268506,0.89,4,"0GTK6TesV108Jj5D3MHsYb","album rock","art rock","classic rock","hard rock","progressive rock","rock","soft rock","symphonic rock",NA
"TABOO | TA13OO","Denzel Curry","TA13OO","2018-07-27",55,0.269,0.441,0.594,0,0.143,-8.271,0.166,139.28,1,1,197440,0.491,4,"4VYmdTVFXDq0LtYMoVswTv","dark trap","drill","hip hop","miami hip hop","pop rap","rap","trap","underground hip hop",NA
"SKELETONS","Travis Scott","ASTROWORLD","2018-08-03",78,0.00146,0.46,0.686,0,0.375,-5.948,0.0367,148.054,0,0,145588,0.252,4,"6NMtzpDQBTOfJwMzgMX0zl","hip hop","rap","slap house",NA,NA,NA,NA,NA,NA
"Codeine Crazy","Future","Monster","2014-10-28",72,0.168,0.745,0.617,0,0.389,-7.22,0.144,125.98,6,0,346906,0.185,4,"0joQFwiBKmi6X1Iq5R1ubH","atl hip hop","hip hop","rap","southern hip hop","trap",NA,NA,NA,NA
"Got It On Me","Pop Smoke","Shoot For The Stars Aim For The Moon","2020-07-03",78,0.00815,0.688,0.647,1.65e-05,0.095,-7.258,0.19,88.834,2,1,164579,0.195,4,"25zlnOAzbVoOzIeXSvQFf1","brooklyn drill","rap",NA,NA,NA,NA,NA,NA,NA
