"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13","genre_14"
"Rain - Demo Ver.","SEATBELTS","COWBOY BEBOP - Knockin' on Heaven's Door (Original Motion Picture Soundtrack - Future Blues)","2001-08-29",34,0.683,0.352,0.153,4.29e-06,0.0629,-10.445,0.0292,142.676,10,1,203800,0.0474,4,"6Xi9yabjKWbNVG09TVYsIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La G La U La E pt.2","Guè","GVESVS","2021-12-10",48,0.156,0.567,0.857,0,0.135,-4.814,0.212,83.371,10,0,145433,0.938,4,"3PHUQDyGYZhRJFSwbTXnsG","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non mi avrete mai","Inoki","Fabiano detto Inoki","2005-10-19",46,0.333,0.829,0.709,0,0.184,-7.842,0.25,90.973,7,1,232986,0.907,4,"2LM2JJj3hQLCZRQFu1xu02","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANCARSI","Coma_Cose","HYPE AURA","2019-03-15",51,0.418,0.691,0.579,0,0.104,-5.076,0.0411,145.905,2,1,229120,0.343,4,"0yWpMaNFL4IV5rUGqAjOGt","italian adult pop","italian alternative","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Non sei tu","Gazzelle","Superbattito","2017-03-03",2,0.487,0.581,0.591,1.77e-06,0.0806,-9.639,0.0444,140.038,10,1,199200,0.138,4,"4zJL82bt73NiBmFuJncYUb","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cattolica","Pop X","Best Of","2015-02-10",40,0.704,0.81,0.808,0.0123,0.0685,-7.937,0.0834,148.03,9,1,196000,0.478,4,"7JS2L1mswwPlfalEdVBDsg","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sultans Of Swing","Dire Straits","Dire Straits","1978-10-07",84,0.0614,0.733,0.794,0.0367,0.33,-10.023,0.0307,148.174,5,1,348400,0.931,4,"37Tmv4NnfQeb0ZgUC4fOJj","album rock","classic rock","mellow gold","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maledetta primavera","Loretta Goggi","Collection","2000",57,0.185,0.473,0.603,9.24e-05,0.566,-6.242,0.0291,136.104,8,1,253160,0.352,3,"0bcrOUFQTXyJCC1lT2xfWI","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saluti (feat. Guè, Fabri Fibra, Rkomi & Carolina Marquez)","Night Skinny","Mattoni","2019-09-12",46,0.0464,0.649,0.63,0,0.0705,-8.1,0.159,171.997,8,0,181275,0.516,4,"4GI7qUGKC1p0BxngJ6CqcW","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dal Tramonto All'Alba","Noyz Narcos & Fritz Da Cat","Localz Only","2015-06-01",50,0.116,0.54,0.874,0,0.0598,-4.097,0.307,77.725,5,0,198637,0.632,4,"2grg1DurcEjO8DuYVYF6rb","italian hip hop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuck Tha Police","N.W.A.","Greatest Hits","1996-07-02",60,0.00956,0.85,0.837,0,0.0772,-6.37,0.291,98.694,6,0,343373,0.737,4,"0DFRrABd2ppHhS3QaZuCJ1","conscious hip hop","gangster rap","golden age hip hop","hip hop","old school hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,NA
"My Type","Saint Motel","My Type","2014-06-17",69,0.0641,0.596,0.897,5.24e-05,0.0628,-2.94,0.0462,118,10,1,206393,0.578,4,"2DFi8rwHcVkTTgu7PULhtI","la indie","modern alternative rock","modern rock","pov: indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solo 3 min","Negramaro","Mentre Tutto Scorre (Deluxe Version)","2006-05-26",58,0.525,0.581,0.455,0,0.111,-7.271,0.0297,139.791,4,1,218000,0.228,3,"0X1q9dp4z8MYFYaUDm2unn","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La musica non c'è","Coez","Faccio un casino","2017-05-05",71,0.381,0.747,0.498,0,0.712,-6.674,0.0353,135.919,0,1,222786,0.53,4,"7MMJa7cjMadOSR6CFWvB1x","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nothing Else Matters","Metallica","Metallica","1991-08-12",82,0.0458,0.553,0.362,6.01e-06,0.075,-11.218,0.0263,142.352,4,0,388266,0.158,3,"0nLiqZ6A27jJri2VCalIUs","hard rock","metal","old school thrash","rock","thrash metal",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A caro prezzo (feat. Franco126 & Ugo Borghetti)","Chicoria","Servizio funebre II","2021-02-12",37,0.445,0.634,0.664,0,0.346,-5.984,0.281,149.391,11,0,195186,0.637,4,"2OPHqbSBRPdDSKk6wz92Zl","italian hip hop","italian underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paranoid","Black Sabbath","Paranoid (2009 Remastered Version)","1970-09-18",84,7.85e-05,0.429,0.631,0.00411,0.175,-11.514,0.0769,162.734,4,0,168440,0.376,4,"1jzDzZWeSDBg5fhNc3tczV","album rock","alternative metal","birmingham metal","classic rock","hard rock","metal","rock","stoner rock","uk doom metal",NA,NA,NA,NA,NA
"Stan","Eminem","The Marshall Mathers LP","2000-05-23",84,0.0371,0.78,0.768,2.34e-06,0.518,-4.325,0.238,80.063,6,0,404106,0.507,4,"3UmaczJpikHgJFyBTAJVoz","detroit hip hop","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tu non mi basti mai","Lucio Dalla","Canzoni","1996-08-21",55,0.42,0.635,0.376,0.049,0.0925,-16.8,0.0315,86.003,5,1,270333,0.525,4,"0VMh6D6ryDKoLFmd6EuqbU","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"On Melancholy Hill","Gorillaz","Plastic Beach","2010-03-03",79,1.51e-05,0.689,0.739,0.509,0.064,-5.81,0.026,120.423,2,1,233866,0.578,4,"0q6LuUqGLUiCPP1cbdwFs3","alternative hip hop","modern rock","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diavolo (con Ghali, Rkomi, Tedua & bnkr44)","Night Skinny","Botox","2022-09-15",2,0.154,0.564,0.658,0,0.136,-7.045,0.287,179.974,9,1,230483,0.582,3,"7FvF6VQzph1rEPjSJmkaRv","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"È sempre bello","Coez","È sempre bello","2019-03-29",66,0.0732,0.692,0.63,0,0.0865,-6.792,0.164,110.919,8,1,203872,0.499,5,"6IdiuMw1FSAvU3e6bgWQVX","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"death bed (coffee for your head)","Powfu","death bed (coffee for your head)","2020-02-08",84,0.731,0.726,0.431,0,0.696,-8.765,0.135,144.026,8,0,173333,0.348,4,"7eJMfftS33KTjuF7lTsMCx","sad lo-fi","sad rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ni**as In Paris","JAY-Z","Watch The Throne (Deluxe)","2011-08-08",63,0.127,0.789,0.858,0,0.349,-5.542,0.311,140.022,1,1,219333,0.775,4,"4Li2WHPkuyCdtmokzW2007","east coast hip hop","gangster rap","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Riptide","Vance Joy","Dream Your Life Away","2014-09-08",86,0.431,0.484,0.731,0,0.151,-6.694,0.0379,101.654,1,1,204280,0.51,4,"7yq4Qj7cqayVTp3FF9CWbm","folk-pop","modern rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jocelyn Flores","XXXTENTACION","17","2017-08-25",85,0.469,0.872,0.391,4.13e-06,0.297,-9.144,0.242,134.021,0,0,119133,0.437,4,"7m9OqQk4RVRkw9JJdeAw96","emo rap","miami hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
