"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Under The Sun","Bakermat","Under The Sun","2020-02-21",37,0.0027,0.595,0.785,0.322,0.0744,-5.899,0.0326,123.981,9,1,201960,0.536,4,"5VdP74vn6CXqtUE5sT74Tw","minimal tech house","tropical house",NA,NA,NA,NA,NA,NA,NA,NA
"Dark Days [Feat. Sylvan Esso]","Local Natives","Dark Days [Feat. Sylvan Esso]","2020-05-21",58,0.181,0.644,0.578,0.119,0.0966,-7.78,0.0256,114.944,9,1,181212,0.629,4,"6ZMYbLF33jIECoG2MClauD","chamber pop","indie rock","la indie","modern rock","shimmer pop","stomp and holler",NA,NA,NA,NA
"Colorado","Milky Chance","Trip Tape","2021-11-03",60,0.287,0.79,0.744,0.000934,0.0909,-7.033,0.0294,123.984,9,0,174347,0.798,4,"35iR1qzexmbcUSgA01S4gI","german pop","modern rock",NA,NA,NA,NA,NA,NA,NA,NA
"Can't Stop","Red Hot Chili Peppers","By the Way (Deluxe Edition)","2002-07-09",85,0.0179,0.618,0.938,0,0.167,-3.442,0.0456,91.455,9,1,269000,0.875,4,"3ZOEytgrvLwQaqXreDs2Jx","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA,NA,NA
"R U HIGH (feat. Mallrat)","The Knocks","R U HIGH (feat. Mallrat)","2021-03-26",46,0.0245,0.739,0.628,0,0.266,-4.137,0.0703,120.944,8,1,239456,0.634,4,"1nyyEarKbjbGm3iJqvZknV","alternative dance","indie poptimism","nu disco",NA,NA,NA,NA,NA,NA,NA
"Cola","Arlo Parks","Cola","2018-11-22",60,0.198,0.814,0.742,9.83e-05,0.0899,-10.52,0.24,75.451,4,0,229685,0.587,4,"0i6c86ntKJoZpKk8aCHL3c","indie pop","indie soul","uk contemporary r&b",NA,NA,NA,NA,NA,NA,NA
"Today (with Tirzah)","Mura Masa","R.Y.C","2020-01-17",46,0.695,0.614,0.264,0.00113,0.131,-12.472,0.0378,136.044,10,1,200186,0.29,4,"7vqbA9MfCnSFMTT0cikF8b","channel islands indie","hyperpop","indie soul","vapor soul",NA,NA,NA,NA,NA,NA
"HEAT","Paul Woolford","HEAT","2021-02-19",52,0.311,0.651,0.542,0,0.0812,-7.345,0.0292,122.03,1,0,187277,0.581,4,"4x0yfBUpGWpovUxJqj20p0","house","uk dance","uk house",NA,NA,NA,NA,NA,NA,NA
"Qué me vas a contar","Ire","Qué me vas a contar","2021-08-20",40,0.468,0.882,0.554,2.86e-06,0.0987,-9.745,0.385,131.039,9,1,165343,0.393,4,"06Uhw7KLSBqAJqYy2fdjiN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hugo Gloss","D3llano","Mil Noches Sin Dormir","2021-06-04",45,0.571,0.787,0.493,0.00107,0.102,-9.378,0.054,120.045,0,1,166052,0.55,4,"7zxw2muWhobnpwEdABBO83","rap espanol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dos X Tres (Demo)","Sebastián Cortés","Dos X Tres (Demo)","2019-09-23",49,0.54,0.655,0.312,0.305,0.147,-13.075,0.246,103.195,6,0,150991,0.454,4,"5uOdakRKQbRu6HJnorQ5on","tontipop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"What's the Use?","Mac Miller","Swimming","2018-08-03",73,0.736,0.759,0.492,0.00989,0.107,-10.338,0.12,104.974,1,0,288640,0.561,4,"2dgrYdgguVZKeCsrVb9XEs","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA,NA,NA,NA
"Happy Music","Supershy","Happy Music","2023-08-18",64,0.0421,0.777,0.737,0.379,0.0265,-5.86,0.0351,123.993,11,0,232625,0.891,4,"0LbZxI8FZU1E48EqF9XgC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plastic Hearts","Miley Cyrus","Plastic Hearts","2020-11-27",69,0.0511,0.551,0.756,0,0.0765,-4.948,0.0652,175.984,2,1,205733,0.618,4,"6qCsKKS7Ol63SJW3LOIX5R","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Music Sounds Better with You","NEIL FRANCES","Music Sounds Better with You","2017-07-21",72,0.274,0.927,0.525,0.238,0.0672,-8.256,0.0667,118.023,8,0,198305,0.778,4,"1vMGIZbIkpaLSagdF2ygcV","indie soul",NA,NA,NA,NA,NA,NA,NA,NA,NA
