"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Toute ma vie","Spider ZED","Jeune intermittent","2020-11-06",35,0.915,0.837,0.447,9.99e-06,0.147,-10.377,0.239,100.024,5,1,131494,0.197,4,"6lnj3BQx0ncxetgKF7FXaP","french hip hop","rap calme",NA,NA,NA,NA
"Doudou","Koba LaD","Cartel : volume 1 & 2","2021-12-09",63,0.37,0.837,0.615,1.29e-05,0.0914,-5.274,0.0762,130.062,6,0,181466,0.858,4,"1cgRpYVOkYnxomkDpYLyba","french hip hop","pop urbaine","rap francais",NA,NA,NA
"Blanco","Caballero","OSO","2021-04-15",47,0.195,0.582,0.774,0,0.304,-9.689,0.287,84.45,1,0,165186,0.795,4,"52YGanVRKVr6CGqr6AQOtZ","belgian hip hop","french hip hop",NA,NA,NA,NA
"Quarterback (Secure The Bag!)","AJ Tracey","Quarterback (Secure The Bag!)","2017-10-03",42,0.366,0.889,0.697,0,0.177,-6.684,0.226,139.999,7,1,207000,0.738,4,"1qUCpHLr07jyzdGNJX1qEP","grime","uk hip hop","ukg revival",NA,NA,NA
"Hiver turquoise","Le Motif","Première Partie","2020-09-18",31,0.0689,0.622,0.625,0,0.0688,-7.341,0.0718,75.165,5,0,184680,0.491,4,"7mVArWtdMHUZvCLhy2Nn1p","rap calme",NA,NA,NA,NA,NA
"Clash (feat. Stormzy)","Dave","Clash (feat. Stormzy)","2021-07-08",66,0.313,0.871,0.519,8.14e-06,0.0869,-6.549,0.258,140.013,2,1,251733,0.532,4,"2oUwMN5VfdGX10XeQJLBBi","uk hip hop",NA,NA,NA,NA,NA
"Pierre, feuille, papier, ciseaux","Columbine","Pierre, feuille, papier, ciseaux","2017-08-04",58,0.416,0.816,0.478,0,0.12,-8.513,0.0655,110.589,11,1,225413,0.656,4,"6Uk6MCdcT025QBTcXRFKDL","french hip hop","rap conscient",NA,NA,NA,NA
"NIC (feat. Tiggs Da Author)","Nines","Crabs In A Bucket","2020-08-28",65,0.0151,0.568,0.836,0,0.186,-3.51,0.13,89.305,7,1,220510,0.638,4,"5xa6bK1Q2K9gmZiQLJVRVW","uk hip hop",NA,NA,NA,NA,NA
"Just A Lil Bit","50 Cent","The Massacre","2005-03-03",80,0.0322,0.489,0.692,0.00608,0.315,-6.672,0.41,96.946,1,1,237706,0.527,4,"4nva9EpKntUTs6CRSGBCn9","east coast hip hop","gangster rap","hip hop","pop rap","queens hip hop","rap"
"La vie qu'on mène","Ninho","Destin","2019-03-22",73,0.687,0.8,0.756,2.06e-06,0.111,-4.4,0.0367,113.204,7,0,193443,0.456,3,"0Jh6iWjna1wk5le0Ahn7No","french hip hop","pop urbaine",NA,NA,NA,NA
"The Little Beggarman","The High Kings","The High Kings","2008-01-01",36,0.655,0.719,0.667,0,0.0865,-7.546,0.103,100.006,7,1,174746,0.793,4,"7k37IOHc7D1xlXcKjeUvo8","celtic","celtic rock","irish folk","irish pub song",NA,NA
"Mauvais ordre","Lomepal","Mauvais Ordre","2022-09-15",61,0.767,0.764,0.43,0.0585,0.0843,-9.956,0.0594,143.992,4,0,219626,0.426,4,"0H5JKQ7qQ5MBeRSZSieZsM","french hip hop","rap conscient",NA,NA,NA,NA
"Putana","Ninho","Destin","2019-03-22",70,0.313,0.717,0.774,0,0.129,-6.927,0.0515,103.849,2,0,184800,0.511,4,"5oePa8PlOTPAlRaGs2OZ3A","french hip hop","pop urbaine",NA,NA,NA,NA
"Terrible","PLK","Enna","2020-08-28",49,0.535,0.574,0.639,0,0.103,-8.252,0.457,89.288,11,1,161706,0.725,3,"7jC1pnESBqDsbGuIq2ZqhZ","french hip hop","pop urbaine","rap conscient","rap francais",NA,NA
"Hey Boy","Larry","Cité blanche","2020-01-30",22,0.604,0.869,0.685,3.57e-06,0.11,-7.639,0.305,92.059,10,0,158733,0.633,4,"2U6EzkRNUbliTVQ9Cg5H8K","french hip hop","pop urbaine","rap francais",NA,NA,NA
"Pas à ma place","Lujipeka","Pas à ma place","2021-09-02",47,0.294,0.696,0.647,0,0.0468,-7.146,0.111,149.096,8,0,175247,0.472,4,"5CEG6kEZZutC4xQE7aOctq","french hip hop","rap calme",NA,NA,NA,NA
"AC","Roméo Elvis","AC","2021-06-16",33,0.06,0.695,0.759,0,0.391,-6.422,0.318,141.005,9,1,221089,0.464,4,"00x1b3DJb8lhUYrABIkK8g","belgian hip hop","french hip hop",NA,NA,NA,NA
"La brume","Meryl","Jour avant caviar","2020-02-21",43,0.119,0.711,0.566,0,0.0867,-6.662,0.0415,81.024,8,0,184693,0.309,4,"75cpASksL0l3Wf5Yf00EZX","rap antillais","rap ivoire","trap antillais",NA,NA,NA
"Cowboi","2050Millions","PainKilla","2020-04-01",27,0.149,0.791,0.505,1.03e-05,0.0948,-10.626,0.192,159.938,11,0,204124,0.461,4,"6BcJHCnrTcDewhMGm9qj0m",NA,NA,NA,NA,NA,NA
"Hasarder","Lomepal","Mauvais Ordre","2022-09-15",60,0.282,0.77,0.649,0,0.117,-8.011,0.0865,91.046,1,0,178866,0.181,4,"6V40xLcDlYwZpz3oKIVNhL","french hip hop","rap conscient",NA,NA,NA,NA
"African Giant","Burna Boy","African Giant","2019-07-25",50,0.593,0.57,0.648,8.15e-05,0.568,-6.694,0.317,90.503,9,0,184761,0.565,4,"5Yu8xJwe9SPpFY2s3jDnvj","afrobeats","azontobeats","dancehall","nigerian hip hop","nigerian pop",NA
"Juste pour voir","S.Pri Noir","Masque blanc","2018-05-11",60,0.393,0.712,0.617,0,0.126,-7.144,0.374,147.891,3,0,226413,0.477,4,"0JOJx8jx0dWZk33MsvRZrB","french hip hop","pop urbaine","rap francais",NA,NA,NA
