"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"Ti Porto Via Con Me","Jovanotti","Backup 1987-2012","2012-01-01",51,0.0921,0.41,0.948,0,0.171,-2.919,0.0812,132.001,0,1,260186,0.343,4,"2HOi2GUwlINbgzhf3v4soz","italian adult pop","italian pop",NA,NA,NA,NA,NA
"Blank Space","Taylor Swift","1989 (Deluxe)","2014-01-01",91,0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,5,1,231826,0.57,4,"1u8c2t2Cy7UBoG4ArRcF5g","pop",NA,NA,NA,NA,NA,NA
"Andrea","Bresh","Andrea","2022-02-18",46,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,11,0,185125,0.325,3,"03j2Lo97VCDprSk8oLb8Gi","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"Vita paranoia","Gazzelle","Post Punk","2019-10-25",59,0.0712,0.708,0.711,1.14e-05,0.0822,-5.693,0.0525,80,3,1,194933,0.597,4,"5r4MiZ35eUhPm1pIrTgKW6","italian adult pop","italian pop","rome indie",NA,NA,NA,NA
"Lascia Un Segno (feat. Ernia & Rkomi)","Fabri Fibra","Il Tempo Vola 2002-2020","2019-10-24",35,0.113,0.826,0.723,0,0.175,-6.638,0.0684,105.05,11,0,159440,0.54,4,"10A4keSIhCWBSfPXaSuBlu","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA
"Spirale ovale","Articolo 31","Domani smetto","2002-03-22",53,0.0927,0.393,0.974,0,0.274,-2.321,0.239,215.8,9,1,232186,0.725,4,"7pSFMd9OqviU7J8OWXneM7","italian adult pop","italian underground hip hop","rap italiano old school",NA,NA,NA,NA
"A Letter To My Younger Self (feat. Logic)","Quinn XCII","A Letter To My Younger Self","2020-07-10",53,0.0358,0.822,0.834,0,0.0461,-2.879,0.0663,115.006,6,0,212013,0.77,4,"73681b7Hc0THHGZrSzl75y","indie pop rap",NA,NA,NA,NA,NA,NA
"Turbocapitalismo","Ludovico Chetta","Turbocapitalismo","2022-05-06",15,0.14,0.708,0.907,0,0.0578,-5.547,0.0697,140.192,7,1,201137,0.777,4,"6Z2IlI8gfK8qBTeL2KZWvX",NA,NA,NA,NA,NA,NA,NA
"either way","Arden Jones","either way","2021-11-05",45,0.168,0.488,0.747,4.71e-05,0.146,-4.266,0.0862,168.02,7,1,180714,0.216,4,"7wHRNRxqJcCO9hzE025Iyf","singer-songwriter pop",NA,NA,NA,NA,NA,NA
"I Want It That Way","Backstreet Boys","Millennium","1999-05-18",84,0.257,0.689,0.694,0,0.148,-5.83,0.027,99.039,6,0,213306,0.482,4,"47BBI51FKFwOMlIiX6m8ya","boy band","dance pop","pop",NA,NA,NA,NA
"Marlboro Nights","Lonely God","Marlboro Nights","2018-06-28",77,0.00237,0.466,0.823,0.000321,0.332,-6.635,0.311,175.797,2,1,68522,0.782,4,"755inykyaG4w22GWAsA3MX","modern indie pop",NA,NA,NA,NA,NA,NA
"Shock","Ana Tijoux","1977","2014-04-22",36,0.197,0.728,0.513,0,0.0628,-9.874,0.299,69.975,7,1,210040,0.761,4,"1omoll5ZFp7jIeLWZEGBLe","chilean rock","latin alternative","latintronica","rap chileno","rap feminino chileno","rap latina","rap politico"
"Cancelo","Rhove","Cancelo","2022-03-17",63,0.379,0.829,0.808,3.01e-06,0.0735,-5.734,0.257,142.952,11,0,174545,0.57,4,"4lstxdn27jZqnTuyaLeJfq","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"Bella Ciao - Remix","House Of Paper","Bella Ciao (Remix)","2018-05-12",48,0.201,0.829,0.809,1.99e-06,0.092,-4.774,0.0687,126.034,6,1,107619,0.725,4,"38dmkPe7nIe9lDGZ5Xdewc",NA,NA,NA,NA,NA,NA,NA
"I Gotta Feeling","Black Eyed Peas","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","2009-01-01",84,0.0873,0.743,0.766,0,0.509,-6.375,0.0265,127.96,0,1,289133,0.61,4,"4kLLWz7srcuLKA7Et40PQR","dance pop","pop","pop rap",NA,NA,NA,NA
"Bene","Gemitaiz","Nonostante Tutto","2016-01-22",59,0.0623,0.744,0.659,0,0.114,-7.191,0.142,136.089,6,1,237250,0.746,4,"3Jfi1WRHzREEGBDsaCrIXD","italian hip hop",NA,NA,NA,NA,NA,NA
"Pepas","Farruko","La 167","2021-10-01",72,0.00776,0.762,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,7,1,287120,0.442,4,"2B4GHvToeLTOBB4QLzW3Ni","reggaeton","trap latino","urbano latino",NA,NA,NA,NA
"Breaking News (""Rattn Tattn"")","Expulze","2 Loutr - 1 Soul","2019-04-01",57,0.0559,0.722,0.991,0.291,0.285,-5.18,0.147,160.041,11,0,171049,0.524,4,"3SpSPySCZRobjGpUsZdQq9","tekk",NA,NA,NA,NA,NA,NA
"Hear Me Now","Alok","Hear Me Now (feat. Zeeba)","2016-10-21",78,0.546,0.778,0.463,0.00289,0.0731,-7.603,0.0389,121.999,11,1,194840,0.496,4,"39cmB3ZoTOLwOTq7tMNqKa","electro house","pop nacional","sertanejo universitario","slap house",NA,NA,NA
