"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"6 Fairy Tales, Op. 51: No. 6, Allegro vivace sempre al rigore di tempo","Nikolai Medtner","Medtner: Solo Piano Works, Vol. 1","2021-04-16",1,0.987,0.413,0.134,0.914,0.0986,-24.239,0.0361,119.061,7,1,196533,0.427,4,"6msRQOSIBX1FAqdnhaCkQU","early modern classical","russian romanticism",NA,NA,NA,NA,NA,NA,NA,NA
"Nocturne No. 9 In B, Op. 32 No. 1","Frédéric Chopin","Chopin: Nocturnes","2005-01-01",44,0.995,0.231,0.013,0.905,0.068,-30.585,0.0409,79.614,11,1,248546,0.103,4,"5cNbz1TcuzndymBqUNyBC7","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Give Life Back to Music","Daft Punk","Random Access Memories","2013-05-20",64,0.00286,0.788,0.616,0.549,0.0952,-10.671,0.0337,119.037,9,0,275386,0.696,4,"0dEIca2nhcxDUV8C5QkPYb","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA
"Hit the Road Jack","Ray Charles","Soul","2021-06-04",72,0.704,0.598,0.571,0,0.513,-12.616,0.139,173.141,8,0,119880,0.962,4,"2HoqbEOXgbDSLZ5XCePEXt","classic soul","jazz blues","piano blues","soul","soul blues","vocal jazz",NA,NA,NA,NA
"Levitating","Dua Lipa","Future Nostalgia","2020-03-27",82,0.0561,0.695,0.884,0,0.213,-2.278,0.0753,103.014,6,0,203807,0.914,4,"39LLxExYz6ewLAcYrzQQyP","dance pop","pop","uk pop",NA,NA,NA,NA,NA,NA,NA
"Nocturne No. 5 In F Sharp, Op. 15 No. 2","Frédéric Chopin","Chopin: Nocturnes","2005-01-01",46,0.993,0.297,0.0204,0.896,0.0871,-28.613,0.0405,125.035,6,1,190693,0.0855,4,"2hRx649mlo5boO1jfDe03O","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Symphony No. 9 in D Minor, Op. 125 ""Choral"": II. Molto vivace","Ludwig van Beethoven","Beethoven: The 9 Symphonies","1963-01-01",25,0.965,0.373,0.369,0.896,0.214,-17.142,0.08,125.342,7,1,658000,0.322,4,"60hAkLU6H82UK02NDKJPEZ","classical","classical era","early romantic era","german romanticism",NA,NA,NA,NA,NA,NA
"From Disco To Disco","Whirlpool Productions","Dense Music","1996-01-01",43,0.288,0.863,0.734,0.0576,0.159,-8.077,0.0577,123.877,6,1,356000,0.961,4,"4AmULZtflj3SktU5MPB6EK","cologne electronic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazurka No. 13 in A Minor, Op. 17 No. 4","Vladimir Horowitz","Vladimir Horowitz - The Last Romantic","1985-01-01",9,0.975,0.321,0.00564,0.661,0.106,-35.993,0.0382,137.571,9,0,243173,0.0539,4,"49x6N3Td7R7S1C55DOAfWv","classical","classical performance","classical piano","russian classical piano",NA,NA,NA,NA,NA,NA
"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Praeludium 10","Johann Sebastian Bach","Bach, J.S.: The well-tempered Clavier","2009-01-01",12,0.994,0.335,0.0955,0.865,0.094,-23.784,0.0359,70.294,4,0,137986,0.181,4,"2USELWEVV7Gf4ZgX6zm2uR","baroque","classical","early music","german baroque",NA,NA,NA,NA,NA,NA
"What'd I Say","Ray Charles","The Genious of Soul - Ray Charles","2011-03-29",39,0.683,0.421,0.635,0,0.413,-8.911,0.207,177.198,4,1,387343,0.889,4,"6h4rAPuTPv0iAI1NaF2SRL","classic soul","jazz blues","piano blues","soul","soul blues","vocal jazz",NA,NA,NA,NA
"It's A Man's, Man's, Man's World","James Brown & The Famous Flames","It's A Man's Man's Man's World","1966-01-01",67,0.687,0.539,0.24,5.12e-05,0.133,-16.632,0.0426,80.816,3,0,167373,0.567,3,"3SQ9Hb9rfpJ02AWfaOPhpy","soul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waltz in A-Flat Major, Op. 42","Frédéric Chopin","Chopin: Complete Waltzes","2010-01-01",27,0.991,0.238,0.0919,0.911,0.107,-23.649,0.0418,71.503,8,1,239560,0.19,4,"5odpuQTweQD1T2VB6YS4iB","classical","early romantic era","polish classical",NA,NA,NA,NA,NA,NA,NA
"Das Wohltemperierte Klavier: Book 1, BWV 846-869: Praeludium 16","Johann Sebastian Bach","Bach, J.S.: The well-tempered Clavier","2009-01-01",9,0.994,0.194,0.0229,0.928,0.205,-35.478,0.0351,167.012,7,0,119933,0.267,4,"5Ici1l1zCOqrQOYFUvlZNM","baroque","classical","early music","german baroque",NA,NA,NA,NA,NA,NA
"6 Épigraphes antiques, L.131: 5. Pour l'Egyptienne","Claude Debussy","Debussy: Complete Piano Works","2018-02-16",0,0.994,0.319,0.00616,0.903,0.0987,-33.829,0.0359,74.086,11,1,160146,0.102,3,"7cGkXzPrZ9b5swvyki5rK9","classical","impressionism","post-romantic era",NA,NA,NA,NA,NA,NA,NA
