"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"43","On The Floor - Radio Edit","Jennifer Lopez","On The Floor","2011","Winter",75,0.0848,0.758,0.686,0.00127,0.142,-6.346,0.0792,130.007,"11","1",230906,0.444,"4","0Oe49j06Bjrxs8PltuVeaW","dance pop","pop","urban contemporary",NA,NA,NA,NA,NA
"44","A Sky Full of Stars","Coldplay","Ghost Stories","2014","Spring",87,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,124.97,"6","1",267866,0.162,"4","0FDzzruyVECATHXKHFs9eJ","permanent wave","pop",NA,NA,NA,NA,NA,NA
"45","Don't You Worry Child - Radio Edit","Swedish House Mafia","Don't You Worry Child","2012","Autumn",84,0.112,0.612,0.84,0,0.116,-3.145,0.0509,129.042,"11","0",212862,0.438,"4","2V65y3PX4DkRhy1djlxd9p","edm","pop dance","progressive electro house",NA,NA,NA,NA,NA
"46","Be the One","Dua Lipa","Dua Lipa (Deluxe)","2017","Summer",68,0.117,0.661,0.651,1.32e-05,0.056,-3.771,0.0499,87.46,"7","0",202914,0.368,"4","7FCfMXYTIiQ9b4hDYs4Iol","dance pop","pop","uk pop",NA,NA,NA,NA,NA
"47","Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer","Know No Better","2017","Summer",65,0.132,0.738,0.814,9.64e-06,0.126,-4.414,0.0999,119.041,"7","0",225849,0.483,"4","7LJkGyL4vVrtn1mho7BmtA","dance pop","edm","electro house","moombahton","pop","pop dance",NA,NA
"48","Waiting","Oliver Heldens","Waiting","2016","Winter",43,0.00594,0.603,0.931,0.141,0.257,-3.967,0.0722,125.021,"8","0",203050,0.544,"4","4kPrcceniY2kYb6zRF1vz6","dutch house","edm","electro house","future house","house","pop dance","progressive electro house","progressive house"
"49","Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5","Hands All Over (Revised International Standard version)","2010","missing",83,0.0117,0.722,0.761,0,0.315,-4.459,0.0475,128.044,"11","0",201493,0.624,"4","7pYfyrMNPn3wtoCyqcTVoI","pop",NA,NA,NA,NA,NA,NA,NA
"50","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","Hollywood's Bleeding","2019","Autumn",86,0.533,0.755,0.522,0,0.0685,-4.368,0.0575,89.96,"2","1",157560,0.925,"4","0RiRZpuVRbi7oqRdSMwhQY","dfw rap","melodic rap","pop","rap",NA,NA,NA,NA
"51","Goosebumps - Remix","Travis Scott","Goosebumps (Remix)","2021","Winter",80,0.418,0.841,0.593,0,0.124,-7.846,0.0379,124.917,"1","1",162802,0.808,"4","5uEYRdEIh9Bo4fpjDd4Na9","hip hop","rap","slap house",NA,NA,NA,NA,NA
"52","Boom, Like That","Mark Knopfler","The Best Of Dire Straits & Mark Knopfler - Private Investigations","2005","Winter",35,0.126,0.619,0.676,0.0405,0.0992,-7.427,0.0245,89.974,"7","0",349106,0.431,"4","5krws9p6cLwtL6s7kAEITA","soft rock",NA,NA,NA,NA,NA,NA,NA
