"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"20","Locked out of Heaven","Bruno Mars","Unorthodox Jukebox","2012","Winter",91,0.049,0.726,0.698,0,0.309,-4.165,0.0431,143.994,"5","1",233478,0.867,"4","3w3y8KPTfNeOKPiqUTakBh","dance pop","pop",NA,NA,NA,NA,NA,NA
"21","Mr. Rager","Kid Cudi","Man On The Moon II: The Legend Of Mr. Rager","2010","Autumn",76,0.389,0.671,0.726,0.882,0.14,-8.689,0.0272,102.002,"7","1",294226,0.581,"4","393MDhe62s8hbH8ETrlxe5","hip hop","ohio hip hop","pop rap","rap",NA,NA,NA,NA
"22","Take Me To Church","Hozier","Hozier","2014","Summer",86,0.634,0.566,0.664,0,0.116,-5.303,0.0464,128.945,"4","0",241688,0.437,"4","3dYD57lRAUcMHufyqn9GcI","irish singer-songwriter","modern rock","pov: indie",NA,NA,NA,NA,NA
"23","Budapest","George Ezra","Wanted on Voyage (Expanded Edition)","2014","Summer",83,0.0846,0.717,0.455,0,0.11,-8.303,0.0276,127.812,"5","1",200733,0.389,"4","2ixsaeFioXJmMgkkbd4uj1","folk-pop","neo-singer-songwriter","talent show",NA,NA,NA,NA,NA
"24","Glad You Came","The Wanted","Battleground (Deluxe Edition)","2011","Winter",81,0.0319,0.722,0.851,0,0.108,-3.873,0.0639,126.885,"7","0",197935,0.452,"4","5yDL13y5giogKs2fSNf7sj","boy band","dance pop","pop","post-teen pop",NA,NA,NA,NA
"25","Wildest Dreams (Taylor's Version)","Taylor Swift","Wildest Dreams (Taylor's Version)","2021","Autumn",87,0.0374,0.583,0.67,1e-04,0.126,-7.289,0.0646,140.061,"8","1",220433,0.498,"4","1Ov37jtRQ2YNAe8HzfczkL","pop",NA,NA,NA,NA,NA,NA,NA
"26","Dancing in the Moonlight","Toploader","Onka's Big Moka","2000","missing",80,0.0624,0.632,0.856,0,0.347,-3.463,0.0348,119.397,"10","1",232693,0.867,"4","3Fzlg5r1IjhLk2qRw667od","british alternative rock",NA,NA,NA,NA,NA,NA,NA
"27","Sex on Fire","Kings of Leon","Only By The Night","2008","Autumn",72,0.00172,0.542,0.905,0.0104,0.136,-5.653,0.054,153.398,"9","1",203346,0.374,"4","5A1FmxbYVRZKy4nc16MAue","modern rock","rock",NA,NA,NA,NA,NA,NA
"28","Freaks","Surf Curse","Freaks","2021","Spring",86,3.84e-05,0.345,0.941,0.633,0.0511,-9.918,0.0466,179.626,"9","1",147062,0.407,"4","7EkWXAI1wn8Ii883ecd9xr","dreamo","indie surf","pov: indie","surf punk","vegas indie",NA,NA,NA
"29","Counting Stars","OneRepublic","Native","2013","Winter",89,0.0654,0.664,0.705,0,0.118,-4.972,0.0382,122.016,"1","0",257265,0.477,"4","2tpWsVSb9UEmDRxAl1zhX1","piano rock","pop",NA,NA,NA,NA,NA,NA
"30","Pursuit Of Happiness (Nightmare)","Kid Cudi","Man On The Moon: The End Of Day (Int'l Version)","2009","Winter",73,0.497,0.627,0.589,7.05e-05,0.324,-9.056,0.0405,115.284,"0","1",295293,0.247,"4","4kTLpAbhuEGHAAdDjOIWaa","hip hop","ohio hip hop","pop rap","rap",NA,NA,NA,NA
"31","Chasing Cars","Snow Patrol","Eyes Open","2006","Winter",61,0.208,0.559,0.603,3.71e-05,0.105,-4.594,0.0275,104.005,"9","1",265506,0.104,"4","5GuZz08qie5efPtqsQFsdT","irish rock","modern rock","neo mellow","permanent wave","pop rock",NA,NA,NA
"32","Only Love Can Hurt Like This","Paloma Faith","A Perfect Contradiction (Outsiders' Expanded Edition)","2014","Spring",84,0.0958,0.566,0.885,9.97e-05,0.334,-4.528,0.0818,90.99,"8","1",232893,0.304,"4","62ke5zFUJN6RvtXZgVH0F8","british soul","talent show","uk pop",NA,NA,NA,NA,NA
"33","Yellow","Coldplay","Parachutes","2000","Summer",92,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,173.372,"11","1",266773,0.285,"4","3AJwUDP919kvQ9QcozQPxg","permanent wave","pop",NA,NA,NA,NA,NA,NA
"34","Closer","The Chainsmokers","Closer","2016","Summer",86,0.414,0.748,0.524,0,0.111,-5.599,0.0338,95.01,"8","1",244960,0.661,"4","7BKLCZ1jbUBVqRi2FVlTVw","pop",NA,NA,NA,NA,NA,NA,NA
"35","Little Lion Man","Mumford & Sons","Sigh No More (Deluxe)","2010","Winter",69,0.0287,0.519,0.494,3.34e-05,0.0892,-8.03,0.0275,138.524,"5","1",247000,0.482,"4","3QjpO5xOB9ErJ95AxT0h0r","modern folk rock","modern rock","neo mellow","stomp and holler","uk americana",NA,NA,NA
"36","Out of My League","Fitz and The Tantrums","More Than Just a Dream","2013","Spring",62,0.0387,0.545,0.968,0.00325,0.331,-3.553,0.0853,169.965,"9","0",209386,0.527,"4","0i5spxZKedPA2TgGuvJ3AL","la indie","modern alternative rock","modern rock","pop rock","pov: indie",NA,NA,NA
"37","Someone Like You","Adele","21","2011","Winter",84,0.893,0.556,0.319,0,0.0996,-8.251,0.0281,135.187,"9","1",285240,0.294,"4","3bNv3VuUOKgrf5hu3YcuRo","british soul","pop","pop soul","uk pop",NA,NA,NA,NA
"38","Talking to the Moon","Bruno Mars","Doo-Wops & Hooligans","2010","Autumn",80,0.511,0.498,0.59,0,0.107,-4.721,0.032,145.867,"1","0",217866,0.0784,"4","1wVuPmvt6AWvTL5W2GJnzZ","dance pop","pop",NA,NA,NA,NA,NA,NA
"39","Kilby Girl","The Backseat Lovers","When We Were Friends","2019","Winter",78,0.0578,0.329,0.444,0.0352,0.113,-9.973,0.0417,162.279,"1","1",282205,0.225,"4","1170VohRSx6GwE6QDCHPPH","pov: indie","slc indie",NA,NA,NA,NA,NA,NA
"40","Save Your Tears","The Weeknd","After Hours","2020","Spring",89,0.0212,0.68,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,"0","1",215626,0.644,"4","5QO79kh1waicV47BqGRL3g","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA
"41","Screwface Capital","Dave","PSYCHODRAMA","2019","Spring",72,0.523,0.914,0.56,3.69e-05,0.198,-7.56,0.0486,112.015,"0","1",253093,0.427,"4","65TggCitjPK0sUXtwgOkN9","uk hip hop",NA,NA,NA,NA,NA,NA,NA
"42","When I Was Your Man","Bruno Mars","Unorthodox Jukebox","2012","Winter",90,0.932,0.612,0.28,0,0.088,-8.648,0.0434,72.795,"0","1",213826,0.387,"4","0nJW01T7XtvILxQgC5J7Wh","dance pop","pop",NA,NA,NA,NA,NA,NA
"43","champagne problems","Taylor Swift","evermore","2020","Winter",83,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,"0","1",244000,0.32,"4","0sY6ZUTh4yoctD8VIXz339","pop",NA,NA,NA,NA,NA,NA,NA
"44","Heat Waves","Glass Animals","Dreamland (+ Bonus Levels)","2020","Summer",25,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,"11","1",238805,0.531,"4","02MWAaffLxlfxAUY7c5dvx","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA,NA,NA
