"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"31","Lucciole","BLANCO","Blu Celeste","2021","Autumn",55,0.852,0.737,0.435,0,0.0987,-7.301,0.0546,123.082,"1","0",176097,0.466,"4","7HmgMA9PqikUtSG4eusHy2","italian hip hop","italian pop",NA,NA,NA
"32","Non Mi Fido","Side Baby","Non Mi Fido","2019","Winter",45,0.233,0.725,0.611,0,0.278,-6.025,0.164,142.923,"4","0",193321,0.504,"4","3peOFu7a5f0bez49JI6DDa","italian hip hop","trap italiana",NA,NA,NA
"33","Non voglio morire","Mostro","The Illest, Vol. 2","2019","Spring",54,0.913,0.644,0.641,0,0.101,-11.006,0.226,107.946,"2","1",128333,0.348,"3","4EpzBJ0XsCvzygfx3aavTO","italian hip hop","italian pop",NA,NA,NA
"34","Venerdì","ARIETE","Venerdì","2020","Autumn",45,0.503,0.491,0.479,0,0.0402,-8.939,0.0522,79.103,"9","1",190947,0.155,"4","72mCu5IteX3hZA8lZDLdrN","italian hip hop","italian pop","rome indie",NA,NA
"35","Ferma A Guardare (feat. Pinguini Tattici Nucleari)","Ernia","Gemelli","2021","Winter",68,0.445,0.585,0.724,0,0.1,-5.611,0.0967,162.05,"9","0",213542,0.547,"4","1eDC4NiUYgQSKpKDIvXxi4","italian hip hop","italian pop","milan indie",NA,NA
"36","Ancora Sveglio","PSICOLOGI","Ancora Sveglio","2019","Autumn",56,0.487,0.596,0.745,0,0.129,-8.182,0.365,74.836,"7","1",147612,0.367,"4","3HbqT0C19imY4VAPqGTCa0","italian hip hop","italian pop","rome indie",NA,NA
"37","Da paura","Mostro","Da paura","2022","Spring",33,0.0721,0.789,0.829,0,0.195,-6.183,0.27,118.057,"0","1",194377,0.79,"4","3pX2HMk6FtOO5Wl0ZXiVc8","italian hip hop","italian pop",NA,NA,NA
"38","Solo Per Me (feat. Massimo Pericolo)","MadMan","MM Vol. 4","2021","Autumn",53,0.163,0.813,0.484,3.99e-05,0.107,-8.592,0.137,104.983,"8","1",178624,0.187,"4","0UKgEDJm4M54t50cbGGiUC","italian hip hop",NA,NA,NA,NA
"39","Futura Ex (feat. Ernia)","Guè","GVESVS","2021","Winter",58,0.59,0.727,0.651,1.13e-05,0.166,-5.969,0.353,83.909,"6","0",190666,0.756,"4","53PNWLqDwWyXotuq977r1x","italian hip hop","italian pop",NA,NA,NA
"40","Stanotte","PSICOLOGI","Stanotte","2019","Autumn",56,0.584,0.625,0.498,0,0.0684,-10.561,0.033,105.019,"9","1",170170,0.315,"4","6QYX8ZfG0ICSkqTaASvycX","italian hip hop","italian pop","rome indie",NA,NA
"41","Tutto passa","Mostro","The Illest, Vol. 2","2019","Spring",62,0.208,0.513,0.587,0,0.118,-9.825,0.451,97.662,"1","1",154613,0.247,"4","7uZkGKfR4WvuLrOt5t63H0","italian hip hop","italian pop",NA,NA,NA
"42","<3","Gemitaiz","QVC9 - QUELLO CHE VI CONSIGLIO VOL. 9","2020","Autumn",54,0.279,0.931,0.599,0.0454,0.346,-7.821,0.124,118.018,"3","0",191114,0.915,"4","5TLgJt80zAf9QV9swPiDWX","italian hip hop",NA,NA,NA,NA
"43","Before You Go","Lewis Capaldi","Before You Go","2019","Autumn",75,0.604,0.459,0.575,0,0.0885,-4.858,0.0573,111.881,"3","1",215106,0.183,"4","7ce20yLkzuXXLUhzIDoZih","pop","uk pop",NA,NA,NA
"44","POVERO (feat. Fuera)","PSICOLOGI","MILLENNIUM BUG","2020","Summer",35,0.0108,0.754,0.92,0,0.122,-6.145,0.0442,139.985,"5","0",195465,0.912,"4","2RNeHi2IFyexIupnT0xelU","italian hip hop","italian pop","rome indie",NA,NA
"45","Diavolo magro","Mostro","Diavolo magro","2019","Winter",24,0.295,0.776,0.706,0,0.739,-6.925,0.266,115.031,"11","0",160496,0.277,"4","2EnsFtCExyydms2J4ofMyB","italian hip hop","italian pop",NA,NA,NA
"46","Borderline","lowlow","Redenzione","2017","Winter",42,0.0176,0.787,0.889,2.41e-06,0.108,-5.386,0.246,147.877,"4","0",212426,0.572,"4","67h9i3BcVU0mQHJfa6plJH","italian hip hop","italian pop","rome indie",NA,NA
"47","Outro In The Night","Gemitaiz","QVC9 - QUELLO CHE VI CONSIGLIO VOL. 9","2020","Autumn",53,0.663,0.566,0.383,1.9e-06,0.309,-13.464,0.226,90.324,"1","0",175240,0.359,"4","4GipSOvgko6Twojx9zE3QE","italian hip hop",NA,NA,NA,NA
"48","Diploma","PSICOLOGI","2001","2019","Summer",50,0.655,0.527,0.358,0,0.093,-13.466,0.0528,149.568,"10","1",147400,0.406,"4","5lI8bCMkVq7YjOpc592aVr","italian hip hop","italian pop","rome indie",NA,NA
"49","Solamente unico","Mostro","The Illest, Vol. 1","2015","missing",41,0.145,0.478,0.848,0,0.0891,-6.596,0.603,77.285,"0","1",272592,0.0551,"4","35FZEed4oE5coK7oMF78So","italian hip hop","italian pop",NA,NA,NA
"50","Perfect","Ed Sheeran","÷ (Deluxe)","2017","Spring",90,0.163,0.599,0.448,0,0.106,-6.312,0.0232,95.05,"8","1",263400,0.168,"3","0tgVpDi06FyKpA1z0VMD4v","pop","singer-songwriter pop","uk pop",NA,NA
"51","Falling","Trevor Daniel","Nicotine","2020","Spring",80,0.123,0.785,0.431,0,0.0887,-8.756,0.0364,127.085,"10","0",159381,0.236,"4","0Aqi7ArnBrGblW5T6p2jmD","melodic rap",NA,NA,NA,NA
"52","PER ME SEI","PSICOLOGI","MILLENNIUM BUG","2020","Summer",42,0.417,0.672,0.476,0,0.115,-7.856,0.031,120.03,"4","1",151590,0.265,"4","288VqYcPjBByP0Sy3mnSxU","italian hip hop","italian pop","rome indie",NA,NA
"53","Un po' depresso","Mostro","Sinceramente Mostro","2020","Spring",52,0.201,0.923,0.648,0,0.102,-5.278,0.222,125.043,"1","1",194006,0.771,"4","5KDVJIKWhxLwTs15IN2E5G","italian hip hop","italian pop",NA,NA,NA
"54","MAMMASTOMALE (feat. Salmo) - prod. Dade","MACHETE","MACHETE MIXTAPE 4","2019","Summer",56,0.0404,0.764,0.666,5.84e-05,0.136,-6.995,0.0828,139.976,"2","1",154549,0.216,"4","5nFX29WZIulql4m4ic0KRw","italian hip hop","italian pop","trap italiana",NA,NA
"55","Imagination","Shawn Mendes","Handwritten (Deluxe)","2015","Spring",76,0.0743,0.64,0.455,0,0.0694,-5.942,0.0247,89.948,"0","1",217773,0.333,"4","21TcDbGosp7w9YhTjOszgA","canadian pop","pop","viral pop",NA,NA
"56","AMICI","PSICOLOGI","MILLENNIUM BUG","2020","Summer",30,0.0264,0.561,0.902,0,0.255,-5.313,0.115,88.041,"4","0",148155,0.647,"4","477xjLkp2xSHqmDQ8B1Qkj","italian hip hop","italian pop","rome indie",NA,NA
"57","E Fumo Ancora - Acoustic Version","Mostro","Ogni maledetto giorno (Inferno Edition)","2018","Spring",59,0.834,0.485,0.564,0,0.0956,-10.308,0.438,183.519,"0","0",233857,0.282,"4","13pPMF0wN7r19IU8vV2igc","italian hip hop","italian pop",NA,NA,NA
"58","STUPIDO","Massimo Pericolo","SOLO TUTTO","2021","Spring",67,0.708,0.404,0.529,2.19e-05,0.219,-8.885,0.364,86.711,"11","0",187431,0.36,"4","6HVRRlc2sBlkcKEkhlsp86","italian hip hop","trap metal italiana",NA,NA,NA
"59","Black Mirror","Gemitaiz","Kepler","2014","Spring",39,0.0353,0.83,0.761,0,0.159,-4.803,0.299,105.022,"1","1",220317,0.427,"4","6CJxN01R9KX7lgFNGmpblk","italian hip hop",NA,NA,NA,NA
"60","RADIO","PSICOLOGI","MILLENNIUM BUG","2020","Summer",42,0.000191,0.577,0.698,0,0.151,-5.413,0.0305,106.956,"6","0",170920,0.25,"4","2pz4yySJBO64GSHZXF6gIO","italian hip hop","italian pop","rome indie",NA,NA
"61","Memorie di uno sconfitto, pt. 2","Mostro","Sinceramente Mostro","2020","Spring",52,0.459,0.646,0.728,0,0.233,-7.326,0.324,91.79,"10","0",189656,0.276,"4","0LfCk2cn6b40ktfjes5o9K","italian hip hop","italian pop",NA,NA,NA
"62","MARYLEAN (feat. Marracash) - prod. Low Kidd","MACHETE","MACHETE MIXTAPE 4","2019","Summer",65,0.0776,0.722,0.646,0,0.594,-6.743,0.31,136.955,"2","0",144097,0.661,"4","28fRkU3vhqAJdl9i9458pQ","italian hip hop","italian pop","trap italiana",NA,NA
"63","Star","Luchè","Potere","2018","Summer",60,0.0105,0.576,0.615,0,0.0879,-5.737,0.0411,120.005,"3","0",267119,0.142,"4","2Cg2JWucAfemcFTvWoErMd","italian hip hop","italian pop","rap napoletano",NA,NA
"64","FUNERALE (feat. Tredici Pietro)","PSICOLOGI","MILLENNIUM BUG","2020","Summer",36,0.0267,0.399,0.778,0,0.117,-5.093,0.206,199.428,"1","1",166987,0.465,"4","5vrTBMHx2IXucR0pWdLZZN","italian hip hop","italian pop","rome indie",NA,NA
"65","Bulli della nuova scuola","Mostro","La nave fantasma","2014","Spring",27,0.0805,0.635,0.805,0,0.111,-7.553,0.316,87.182,"4","0",230000,0.321,"4","1ManLwRkJAA8TgBOtEJVD3","italian hip hop","italian pop",NA,NA,NA
"66","Pastello Bianco","Pinguini Tattici Nucleari","AHIA!","2020","Winter",71,0.451,0.546,0.652,0,0.123,-3.852,0.0339,139.875,"0","1",236417,0.378,"4","0bKDQionn4VKcgNKbs4SWX","bergamo indie","italian indie pop","italian pop","milan indie",NA
