"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"49","Underwear","Pulp","Different Class","1995","Autumn",55,0.0991,0.279,0.627,2.09e-06,0.11,-9.419,0.0323,97.051,"9","1",246186,0.214,"4","5pcDlqgygjWQ75QYLM7mdL","alternative rock","britpop","permanent wave","sheffield indie",NA,NA,NA,NA,NA,NA,NA
"50","Across The Universe - Remastered 2009","The Beatles","Let It Be (Remastered)","1970","Spring",68,0.361,0.257,0.412,8.68e-05,0.0702,-11.788,0.0287,152.126,"1","1",228133,0.858,"4","4dkoqJrP0L8FXftrMZongF","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"51","Four Out Of Five","Arctic Monkeys","Tranquility Base Hotel & Casino","2018","Spring",65,0.0626,0.601,0.863,0,0.0717,-4.31,0.0685,130.189,"0","1",312346,0.676,"4","5Z5nbOXhsSbySVC7WUc6y9","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA,NA
"52","This Charming Man - 2011 Remaster","The Smiths","The Smiths","1984","Winter",80,0.00509,0.611,0.846,0,0.0784,-5.9,0.0436,103.912,"11","1",162920,0.751,"4","1FvDJ9KGxcqwv1utyPL3JZ","madchester","new wave","permanent wave","rock","uk post-punk",NA,NA,NA,NA,NA,NA
"53","Daddy Cool","Boney M.","Take The Heat Off Me","1976","missing",76,0.281,0.763,0.777,0.79,0.134,-6.932,0.0364,124.431,"5","0",208600,0.929,"4","3WMbD1OyfKuwWDWMNbPQ4g","europop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","I Am The Walrus - Remastered 2009","The Beatles","The Beatles 1967 - 1970 (Remastered)","1973","Spring",43,0.076,0.377,0.511,0.000334,0.6,-11.887,0.0447,87.614,"2","1",275680,0.662,"4","01p2T2WtAGVbjnNhNHZfiA","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"55","R U Mine?","Arctic Monkeys","AM","2013","Autumn",85,0.00616,0.288,0.758,0,0.303,-5.692,0.0371,97.094,"6","0",201726,0.619,"4","2AT8iROs4FQueDv2c8q2KE","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA,NA
"56","L'assenzio ( the Power of Nothing)","Bluvertigo","Pop Tools (Alcune Fasi e Forme d'Onda)","2001","Winter",36,0.0624,0.722,0.507,0.000755,0.124,-8.084,0.0354,129.692,"1","0",233426,0.619,"4","1yhr95Jd7uqh391cqQDrpx","italian alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Aberdeen - Unpeeled","Cage The Elephant","Unpeeled","2017","Summer",37,0.000814,0.52,0.838,0.000401,0.373,-5.877,0.0463,111.725,"0","1",173840,0.516,"4","6z3RIjrBz6d2tVPYZ9rikZ","modern alternative rock","modern rock","pov: indie","punk blues","rock",NA,NA,NA,NA,NA,NA
"58","Giorgio by Moroder","Daft Punk","Random Access Memories","2013","Spring",65,0.0692,0.74,0.682,0.53,0.381,-10.42,0.0504,113.201,"9","0",544626,0.41,"4","0oks4FnzhNp5QPTZtoet7c","electro","filter house","rock",NA,NA,NA,NA,NA,NA,NA,NA
