"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"1","In The Heat Of The Morning","The Last Shadow Puppets","The Age Of The Understatement","2008","Spring",56,3.04e-05,0.339,0.881,4.83e-05,0.119,-6.524,0.0668,126.367,"7","1",161333,0.59,"4","2pAm0eho3UtxAK1bsRuOK7","baroque pop","modern rock","sheffield indie",NA,NA,NA,NA,NA,NA,NA,NA
"2","Miracle Aligner","The Last Shadow Puppets","Everything You've Come To Expect (Deluxe Edition)","2016","Winter",64,0.0124,0.562,0.724,1.42e-06,0.223,-8.627,0.0271,113.056,"6","0",245727,0.855,"4","4iwpCp7qdDLngGI3gsVTza","baroque pop","modern rock","sheffield indie",NA,NA,NA,NA,NA,NA,NA,NA
"3","Wet Sand","Red Hot Chili Peppers","Stadium Arcadium","2006","Spring",68,0.0313,0.313,0.753,2.25e-06,0.142,-3.921,0.0285,176.748,"4","0",309800,0.514,"4","3L2Nyi3T7XabH8EEZFLDdX","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"4","Norwegian Wood (This Bird Has Flown) - Remastered 2009","The Beatles","Rubber Soul (Remastered)","1965","Winter",74,0.183,0.425,0.369,0.00126,0.112,-11.876,0.0379,176.625,"4","1",124693,0.65,"3","1H7gMYGykdtwZOV6s1N0by","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"5","Make It Wit Chu","Queens of the Stone Age","Era Vulgaris","2007","Winter",66,0.413,0.708,0.828,0.000104,0.12,-5.286,0.0286,91.977,"9","1",290493,0.505,"4","6GyDY0yE47rfk8pcuKhioh","alternative metal","alternative rock","grunge","modern rock","nu metal","palm desert scene","rock","stoner metal","stoner rock",NA,NA
"6","Little Wing","Jimi Hendrix","Axis: Bold As Love","1967","Winter",74,0.181,0.515,0.534,0.00278,0.0547,-8.045,0.0768,70.776,"6","1",145746,0.426,"4","1Eolhana7nKHYpcYpdVcT5","acid rock","album rock","alternative rock","classic rock","hard rock","proto-metal","psychedelic rock","rock",NA,NA,NA
"7","Touch Me","The Doors","The Soft Parade","1969","Summer",68,0.405,0.425,0.903,0.0128,0.117,-4.801,0.0732,108.748,"1","1",190253,0.769,"4","4BVE5tIIpYabZcYCbephNW","acid rock","album rock","classic rock","hard rock","psychedelic rock","rock",NA,NA,NA,NA,NA
"8","Kids","MGMT","Oracular Spectacular","2007","Winter",80,0.00076,0.451,0.931,0.0049,0.361,-3.871,0.0719,122.961,"9","1",302840,0.172,"4","1jJci4qxiYcOHhQR247rEU","alternative rock","indie rock","indietronica","modern rock","rock",NA,NA,NA,NA,NA,NA
"9","Don't Let Me Down - Remastered 2009","The Beatles","The Beatles 1967 - 1970 (Remastered)","1973","Spring",69,0.568,0.593,0.289,0.000829,0.0928,-11.049,0.0259,77.119,"4","1",215733,0.733,"4","3evG0BIqEFMMP7lVJh1cSf","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"10","Gas Dance","The Last Shadow Puppets","Standing Next To Me","2008","Summer",45,0.0801,0.354,0.708,0.00227,0.135,-7.472,0.0441,130.449,"0","1",219880,0.475,"4","3GVF9xpMZfIWDjpOszCc0g","baroque pop","modern rock","sheffield indie",NA,NA,NA,NA,NA,NA,NA,NA
"11","Hurdy Gurdy Man","Donovan","The Hurdy Gurdy Man","1968","missing",58,0.00379,0.405,0.463,0.0442,0.392,-16.167,0.0542,79.451,"0","1",193466,0.542,"4","7AL6qzIDHIX7pEUWrzNiIs","british blues","british folk","british invasion","classic rock","folk","folk rock","glam rock","psychedelic folk","psychedelic rock","scottish singer-songwriter","singer-songwriter"
"12","Jumpin' Jack Flash","The Rolling Stones","Jumpin' Jack Flash / Child Of The Moon","2021","Spring",61,0.0744,0.595,0.885,0.534,0.0844,-7.688,0.0518,137.243,"3","1",222933,0.643,"4","1uBsu3PbD2909UBIfEMLvK","album rock","british invasion","classic rock","rock",NA,NA,NA,NA,NA,NA,NA
"13","Helter Skelter - Remastered 2009","The Beatles","The Beatles (Remastered)","1968","Autumn",62,0.000606,0.166,0.831,0.846,0.811,-8.469,0.0894,167.518,"9","1",269786,0.281,"4","0Bs0hUYxz7REyIHH7tRhL2","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"14","You're So Dark","Arctic Monkeys","One For The Road","2013","Winter",63,0.258,0.484,0.649,0.0116,0.0898,-7.479,0.0561,151.537,"11","0",182751,0.838,"4","40DwUg5zPX8H23WpTdD2iW","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA,NA
"15","Monkey Gone to Heaven","Pixies","Doolittle","1989","Spring",68,0.00418,0.654,0.39,0.0069,0.271,-10.638,0.0307,116.572,"6","0",175333,0.566,"4","6BT7qiDY4A5tOyklohjQuW","alternative rock","boston rock","permanent wave","rock",NA,NA,NA,NA,NA,NA,NA
"16","My Sweet Lord - 2014 Remaster","George Harrison","All Things Must Pass (2014 Remaster)","1970","Autumn",77,0.083,0.539,0.69,0,0.0847,-9.019,0.0332,120.983,"1","0",281231,0.553,"4","6vE90mi4yKsQGY3YD2OOv1","album rock","beatlesque","classic rock","folk rock","mellow gold","rock","singer-songwriter","soft rock",NA,NA,NA
"17","I've Got A Feeling - Remastered 2009","The Beatles","Let It Be (Remastered)","1970","Spring",59,0.0715,0.44,0.609,0,0.582,-8.824,0.0358,165.156,"2","1",217560,0.364,"4","3gwRWIbr5ycEVLIAXrWaw7","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"18","Love Will Tear Us Apart - 2020 Remaster","Joy Division","Love Will Tear Us Apart","1980","Summer",74,0.000541,0.527,0.923,0.765,0.127,-7.458,0.0379,146.924,"2","1",208453,0.899,"4","34iOH7LY3vme5rQxsVILZ4","alternative rock","art rock","indie rock","madchester","new wave","post-punk","punk","rock","uk post-punk",NA,NA
"19","Standing Next To Me","The Last Shadow Puppets","The Age Of The Understatement","2008","Spring",64,0.00116,0.322,0.95,1.75e-06,0.263,-6.287,0.101,182.778,"9","0",142653,0.574,"4","03F0Hspx6mEkiiYqEzVu5u","baroque pop","modern rock","sheffield indie",NA,NA,NA,NA,NA,NA,NA,NA
"20","Get It On","T. Rex","Electric Warrior","1971","Autumn",73,0.176,0.728,0.878,0.856,0.61,-6.926,0.0564,126.59,"11","0",262613,0.911,"4","0LoQuiekvzqx7n8flgEKzF","british blues","classic rock","glam rock","protopunk","rock",NA,NA,NA,NA,NA,NA
"21","Something - Remastered 2009","The Beatles","Abbey Road (Remastered)","1969","Autumn",75,0.198,0.396,0.338,2.62e-06,0.138,-10.872,0.0304,133.522,"0","1",182293,0.377,"4","0pNeVovbiZHkulpGeOx1Gj","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"22","Black Summer","Red Hot Chili Peppers","Black Summer","2022","Winter",67,0.0267,0.417,0.682,0.000669,0.109,-5.071,0.0295,105.542,"1","1",232412,0.351,"4","3a94TbZOxhkI9xuNwYL53b","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"23","Sweet Dreams, TN","The Last Shadow Puppets","Everything You've Come To Expect (Deluxe Edition)","2016","Winter",68,0.000878,0.282,0.566,0,0.38,-6.924,0.0291,112.362,"11","0",236252,0.477,"3","1W0OCrMsRP1SLTEdw3JwEz","baroque pop","modern rock","sheffield indie",NA,NA,NA,NA,NA,NA,NA,NA
"24","Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)","Achille Lauro","1969 - Achille Idol Rebirth","2020","Autumn",57,0.00391,0.573,0.886,0.000447,0.152,-4.322,0.054,159.975,"2","1",174638,0.487,"4","5i12eplaUT5pPE5iC6B2FZ","italian adult pop","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"25","Get Back - Remastered 2009","The Beatles","Let It Be (Remastered)","1970","Spring",71,0.492,0.761,0.592,0.00626,0.61,-9.836,0.0586,123.095,"2","1",189386,0.332,"4","4MLBqAEzNN89o2M9h92Z26","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"26","By the Way","Red Hot Chili Peppers","By the Way (Deluxe Edition)","2002","Summer",79,0.0264,0.451,0.97,0.00355,0.102,-4.938,0.107,122.444,"0","1",216933,0.198,"4","1f2V8U1BiWaC9aJWmpOARe","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"27","Black Treacle","Arctic Monkeys","Suck It and See","2011","Summer",61,0.000821,0.343,0.89,0,0.0912,-5.759,0.0655,100.061,"7","1",217440,0.525,"4","7EUcOIbJSePmXGvAe7G79C","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA,NA
"28","Another One Bites The Dust - Remix","Queen","Greatest Hits III","1999","Autumn",41,0.0625,0.946,0.581,2.71e-06,0.0623,-9.296,0.23,105.973,"6","0",260839,0.808,"4","61FHPHXfnA0SG9sGjkrHNo","classic rock","glam rock","rock",NA,NA,NA,NA,NA,NA,NA,NA
"29","Time to Pretend","MGMT","Oracular Spectacular","2007","Winter",74,8.74e-05,0.438,0.94,0.0777,0.3,-3.249,0.0452,100.99,"2","1",261000,0.421,"3","4iG2gAwKXsOcijVaVXzRPW","alternative rock","indie rock","indietronica","modern rock","rock",NA,NA,NA,NA,NA,NA
