"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"66","Make Luv","Room 5","Music & You","2003","Autumn",62,0.0111,0.883,0.887,0.63,0.0367,-4.92,0.116,124.814,"1","1",212413,0.648,"4","6xXEw4y39shgIp6pacKQFH","disco house","vocal house",NA,NA,NA,NA,NA,NA,NA
"67","Music Sounds Better with You","NEIL FRANCES","Music Sounds Better with You","2017","Summer",72,0.274,0.927,0.525,0.238,0.0672,-8.256,0.0667,118.023,"8","0",198305,0.778,"4","1vMGIZbIkpaLSagdF2ygcV","indie soul",NA,NA,NA,NA,NA,NA,NA,NA
"68","Morning Sex","Ralph Castelli","Morning Sex","2019","Summer",66,0.0473,0.81,0.353,0.000104,0.082,-9.536,0.0437,124.991,"6","1",175312,0.731,"4","2fGRJzoiYJYAzlQAyBONMb","alaska indie",NA,NA,NA,NA,NA,NA,NA,NA
"69","Little Freak","Harry Styles","Harry's House","2022","Spring",80,0.719,0.559,0.535,0.000143,0.0954,-7.723,0.039,141.96,"3","1",202183,0.402,"4","3i058E8uxTsYqJ5NWZzqSj","pop",NA,NA,NA,NA,NA,NA,NA,NA
"70","Heart Of Glass - Remix","Blondie","Parallel Lines: Deluxe Collector's Edition","1978","Autumn",69,0.00147,0.654,0.809,0.0143,0.123,-5.053,0.0417,114.685,"4","1",249733,0.492,"4","2HhBmnL8kVYaevaaCsnMVB","candy pop","new wave pop","permanent wave","power pop","rock","synthpop",NA,NA,NA
"71","Freak","Doja Cat","Freak","2020","Summer",72,0.0969,0.688,0.716,0,0.0989,-5.702,0.0385,116.912,"7","1",284480,0.373,"3","3aA6xB0tOilDDX17fIJ0Bl","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"72","The Weekend - Radio Edit","Michael Gray","Analog Is On","2007","Summer",69,0.000321,0.686,0.832,0.127,0.583,-5.673,0.0725,127.023,"4","0",192173,0.884,"4","6KzkqZqhUBEsWYJJa2aBOd","disco house","vocal house",NA,NA,NA,NA,NA,NA,NA
"73","Photo ID","Remi Wolf","I'm Allergic To Dogs!","2020","Summer",61,0.111,0.822,0.66,0,0.143,-3.637,0.0819,113.956,"1","1",265263,0.802,"4","0bhciG1J5Mn3aIfPjvHQIe","indie pop","modern alternative pop",NA,NA,NA,NA,NA,NA,NA
"74","Adore You","Harry Styles","Fine Line","2019","Winter",86,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,"8","1",207133,0.569,"4","3jjujdWJ72nww5eGnfs2E7","pop",NA,NA,NA,NA,NA,NA,NA,NA
"75","Toxic Pony","ALTÉGO","Toxic Pony","2022","Winter",68,0.00757,0.775,0.652,0.000598,0.105,-9.906,0.152,143.08,"0","1",198041,0.922,"4","6QHXcb0eFwOKZOZ9bOFmxm",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Think That I Don't Need Your Love","Joesef","Think That I Don't Need Your Love","2020","Winter",53,0.108,0.69,0.83,1.17e-05,0.0843,-8.067,0.0697,99.985,"7","0",223414,0.801,"4","1vFOdLRFuiz5K2pZ7UggOJ","indie soul","uk alternative pop",NA,NA,NA,NA,NA,NA,NA
"77","Liar","Camila Cabello","Romance","2019","Winter",67,0.0169,0.74,0.498,0.00282,0.319,-6.684,0.0456,98.016,"11","0",207038,0.652,"4","073ILU1C3APNRGF66VhtyA","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"78","Watermelon Sugar","Harry Styles","Fine Line","2019","Winter",89,0.122,0.548,0.816,0,0.335,-4.209,0.0465,95.39,"0","1",174000,0.557,"4","6UelLqGlWMcVH1E5c4H7lY","pop",NA,NA,NA,NA,NA,NA,NA,NA
"79","I'm Every Woman","Disco Snolly","I'm Every Woman","2021","Autumn",38,0.0142,0.725,0.714,0.144,0.0712,-6.592,0.0415,119.988,"10","0",204028,0.672,"4","3A70VKtfTDk8iLAVBwxdQz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","New Shoes","Paolo Nutini","These Streets","2007","Winter",69,0.47,0.748,0.735,1.09e-05,0.0851,-8.692,0.0903,150.04,"8","1",203653,0.854,"4","265Anh9hGoozFigjUVLUeD","british soul","neo mellow","scottish singer-songwriter",NA,NA,NA,NA,NA,NA
