"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"59","Futura Ex (feat. Ernia)","Guè","GVESVS","2021","Winter",58,0.59,0.727,0.651,1.13e-05,0.166,-5.969,0.353,83.909,"6","0",190666,0.756,"4","53PNWLqDwWyXotuq977r1x","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"60","Gonna Get This","Hannah Montana","Hannah Montana Forever","2010","Winter",60,0.0214,0.676,0.769,0,0.0797,-3.513,0.0464,100.02,"0","1",196866,0.781,"4","1y6Y28gA3mNHSs7RDLrDKs","pop","post-teen pop",NA,NA,NA,NA,NA,NA
"61","We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth","Nine Track Mind","2016","Winter",84,0.621,0.728,0.563,0,0.179,-8.053,0.134,100.017,"1","0",217706,0.352,"4","06KyNuuMOX1ROXRhj787tj","pop","viral pop",NA,NA,NA,NA,NA,NA
"62","Sugar","Maroon 5","V","2014","Autumn",83,0.0591,0.748,0.788,0,0.0863,-7.055,0.0334,120.076,"1","1",235493,0.884,"4","2iuZJX9X9P0GKaE93xcPjk","pop",NA,NA,NA,NA,NA,NA,NA
"63","7 Days","Craig David","Born to Do It","2000","Summer",73,0.23,0.659,0.812,0,0.0951,-7.499,0.0487,83.014,"4","0",235133,0.888,"4","0gPQTLaqHDgdupKEok7J2x","british soul","talent show",NA,NA,NA,NA,NA,NA
"64","happier","Olivia Rodrigo","SOUR","2021","Spring",87,0.765,0.395,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,"6","1",175933,0.338,"3","2tGvwE8GcFKwNdAXMnlbfl","pop",NA,NA,NA,NA,NA,NA,NA
"65","It Ain't Me (with Selena Gomez)","Kygo","It Ain't Me (with Selena Gomez)","2017","Winter",81,0.119,0.64,0.533,0,0.0864,-6.596,0.0706,99.968,"0","1",220780,0.515,"4","3eR23VReFzcdmS7TYCrhCe","edm","pop","pop dance","tropical house",NA,NA,NA,NA
"66","All About That Bass","Meghan Trainor","Title (Deluxe)","2015","Winter",75,0.0573,0.807,0.887,2.87e-06,0.124,-3.726,0.0503,134.052,"9","1",187920,0.961,"4","5jE48hhRu8E6zBDPRSkEq7","hip pop","pop",NA,NA,NA,NA,NA,NA
"67","I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida","My House","2015","Spring",68,0.0242,0.854,0.766,0,0.0793,-4.697,0.141,118.004,"9","0",224258,0.784,"4","2S5LNtRVRPbXk01yRQ14sZ","dance pop","miami hip hop","pop","pop rap",NA,NA,NA,NA
"68","New Rules","Dua Lipa","Dua Lipa (Deluxe)","2017","Summer",83,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,"9","0",209320,0.608,"4","2ekn2ttSfGqwhhate0LSR0","dance pop","pop","uk pop",NA,NA,NA,NA,NA
