"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"83","FINIMONDO","M¥SS KETA","CLUB TOPPERIA","2022","Spring",52,0.033,0.796,0.842,5.2e-05,0.178,-6.94,0.231,126.008,"7","1",171904,0.691,"4","0RFRr1i6USZRE66r5vB9OT","italian indie pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"84","Brividi","Mahmood","Brividi","2022","Winter",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,"7","1",199146,0.342,"4","1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"85","Ciao Ciao","La rappresentante di lista","Ciao Ciao","2022","Winter",58,0.125,0.747,0.819,2.61e-06,0.331,-4.602,0.134,117.994,"4","0",184311,0.637,"4","0jLeyuu6mtsD384054xLah","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop",NA,NA,NA,NA,NA
"86","Yuck","Charli XCX","CRASH (Deluxe)","2022","Spring",42,0.0585,0.765,0.675,1.51e-06,0.0703,-5.687,0.0402,100.939,"1","1",138800,0.886,"4","2bFWJKaM3j7pklZmZVaIZY","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"87","Heat Waves","Glass Animals","Dreamland","2020","Summer",91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,"11","1",238805,0.531,"4","3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA,NA,NA,NA,NA
"88","Crazy What Love Can Do","David Guetta","Crazy What Love Can Do","2022","Spring",80,0.0282,0.601,0.713,0,0.158,-3.758,0.0449,122.872,"4","0",169756,0.464,"4","1WCEAGGRD066z2Q89ObXTq","big room","dance pop","edm","pop","pop dance",NA,NA,NA,NA,NA
"89","farfalle","sangiovanni","farfalle","2022","Winter",59,0.0927,0.733,0.784,0,0.195,-5.211,0.0606,120.016,"3","1",164000,0.377,"4","5HujDMiRNqZwEzVAh3oFD3","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"90","Something Good Can Work","Two Door Cinema Club","Tourist History","2010","Spring",67,0.00553,0.65,0.836,0.00101,0.192,-5.101,0.0334,119.933,"0","1",162906,0.656,"4","67SrO8B3O8iUq0AmEh0VzJ","indie rock","indietronica","irish rock","modern alternative rock","modern rock","northern irish indie",NA,NA,NA,NA
"91","Farewell To The Fairground","White Lies","To Lose My Life... (Bonus remix version)","2008","Winter",58,8.12e-05,0.523,0.776,0.00335,0.155,-5.339,0.0376,118.039,"9","1",256573,0.294,"4","4wCsnvMyDboBxSDgipm2z0","alternative dance","british indie rock","dance-punk","indie rock","modern rock","new rave",NA,NA,NA,NA
"92","Atomic - Remastered/2001","Blondie","Eat To The Beat","1979","Autumn",49,0.0451,0.598,0.727,0.226,0.0843,-7.596,0.0318,135.228,"4","0",280306,0.9,"4","6eOHOpNXzYUx79NDB4dMRd","candy pop","new wave pop","permanent wave","power pop","rock","synthpop",NA,NA,NA,NA
"93","Friday I'm In Love","The Cure","Wish","1992","Winter",80,0.00126,0.526,0.763,6.75e-05,0.359,-12.663,0.0341,136.205,"0","0",215160,0.514,"4","4QlzkaRHtU8gAdwqjWmO8n","new wave","permanent wave","rock","uk post-punk",NA,NA,NA,NA,NA,NA
"94","Highway to Hell","AC/DC","Highway to Hell","1979","Summer",87,0.061,0.574,0.913,0.00158,0.156,-4.793,0.133,115.728,"6","0",208400,0.423,"4","2zYzyRzz6pRmhPzyfMEC8s","australian rock","hard rock","rock",NA,NA,NA,NA,NA,NA,NA
"95","Helicopter","Bloc Party","Silent Alarm","2005","Winter",61,0.000159,0.47,0.954,0.0043,0.405,-3.631,0.134,170.1,"11","0",220173,0.412,"4","5OVHnu9SgsdAravy4UyGq4","alternative dance","alternative rock","dance-punk","indie rock","indietronica","modern rock","neo-synthpop","new rave","scottish rock",NA
"96","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap","Quevedo: Bzrp Music Sessions, Vol. 52","2022","Summer",90,0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,128.033,"2","1",198937,0.55,"4","2tTmW7RDtMQtBk7m2rYeSw","argentine hip hop","pop venezolano","trap argentino","trap latino","urbano latino",NA,NA,NA,NA,NA
"97","Juice","Lizzo","Cuz I Love You","2019","Spring",72,0.00611,0.767,0.889,0,0.402,-2.988,0.0963,119.93,"7","1",195144,0.843,"4","0k664IuFwVP557Gnx7RhIl","escape room","minnesota hip hop","pop","trap queen",NA,NA,NA,NA,NA,NA
"98","I Like You (A Happier Song) (with Doja Cat)","Post Malone","Twelve Carat Toothache","2022","Summer",86,0.121,0.733,0.67,0,0.121,-6.009,0.0751,100.964,"5","1",192840,0.472,"4","0O6u0VJ46W86TxN9wgyqDj","dfw rap","melodic rap","pop","rap",NA,NA,NA,NA,NA,NA
"99","LA CODA DEL DIAVOLO (con ELODIE)","Rkomi","TAXI DRIVER","2021","Autumn",68,0.132,0.481,0.748,7.77e-06,0.126,-6.007,0.356,128.777,"6","0",188975,0.549,"4","6oYcyS6salzWI1ysjEScFh","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"100","Don’t Wake Me Up","Jonas Blue","Don’t Wake Me Up","2022","Winter",74,0.222,0.621,0.747,0.000194,0.147,-5.084,0.0337,124.015,"11","1",188894,0.426,"4","3LEgGAl9zLcQWGTp7ptqtQ","pop","pop dance","tropical house","uk dance",NA,NA,NA,NA,NA,NA
"101","Ferrari","James Hype","Ferrari","2022","Spring",84,0.0127,0.847,0.69,6e-05,0.0526,-7.877,0.0493,125.004,"1","0",186661,0.692,"4","4zN21mbAuaD0WqtmaTZZeP","deep groove house","house","pop dance","uk dance",NA,NA,NA,NA,NA,NA
