"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"48","BABY GODDAMN","Tananai","BABY GODDAMN","2021","Spring",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,"10","0",149605,0.885,"4","3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Crash","Charli XCX","CRASH","2022","Spring",55,0.378,0.688,0.905,0,0.411,-3.361,0.054,112.075,"7","1",129985,0.85,"4","6WKDtdVILJvcfqpvSQgwAQ","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"50","London Calling - Remastered","The Clash","London Calling (Remastered)","1979","missing",75,0.123,0.651,0.801,0,0.0825,-7.34,0.0514,133.769,"0","1",200480,0.776,"4","5jzma6gCzYtKB1DbEwFZKH","alternative rock","permanent wave","punk","rock",NA,NA,NA,NA,NA,NA
"51","Head on Fire","Griff","Head on Fire","2022","Winter",63,0.0174,0.693,0.728,7.2e-06,0.061,-6.065,0.0335,95.978,"2","1",188645,0.655,"4","6QLNcOI6YCqdLAS6GLWXMj","uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Alright","Supergrass","I Should Coco","1995","Spring",76,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,145.92,"4","0",180880,0.701,"4","5xC8uOesnn0udeXAYlAnoY","alternative rock","britpop","oxford indie",NA,NA,NA,NA,NA,NA,NA
"53","SNAP","Rosa Linn","SNAP","2022","Spring",88,0.107,0.565,0.636,9.9e-06,0.447,-8.198,0.0638,170.01,"0","1",179551,0.525,"4","76OGwb5RA9h4FxQPT33ekc","alt z",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","West Coast","OneRepublic","West Coast","2022","Winter",70,0.317,0.685,0.699,0,0.0895,-7.803,0.0349,134.057,"6","0",192947,0.884,"4","0sBJA2OCEECMs0HsdIQhvR","piano rock","pop",NA,NA,NA,NA,NA,NA,NA,NA
"55","Boyfriend","Dove Cameron","Boyfriend","2022","Winter",83,0.232,0.345,0.612,0,0.194,-6.543,0.0608,179.773,"7","0",153000,0.232,"3","59CfNbkERJ3NoTXDvoURjj","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Numb","Marshmello","Numb","2022","Summer",81,0.121,0.912,0.774,0.0127,0.101,-4.673,0.0455,119.966,"0","0",155588,0.632,"4","10xV5l9nhLvFpR8mqzs0bL","brostep","edm","pop","progressive electro house",NA,NA,NA,NA,NA,NA
"57","Lightning","Charli XCX","CRASH","2022","Spring",54,0.0265,0.715,0.683,2.31e-05,0.209,-5.042,0.0476,119.159,"11","1",237320,0.471,"4","4aguR8nLIlmF6WCOlCArhT","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"58","BREAK MY SOUL","Beyoncé","BREAK MY SOUL","2022","Summer",71,0.0575,0.687,0.887,2.21e-06,0.27,-5.04,0.0826,114.941,"1","0",278281,0.853,"4","2KukL7UlQ8TdvpaA7bY3ZJ","pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA
"59","Sweetest Pie","Megan Thee Stallion","Sweetest Pie","2022","Spring",74,0.167,0.814,0.628,0,0.101,-7.178,0.221,123.977,"7","1",201334,0.677,"4","7mFj0LlWtEJaEigguaWqYh","houston rap","pop","r&b","rap","trap queen",NA,NA,NA,NA,NA
"60","Finché Non Mi Seppelliscono","BLANCO","Blu Celeste","2021","Autumn",67,0.349,0.727,0.833,0,0.232,-2.594,0.0316,130.024,"4","1",168000,0.86,"4","16EJNayKtC09M0Fi7Py47s","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"61","Running Up That Hill (A Deal With God)","Kate Bush","Hounds Of Love","1985","Autumn",85,0.719,0.629,0.545,0.00308,0.0604,-13.123,0.0546,108.376,"10","0",298933,0.194,"4","1PtQJZVZIdWIYdARpZRDFO","art pop","art rock","baroque pop","new wave pop","permanent wave","piano rock","singer-songwriter",NA,NA,NA
"62","When You Were Young","The Killers","Sam's Town","2006","Autumn",80,0.000152,0.467,0.988,0.0484,0.28,-3.313,0.112,130.433,"11","1",220426,0.321,"4","70wYA8oYHoMzhRRkARoMhU","alternative rock","dance rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA
