"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"29","Non Mi Piace","PSICOLOGI","1002","2019","Autumn",41,0.363,0.67,0.695,5.79e-05,0.0515,-9.162,0.0658,167.935,"11","0",152000,0.927,"4","5KVf2DaBaWci2c30tEAtJD","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
"30","Sorriso (Milano Dateo)","Calcutta ","Sorriso (Milano Dateo)","2019","Summer",63,0.362,0.604,0.59,0,0.0959,-7.469,0.0318,90.994,"8","1",177145,0.359,"4","6Rg0AJvt1xa4hR2QH2fUhb","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA
"31","Don Raffaè","Fabrizio De André","Le Nuvole","1990","Spring",57,0.658,0.804,0.599,8.54e-06,0.0645,-11.04,0.0515,128.163,"4","0",248653,0.509,"4","2T1BCT4JhKVPgAsEgwa4du","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"32","Nei treni la notte","Frah Quintale","Regardez moi","2017","Autumn",66,0.156,0.506,0.535,6.24e-05,0.36,-6.583,0.0701,69.656,"9","0",184146,0.658,"4","6NAbLPUknE9nKxQJeFGFKa","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA,NA
"33","10 RAGAZZE (con ERNIA)","Rkomi","TAXI DRIVER","2021","Autumn",61,0.261,0.707,0.674,0,0.145,-5.717,0.193,83.066,"0","0",174727,0.824,"4","45OsJpk7HMJKOnMVf2eQsV","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"34","Can You Feel My Heart","Bring Me The Horizon","Sempiternal (Expanded Edition)","2013","Spring",81,0.00201,0.15,0.859,0.194,0.387,-2.827,0.0595,170.527,"4","0",228146,0.354,"5","0WSa1sucoNRcEeULlZVQXj","melodic metalcore","metalcore","modern rock","rock","uk metalcore",NA,NA,NA
"35","Bocca di rosa","Fabrizio De André","Volume 1","1967","missing",57,0.902,0.696,0.284,0,0.106,-16.568,0.61,118.317,"7","0",185386,0.881,"4","3eAjS25afRXGFSyjPQo7l2","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"36","Tainted Love","Marilyn Manson","The Golden Age Of Grotesque","2003","Winter",66,0.00107,0.622,0.876,1.83e-06,0.292,-7.779,0.0728,142.017,"8","1",200426,0.537,"4","0ZeKQudydO2uQJpfr6gNC8","alternative metal","hard rock","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock"
"37","Fai Da Tela","Caparezza","Museica","2014","Winter",32,0.038,0.663,0.689,0.00158,0.262,-7.134,0.0806,146.108,"10","0",239386,0.226,"4","4Kl1eVHpQtMgSayQadO4hH","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"38","2001","PSICOLOGI","1002","2019","Autumn",40,0.753,0.534,0.464,0,0.113,-9.753,0.0481,140.183,"4","0",169714,0.314,"4","16D4XNPuct4HoUECi60j16","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
