"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"30","SAY LESS","PAWSA","SAY LESS","2021","Winter",38,0.000851,0.799,0.563,0.934,0.11,-13.046,0.0597,132.024,"7","1",232840,0.86,"4","2AG2gFIoxNrHzBOMicJkJW",NA,NA,NA,NA,NA,NA,NA,NA
"31","Savage Remix (feat. Beyoncé)","Megan Thee Stallion","Savage Remix (feat. Beyoncé)","2020","Spring",67,0.016,0.822,0.743,0,0.127,-4.772,0.28,84.459,"10","0",242000,0.636,"4","5v4GgrXPMghOnBBLmveLac","houston rap","pop","r&b","rap","trap queen",NA,NA,NA
"32","Hace Calor - Remix","Kaleb Di Masi","Hace Calor (Remix)","2022","Summer",68,0.367,0.889,0.618,0.00438,0.105,-5.124,0.0627,130.021,"5","0",247384,0.444,"4","3h043RAJ7tKaG1HDFeet6w","cumbia 420","rkt",NA,NA,NA,NA,NA,NA
"33","LAPROVINCE #1","Rhove","LAPROVINCE #1","2022","Winter",58,0.224,0.845,0.747,1.63e-05,0.0694,-6.239,0.197,105.871,"1","1",158372,0.51,"3","2Z9uQAn8v8m6ZPFh4bsqY4","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA
"34","Do It","Ilkay Sencan","Do It","2019","Spring",50,0.0812,0.795,0.874,0.0906,0.065,-3.502,0.0506,108.001,"1","1",210146,0.2,"4","7uYyhUnxIsSF2LMWUpLs5V","turkish deep house","turkish edm",NA,NA,NA,NA,NA,NA
"35","Love You Like That","Cloonee","Love You Like That","2021","Autumn",55,0.00814,0.911,0.656,0.000327,0.114,-11.725,0.0965,124.957,"8","0",175000,0.918,"4","4ZYiV1lD5mJEMIdfIaVsBW","tech house",NA,NA,NA,NA,NA,NA,NA
"36","Are You Entertained (feat. Ed Sheeran)","Russ","Are You Entertained (feat. Ed Sheeran)","2022","Summer",65,0.0402,0.587,0.61,0,0.167,-6.881,0.234,130.063,"10","0",156083,0.556,"4","5bLGQqcpsz5ISWeihZfJnR","hawaiian hip hop",NA,NA,NA,NA,NA,NA,NA
"37","Heartache Tonight - 2013 Remaster","Eagles","The Long Run (2013 Remaster)","1979","Autumn",64,0.0778,0.81,0.511,0.000226,0.0714,-6.454,0.0409,113.153,"0","1",265678,0.858,"4","2bzgKuK3pVez40qUvo8sYr","album rock","classic rock","heartland rock","mellow gold","rock","soft rock","yacht rock",NA
"38","Disconnected","James Hype","Disconnected","2021","Winter",62,0.00579,0.842,0.811,0.176,0.0702,-6.476,0.109,125.995,"2","1",194523,0.594,"4","3MK2rvp7XjarzRKFrPGMOb","deep groove house","house","pop dance","uk dance",NA,NA,NA,NA
"39","Blame It on the Boogie","The Jacksons","Destiny","1978","Winter",72,0.0765,0.774,0.641,0,0.0867,-10.193,0.0799,113.256,"1","1",214200,0.875,"4","3qI94hINNNeb4S7xQi18lS","disco","motown",NA,NA,NA,NA,NA,NA
"40","Do It To It","ACRAZE","Do It To It","2021","Summer",82,0.0209,0.854,0.806,0.0542,0.0703,-8.262,0.0886,124.927,"11","0",157890,0.637,"4","20on25jryn53hWghthWWW3","pop dance","tech house",NA,NA,NA,NA,NA,NA
"41","Strasbourg / St. Denis","Roy Hargrove","Earfood","2008","Winter",52,0.149,0.701,0.445,0.59,0.0963,-10.583,0.0834,103.004,"1","1",278626,0.405,"4","62VWmsNoDmqT0Mj9oHHFVh","bebop","contemporary post-bop","jazz","jazz trumpet",NA,NA,NA,NA
"42","Sandu","Clifford Brown","Study In Brown","1955","Winter",45,0.633,0.562,0.447,0.125,0.0884,-9.363,0.0636,68.957,"8","1",297040,0.471,"4","7iOTBeLm5qR9N23fjQy8Kl","bebop","hard bop","jazz","jazz trumpet",NA,NA,NA,NA
"43","All of You (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)","Miles Davis","'Round About Midnight","1957","Spring",48,0.424,0.631,0.261,6.64e-05,0.184,-10.988,0.0424,82.435,"5","0",420693,0.581,"4","21HG0QIgIcVQ2EZeXubaqL","cool jazz","hard bop","jazz","jazz fusion","jazz trumpet","soul","vocal jazz",NA
"44","Keke","Lucky Luke","Keke","2018","Summer",47,0.0869,0.904,0.632,0.215,0.0927,-4.479,0.0911,119.963,"8","1",215520,0.302,"4","6JIy6CxXoxH2nt3hZozxql","lithuanian electronic",NA,NA,NA,NA,NA,NA,NA
"45","What You Want","Ilkay Sencan","What You Want","2018","Spring",43,0.0605,0.73,0.932,0.0452,0.327,-3.534,0.0476,124.032,"8","1",162475,0.868,"4","3hNl8IxKucSXFQMMSO0sQf","turkish deep house","turkish edm",NA,NA,NA,NA,NA,NA
"46","Insensatez","Mina","Mina","2009","missing",25,0.693,0.676,0.486,0.0032,0.091,-7.395,0.0322,153.999,"5","0",158857,0.289,"4","7ECqdycfWSpmpwEhfdBp6H","classic italian pop","italian adult pop","italian pop","ye ye",NA,NA,NA,NA
"47","Gente de la Mañana","Il Pagante","Devastante","2022","Winter",34,0.0675,0.836,0.923,0,0.335,-5.324,0.27,126.049,"7","1",189523,0.664,"4","5jA4yKzCXCTj1Ve0jwZsCr","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA
"48","Copacabana","Rhove","PROVINCIALE","2022","Summer",43,0.227,0.805,0.471,0,0.0914,-6.895,0.307,160.116,"2","1",169937,0.422,"4","5S7fTiSn3bpJF9UMCp9j97","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA
"49","Move Out Of My Way - Radio Edit","Dennis Quin","Move Out Of My Way (Radio Edit)","2018","Spring",49,0.000984,0.801,0.83,0.211,0.0958,-7.13,0.049,123.019,"6","1",180975,0.396,"4","5mQgRG6duCYvw2p1cki0mW","deep groove house","dutch tech house",NA,NA,NA,NA,NA,NA
"50","For the Stunt","Russ","For the Stunt","2016","Autumn",47,0.268,0.538,0.701,0,0.203,-6.664,0.385,136.51,"5","0",175203,0.293,"4","4n7CgrpTQY2wRbIOCwdflN","hawaiian hip hop",NA,NA,NA,NA,NA,NA,NA
"51","Brother Jungle - Cloonee Remix","Carlo Lio","Brother Jungle","2019","Autumn",36,0.0183,0.912,0.608,6.11e-05,0.0852,-8.249,0.0675,127.015,"11","0",226772,0.892,"4","0m5jFT3cjB25QUoLLoV7KS","canadian electronic","canadian house","deep minimal techno","minimal techno",NA,NA,NA,NA
"52","Destination Calabria - Radio Edit","Alex Gaudino","Destination Calabria","2007","Winter",78,0.0015,0.627,0.954,0.000814,0.292,-4.804,0.0425,128.016,"2","1",223111,0.312,"4","5TmFTHZp7HjBXjjsFvCY6h","disco house","vocal house",NA,NA,NA,NA,NA,NA
"53","Lets Try It","Night Bass","Best of 2022","2022","Winter",57,0.034,0.775,0.861,0.45,0.11,-5.906,0.0908,125.01,"2","1",167040,0.183,"4","6cNgfzIce1Qu0b9sO0ibxn","bass house","bassline",NA,NA,NA,NA,NA,NA
"54","Stop It","FISHER","Oi Oi","2017","Autumn",66,0.0242,0.859,0.824,0.66,0.205,-7.207,0.0512,124.015,"8","1",163790,0.882,"4","627JZ3dVd88Xc5IoHOeNT5","australian house","house",NA,NA,NA,NA,NA,NA
"55","To The Drum","PAX","To The Drum","2020","Spring",45,0.0137,0.885,0.681,0.467,0.0988,-9.775,0.128,127.035,"1","0",178329,0.171,"4","1rUblzYg28ccBdGeQzgHav","house","tech house",NA,NA,NA,NA,NA,NA
"56","Remember (Remix) (Feat. Hailey Knox)","Russ","Remember (Remix) (Feat. Hailey Knox)","2022","Winter",42,0.895,0.716,0.306,0.45,0.104,-7.736,0.055,125.045,"3","0",201600,0.168,"4","773AnekGonjVpIbtNZNmTG","hawaiian hip hop",NA,NA,NA,NA,NA,NA,NA
"57","Raw - Tony Romera Remix","Julio Navas","Raw (Tony Romera Remix)","2022","Summer",58,0.392,0.865,0.967,0.877,0.353,-5.03,0.087,128.005,"0","1",217500,0.163,"4","7lxbCUxQXJRkPQ1eErYZd3",NA,NA,NA,NA,NA,NA,NA,NA
"58","Don't You Worry 'Bout A Thing","Jacob Collier","Don't You Worry 'Bout A Thing","2013","Autumn",35,0.64,0.734,0.715,0.132,0.0468,-6.449,0.0629,123.596,"2","1",368773,0.613,"4","0yh0Dkrq3o4wJWu149VnD9","uk alternative pop",NA,NA,NA,NA,NA,NA,NA
"59","Con il nastro rosa","Lucio Battisti","Una giornata uggiosa","1980","missing",64,0.0654,0.666,0.515,0.0152,0.0687,-10.74,0.0331,119.559,"1","0",321160,0.687,"4","2g3wyAWIAvmjfZ8K6Jb4Zn","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA
"60","Seignosse","Rhove","Seignosse","2022","Winter",56,0.192,0.919,0.591,8.22e-06,0.1,-5.668,0.245,104.959,"10","0",176426,0.159,"4","1aHWdsWQooVkRhZL2oU8m2","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA
"61","Drive Safe","Rich Brian","The Sailor","2019","Summer",60,0.635,0.635,0.312,0,0.138,-8.134,0.0265,98.017,"7","1",240118,0.414,"4","6eDfe957aV4sqGnDhlSikJ","indonesian hip hop",NA,NA,NA,NA,NA,NA,NA
"62","WOAW - feat. Salmo","DJ TREEPLO","WOAW - feat. Salmo","2021","Winter",45,0.252,0.787,0.747,2.81e-05,0.366,-8.378,0.177,119.725,"0","1",171548,0.487,"4","77N9HTxta6wLhJMj5KmuYi",NA,NA,NA,NA,NA,NA,NA,NA
"63","Ufo Robot","Various Artists","Collection: Tutto Sigle & Cartoni TV","2013","Autumn",28,0.0374,0.59,0.733,2.87e-06,0.303,-8.23,0.0318,126.575,"0","1",174906,0.782,"4","3SUsrG4eDnR3p9xznlh8RZ",NA,NA,NA,NA,NA,NA,NA,NA
"64","Misread","Kings of Convenience","Riot On An Empty Street","2004","Winter",65,0.732,0.637,0.625,0.509,0.128,-9.783,0.0382,160.748,"6","1",188400,0.896,"4","3O090PYVo1do7s3PMCoVoz","bergen indie","melancholia","norwegian indie",NA,NA,NA,NA,NA
"65","Have You Ever Seen The Rain","Creedence Clearwater Revival","Pendulum (Expanded Edition)","1970","Winter",88,0.0664,0.741,0.697,2.28e-05,0.133,-7.028,0.0277,116.109,"0","1",160133,0.774,"4","2LawezPeJhN4AWuSB0GtAU","classic rock","country rock","rock","southern rock","swamp rock",NA,NA,NA
"66","Stronzo","Lucio Dalla","Lucio Dalla 1983","1983","Winter",24,0.196,0.795,0.439,0.0939,0.045,-14.722,0.0576,105.219,"0","1",234373,0.958,"4","7q62xDc9klDPrumtYZAUSt","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA
"67","Pump Up The Jam - NightFunk Radio Edit","Technotronic","Pump Up The Jam (NightFunk Radio Edit)","2020","Spring",48,0.00503,0.853,0.652,0.0227,0.0904,-8.877,0.0935,129.001,"11","1",213023,0.828,"4","0uMDkt7tY0EoRg0o0IzYbu","eurodance","hip house","new beat","synthpop",NA,NA,NA,NA
"68","Agua De Beber","Al Jarreau","Glow","1976","Summer",34,0.629,0.742,0.582,0.03,0.182,-11.635,0.0991,93.044,"2","0",237360,0.702,"4","7hqPKFEptAMWTmT5VoOMiz","smooth jazz","yacht rock",NA,NA,NA,NA,NA,NA
"69","Blue Skies","Ella Fitzgerald","Get Happy! (Expanded Edition)","1959","Winter",55,0.837,0.611,0.285,0,0.102,-10.225,0.0682,79.463,"0","1",226360,0.604,"4","0SIzIfR6913S1oqTbyg8YC","adult standards","jazz","jazz blues","soul","swing","vocal jazz",NA,NA
"70","Tripasia","Cloonee","Tripasia","2022","Spring",57,0.093,0.845,0.771,0.134,0.0749,-7.937,0.0928,127.982,"7","1",176791,0.557,"4","4NqaNXn9bw7PmXjOFW8vmp","tech house",NA,NA,NA,NA,NA,NA,NA
"71","Scar Tissue","Red Hot Chili Peppers","Californication (Deluxe Edition)","1999","Summer",84,0.0779,0.595,0.717,0.00274,0.108,-4.803,0.0295,88.969,"0","1",215906,0.547,"4","1G391cbiT3v3Cywg8T7DM1","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA
"72","Breezin'","George Benson","Breezin'","1976","missing",62,0.476,0.682,0.752,0.863,0.0768,-9.521,0.0454,81.081,"2","1",341733,0.964,"4","1m3BAsNsQAaSNMD2M6vlKY","jazz funk","jazz guitar","smooth jazz","soul jazz","yacht rock",NA,NA,NA
"73","Mas Que Nada - Radio Edit","Sérgio Mendes","Mas Que Nada","2006","Winter",56,0.0245,0.761,0.868,1.12e-06,0.11,-6.061,0.0667,100.037,"5","0",213293,0.963,"4","0vFs2Eorve6vnnQcmItot1","bossa nova","brazilian jazz","samba",NA,NA,NA,NA,NA
"74","Li struscele","Cantori di Monte Sant'Angelo","All'use antiche","2008","Winter",9,0.808,0.708,0.724,0,0.185,-4.765,0.0495,146.77,"0","0",172053,0.961,"4","4qJu6Cm4fWqg4EHdKz0AOk",NA,NA,NA,NA,NA,NA,NA,NA
"75","Ferrari - Remix","James Hype","Ferrari (Remix)","2022","Autumn",66,0.0985,0.818,0.728,0,0.0917,-5.705,0.0724,124.974,"1","0",172000,0.597,"4","3XucsgiwXb8KPn9Csf9Zmu","deep groove house","house","pop dance","uk dance",NA,NA,NA,NA
"76","La voglia, la pazzia","Ornella Vanoni","La voglia la pazzia l'incoscienza l'allegria","1976","Autumn",52,0.895,0.4,0.47,7.89e-06,0.343,-12.009,0.0504,88.706,"6","0",173866,0.77,"4","1Sr4RnfU7JVaRKuhNrfI5h","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA
"77","Pour the Milk","Robbie Doherty","Pour the Milk","2019","Autumn",57,0.026,0.928,0.681,0.00373,0.0491,-8.554,0.0728,126.988,"9","1",172285,0.878,"4","3239OdTeQMBphegyNvF8F3",NA,NA,NA,NA,NA,NA,NA,NA
"78","Crapapelada","Nanni Svampa","Milanese Vol. 1","2001","Spring",4,0.901,0.652,0.385,0.000302,0.102,-13.637,0.199,142.32,"7","1",98253,0.853,"4","6bMpMd99UmZSwX2VgOZ7Q0","musica lombarda",NA,NA,NA,NA,NA,NA,NA
"79","Come saprei","Giorgia","Come Thelma E Louise","1995","Spring",54,0.369,0.44,0.453,0,0.207,-8.644,0.0352,135.996,"4","1",300306,0.135,"4","1mJQoOICr4UlV6nG3EI4NN","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA
"80","I Say I' Sto Ccà - Remastered 2008","Pino Daniele","Nero A Metà","1980","missing",49,0.216,0.882,0.493,0,0.0667,-5.305,0.0426,126.558,"9","0",249013,0.746,"4","2lyaLEbGPn7i1paCfnuFZz","canzone d'autore","canzone napoletana","classic italian pop","folk rock italiano","italian adult pop",NA,NA,NA
"81","Like a melody","Serena Brancale","Je so accussì","2022","Spring",29,0.181,0.719,0.692,0,0.0548,-4.797,0.0633,84.96,"8","1",138546,0.645,"4","5QougSlOCoMqyHAVzK5Qc0",NA,NA,NA,NA,NA,NA,NA,NA
"82","La donna cannone","Mia Martini","Semplicemente Mimi (In concerto)","2012","missing",27,0.77,0.406,0.381,0.000483,0.935,-12.85,0.0921,115.086,"7","1",393600,0.226,"4","6T2j2NqEJyeDtqEfCDA0CK","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA
"83","Desde Que O Samba É Samba","Caetano Veloso","A Bossa De Caetano","2000","Winter",56,0.928,0.618,0.153,0.00558,0.134,-16.856,0.0415,136.361,"2","1",308906,0.324,"4","628hP5ZZjXTz4AnIyDfDZ0","bossa nova","mpb","samba de roda","tropicalia",NA,NA,NA,NA
"84","It Could Happen to You","Chet Baker","Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster)","2010","Winter",45,0.925,0.432,0.204,0,0.103,-14.342,0.0322,107.317,"7","1",173160,0.227,"5","0Ve39xlLUEwJlxEpKR117l","cool jazz","jazz","jazz trumpet","vocal jazz",NA,NA,NA,NA
"85","Cosa mi manchi a fare","Calcutta ","Mainstream (Deluxe Edition)","2016","Summer",70,0.214,0.79,0.471,1.4e-06,0.0632,-7.286,0.0311,117.038,"0","1",169306,0.746,"4","7L8cIUKXToCr6PV9hFoX3Q","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA
"86","Daddy chocolat","Koba LaD","Cartel : volume 1","2021","Summer",68,0.0693,0.721,0.523,0,0.281,-8.399,0.147,141.034,"7","1",191984,0.757,"4","4IbDTrLxImTJfZePAX2nKB","french hip hop","pop urbaine","rap francais",NA,NA,NA,NA,NA
"87","La dolce vita","Serena Brancale","Je so accussì","2022","Spring",21,0.178,0.747,0.706,3.9e-05,0.192,-5.851,0.0487,130.508,"4","0",192746,0.657,"3","3tBIAcwVNZ2ofEq1IccGOU",NA,NA,NA,NA,NA,NA,NA,NA
"88","Believe Me","Navos","Believe Me","2021","Winter",66,0.129,0.629,0.876,1.39e-06,0.29,-5.572,0.0408,124.999,"5","0",188260,0.645,"4","44xO8889yUQHn70P73NILS","uk dance",NA,NA,NA,NA,NA,NA,NA
"89","Breve amore","Mina","Studio Uno '66","1966","missing",33,0.31,0.301,0.542,0,0.273,-5.683,0.0317,100.258,"1","1",155785,0.49,"4","2EVjG6iHXglDnyXrxdVlMS","classic italian pop","italian adult pop","italian pop","ye ye",NA,NA,NA,NA
"90","Anna e Marco","Lucio Dalla","12000 lune","2006","Autumn",22,0.52,0.528,0.734,0,0.117,-6.937,0.077,133.898,"10","1",220426,0.696,"4","7hobM0plyOjdDe7RDMNqsN","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA
"91","Da Ya Think I'm Sexy?","Rod Stewart","Blondes Have More Fun","1978","Autumn",76,0.0143,0.715,0.689,0.000192,0.111,-8.065,0.029,111.504,"2","0",331333,0.852,"4","4z7maGZkAonDlXlwo8q69f","mellow gold","soft rock",NA,NA,NA,NA,NA,NA
"92","Where Is My Mind?","Pixies","Death to the Pixies","1997","Autumn",78,0.00731,0.513,0.442,0.000838,0.0878,-13.529,0.0343,81.201,"4","1",229226,0.243,"4","0KzAbK6nItSqNh8q70tb0K","alternative rock","boston rock","permanent wave","rock",NA,NA,NA,NA
"93","Pan Jabi","Wade","Pan Jabi","2022","Summer",53,0.0224,0.739,0.785,0.864,0.101,-7.266,0.0615,127.989,"8","0",167109,0.81,"4","3wd4oqBJFIu1jjLhlWgsVw","tech house",NA,NA,NA,NA,NA,NA,NA
"94","Black and Yellow","Wiz Khalifa","Rolling Papers","2011","Spring",78,0.0646,0.684,0.834,0,0.271,-4.524,0.0675,164.02,"2","0",217666,0.538,"4","5A6OHHy73AR5tLxgTc98zz","hip hop","pittsburgh rap","pop rap","rap","southern hip hop","trap",NA,NA
"95","I Want to Know What Love Is - 1999 Remaster","Foreigner","Agent Provocateur","1984","Winter",83,0.193,0.477,0.471,1.76e-06,0.131,-10.036,0.0277,81.204,"6","1",304786,0.423,"4","1JLn8RhQzHz3qDqsChcmBl","album rock","classic rock","glam metal","hard rock","heartland rock","mellow gold","rock","soft rock"
"96","CHANT (feat. Tones And I)","Macklemore","CHANT (feat. Tones And I)","2022","Summer",54,0.213,0.698,0.782,0,0.181,-5.347,0.0853,112.176,"1","1",270635,0.506,"4","5BgeAX4HuZdcuCqmu4pIMM","pop rap","seattle hip hop",NA,NA,NA,NA,NA,NA
"97","Married with Children - Remastered","Oasis","Definitely Maybe (Remastered)","1994","Summer",58,0.806,0.585,0.427,0,0.0985,-10.907,0.0278,87.615,"4","1",195000,0.313,"4","4bvi8n8Xa2kX0UG02cvuE9","beatlesque","britpop","madchester","permanent wave","rock",NA,NA,NA
"98","Hai messo in cinta una scema","Giovanni Truppi","Giovanni Truppi","2015","Winter",30,0.907,0.566,0.125,0,0.0895,-15.806,0.101,148.774,"1","1",196600,0.332,"4","0gMBRdHcQ0jVBQE0vRqMnE","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA
