"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"36","Groupie","Canova","Vivi Per Sempre","2019","Spring",25,0.0196,0.299,0.685,0,0.161,-4.691,0.0343,147.983,"4","1",215070,0.283,"4","5SjMpNNHcX5bTTPFWl6i9t","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"37","Smokin Out The Window","Bruno Mars","An Evening With Silk Sonic","2021","Autumn",77,0.0558,0.627,0.618,0,0.351,-8.529,0.0437,82.03,"2","1",197442,0.848,"4","3xVZYkcuWalGudeKl861wb","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"38","My Heart Is Buried in Venice","Ricky Montgomery","Montgomery Ricky","2016","Spring",67,0.441,0.67,0.413,8.63e-05,0.0902,-8.117,0.0273,112.011,"11","1",184866,0.145,"3","02H1K5Cw9Ar89b35XwSEw6","la indie","pop","pov: indie",NA,NA,NA,NA,NA,NA
"39","Lake Washington Boulevard","Pinguini Tattici Nucleari","Fuori dall'Hype","2019","Spring",62,0.234,0.708,0.745,0,0.0654,-3.249,0.0367,110.003,"7","1",228466,0.808,"4","6Jn9qoprkuSfsRW7tTRkOV","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA
"40","Per Te","Canova","Vivi Per Sempre","2019","Spring",42,0.188,0.51,0.643,0,0.318,-5.101,0.0256,94.028,"2","1",160253,0.29,"4","7F6fo1kp62XP21l3IZbzgK","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"41","The Messenger","Linkin Park","A Thousand Suns","2010","Autumn",59,0.72,0.527,0.209,0,0.116,-12.113,0.0283,62.663,"7","1",181893,0.362,"4","0pQZMrYNcfwZbt2Zt0pjaA","alternative metal","nu metal","post-grunge","rap metal","rock",NA,NA,NA,NA
"42","Le Sei E Ventisei","Cesare Cremonini","Il Primo Bacio Sulla Luna","2008","Autumn",48,0.267,0.42,0.665,0.000164,0.131,-8.334,0.029,140.056,"3","1",284906,0.469,"4","2dT5WyNVkCfBMvvffAiwoG","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"43","Can You Feel My Heart","Bring Me The Horizon","Sempiternal (Expanded Edition)","2013","Spring",81,0.00201,0.15,0.859,0.194,0.387,-2.827,0.0595,170.527,"4","0",228146,0.354,"5","0WSa1sucoNRcEeULlZVQXj","melodic metalcore","metalcore","modern rock","rock","uk metalcore",NA,NA,NA,NA
"44","Santamaria","Canova","Santamaria","2017","Autumn",36,0.445,0.455,0.577,0,0.108,-4.209,0.028,134.029,"0","1",234847,0.446,"4","7tyI7TcAGvAyRqsoMfJUqJ","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"45","Un Sogno","Galeffi","Belvedere","2022","Spring",29,0.79,0.364,0.357,0,0.106,-9.415,0.0313,182.078,"1","1",266416,0.324,"3","0WjMFtKvf1nxp1GX8Hwrej","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA,NA
"46","Nessuno Vuole Essere Robin","Cesare Cremonini","Possibili Scenari","2017","Autumn",55,0.566,0.522,0.428,0,0.11,-9.985,0.0307,138.051,"2","1",284480,0.208,"4","66l5RSJ4kvo9FUHqZ4x7Ti","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"47","Thick (feat. MamboLosco) - Remix","Slings","Thick (feat. MamboLosco) [Remix]","2022","Spring",55,0.0194,0.921,0.425,0.000427,0.0993,-10.394,0.312,140.055,"0","1",131697,0.708,"4","45bjf2E1OwkD58JN7CLr99","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA
"48","My Generation","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","2000","Autumn",71,0.00231,0.458,0.978,2.12e-06,0.111,-2.389,0.191,104.012,"11","1",221000,0.342,"4","6holGuk1jKHTdWyWBOZi8l","alternative metal","funk metal","nu metal","post-grunge","rap metal","rock",NA,NA,NA
