"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"72","Sono solo parole","Noemi","RossoNoemi 2012 Edition","2012","Winter",57,0.152,0.518,0.56,0,0.227,-5.932,0.0366,130.157,"0","0",217786,0.184,"4","4SjRtuCDZvO68N2agNkahv","italian adult pop","italian pop",NA,NA,NA
"73","Estate","Will","Estate","2020","Winter",54,0.807,0.545,0.545,1.19e-05,0.114,-6.438,0.039,108.039,"1","1",186147,0.244,"4","7AKMq2HTg8FQs9LE0v9uoy","italian pop","pop virale italiano",NA,NA,NA
"74","Amare","La rappresentante di lista","My Mamma","2021","Spring",51,0.193,0.666,0.73,5.54e-06,0.185,-4.865,0.0492,129.88,"6","1",200733,0.195,"4","6hhuex6bSsCfgDffHJmRo9","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop"
"75","Pezzo Di Cuore (con Alessandra Amoroso)","Emma","Pezzo Di Cuore (con Alessandra Amoroso)","2021","Winter",53,0.389,0.518,0.7,0,0.127,-6.162,0.0449,139.874,"6","1",227678,0.441,"4","0BNaXcSSUeuARA4W8iB18E","italian adult pop","italian pop",NA,NA,NA
"76","D'improvviso","Lorenzo Fragola","Zero Gravity","2016","Spring",60,0.653,0.587,0.616,0,0.0976,-6.578,0.0388,129.769,"8","1",209400,0.326,"4","4ykkHvzEE45AlcUq6vkVW6","italian adult pop","italian pop",NA,NA,NA
"77","farfalle","sangiovanni","farfalle","2022","Winter",59,0.0927,0.733,0.784,0,0.195,-5.211,0.0606,120.016,"3","1",164000,0.377,"4","5HujDMiRNqZwEzVAh3oFD3","italian adult pop","italian pop",NA,NA,NA
"78","Rossetto","Random","Montagne russe","2020","Summer",57,0.588,0.653,0.7,0,0.134,-4.884,0.069,104.959,"7","1",228142,0.213,"4","3U8FKJg4GP0SPaZ2HCOO0b","italian adult pop",NA,NA,NA,NA
"79","Verdura","Pinguini Tattici Nucleari","Fuori dall'Hype","2019","Spring",58,0.0867,0.684,0.881,0,0.132,-2.569,0.0549,159.976,"7","1",209546,0.857,"4","7uawjOR4BPOhgxPegrMsoO","bergamo indie","italian indie pop","italian pop","milan indie",NA
"80","Il Diario Degli Errori","Michele Bravi","Anime Di Carta","2017","Winter",56,0.521,0.419,0.403,0,0.121,-7.031,0.0376,99.64,"7","1",206853,0.308,"4","2ReYmR7wsJLnschkvbZe2W","italian adult pop","italian pop",NA,NA,NA
"81","Guardare giù","Noemi","Guardare giù","2021","Autumn",40,0.556,0.733,0.581,0,0.483,-4.726,0.0294,115.003,"0","0",168186,0.47,"3","0nZzbRLYgvdkQB6EKjWfAL","italian adult pop","italian pop",NA,NA,NA
