"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"1","Chanson d'amour","Nekfeu","Les étoiles vagabondes : expansion",2019,"Summer",56,0.599,0.648,0.568,0.000487,0.0831,-8.814,0.203,94.598,"4","0",222946,0.556,"4","7liToDBBc4Hqb87F83focF","french hip hop","pop urbaine","rap conscient",NA,NA,NA
"2","VVS","Ninho","Jefe",2021,"Winter",67,0.337,0.751,0.61,0,0.11,-8.368,0.485,167.983,"10","0",187027,0.525,"4","5S12Ds2RswM2ITC0u1J01f","french hip hop","pop urbaine",NA,NA,NA,NA
"3","Bizarrement","Caballero","OSO",2021,"Spring",25,0.261,0.572,0.404,0,0.458,-9.274,0.385,74.157,"1","1",209520,0.545,"4","41WUReeFtSmp6inD1yMdhg","belgian hip hop","french hip hop",NA,NA,NA,NA
"4","Ovni","JeanJass","Hat Trick",2021,"Spring",34,0.11,0.679,0.529,3.97e-06,0.111,-9.41,0.104,86.332,"8","0",203346,0.177,"4","2H9xpXrGrcqskzb6Hm8eQa","belgian hip hop","french hip hop",NA,NA,NA,NA
"5","Du mal à te dire","Dinos","Du mal à te dire",2021,"Summer",39,0.174,0.608,0.464,0,0.712,-9.659,0.192,83.781,"0","0",207120,0.274,"4","0xrZBrgskH3aJNRb6SlzcU","french hip hop","pop urbaine","rap francais",NA,NA,NA
"6","R.A.F","PLK","Enna Boost",2021,"Autumn",66,0.256,0.792,0.581,2.55e-06,0.254,-6.742,0.371,86.738,"1","0",195586,0.637,"5","0Bo36dconUdOrPoFgVZM5p","french hip hop","pop urbaine","rap conscient","rap francais",NA,NA
"7","BM - London View","OTP","BM (London View)",2021,"Summer",73,0.193,0.861,0.46,0,0.229,-10.105,0.362,143.008,"11","1",164565,0.74,"4","1aWrjGga6Ws67b2CWWTb4u","melodic drill",NA,NA,NA,NA,NA
"8","Joli bébé","Naza","Gros bébé",2020,"Autumn",65,0.586,0.689,0.623,0,0.103,-7.206,0.129,154.95,"1","0",178333,0.26,"4","1J4oMIhWDUd9cI1urhEyjl","french hip hop","pop urbaine","r&b francais","rap francais",NA,NA
"9","Attentat","PLK","Enna Boost",2021,"Autumn",71,0.192,0.844,0.656,1.82e-05,0.115,-5.935,0.216,99.983,"7","0",194266,0.398,"4","5ioieZofgvXQK70RFhVohl","french hip hop","pop urbaine","rap conscient","rap francais",NA,NA
"10","Doja","Central Cee","Doja",2022,"Summer",85,0.38,0.911,0.573,0,0.403,-7.43,0.288,140.04,"6","1",97392,0.972,"4","3LtpKP5abr2qqjunvjlX5i","melodic drill",NA,NA,NA,NA,NA
"11","Ennemis, Pt. 2","Népal","Adios Bahamas",2020,"Winter",41,0.123,0.582,0.516,0.00141,0.123,-7.151,0.167,119.985,"1","1",196320,0.0592,"4","4CndCiu2XfWqfcFu4ABT4L","french hip hop",NA,NA,NA,NA,NA
"12","Copilote","FouKi","Grignotines de Luxe",2020,"Autumn",55,0.192,0.945,0.448,0,0.143,-7.664,0.0612,106.969,"4","0",212490,0.601,"4","4CLktmKM775TQvUTSWvrVI","hip hop quebecois",NA,NA,NA,NA,NA
"13","Premier pas","Nekfeu","Les étoiles vagabondes : expansion",2019,"Summer",57,0.807,0.833,0.594,0,0.341,-6.794,0.383,131.99,"8","0",153986,0.665,"4","3Q35CdXXoyb2AxDghgadZZ","french hip hop","pop urbaine","rap conscient",NA,NA,NA
"14","Sticky","Drake","Honestly, Nevermind",2022,"Summer",77,0.0917,0.853,0.495,0.000217,0.0844,-14.63,0.14,137.027,"6","1",243227,0.0774,"4","4rmVZajAF7PkrCagGPHbqa","canadian hip hop","canadian pop","hip hop","pop rap","rap",NA
"15","Dégaine (feat. Damso)","Aya Nakamura","Dégaine (feat. Damso)",2022,"Spring",65,0.181,0.618,0.698,0,0.154,-5.362,0.272,178.143,"10","0",210958,0.784,"4","5cqLFudVQryezmVFmmyRJN","basshall","pop urbaine","r&b francais",NA,NA,NA
"16","Mea culpa","Squidji","Brahma",2020,"Winter",39,0.0551,0.701,0.492,0,0.13,-8.131,0.0537,139.974,"3","0",236571,0.461,"4","4mw4rqGiaYMwgq9ReV8mW3","cloud rap francais","rap calme",NA,NA,NA,NA
"17","De mes cendres","Nekfeu","Les étoiles vagabondes : expansion",2019,"Summer",55,0.628,0.747,0.5,0.000513,0.143,-8.346,0.0671,140.414,"10","0",216226,0.542,"4","6H4X9KDDdukPaS8WPJiYDV","french hip hop","pop urbaine","rap conscient",NA,NA,NA
"18","Location (feat. Burna Boy)","Dave","PSYCHODRAMA",2019,"Spring",80,0.271,0.812,0.496,0,0.0955,-5.969,0.297,109.979,"9","0",241293,0.55,"4","3z4CGd63tpUn9a6oQSG0CI","uk hip hop",NA,NA,NA,NA,NA
"19","Incontrolables","PLK","Enna Boost",2021,"Autumn",55,0.331,0.763,0.657,0.0103,0.0981,-8.004,0.202,135.178,"11","0",202360,0.555,"4","3BZFZbj6PNHjZgHTtAk5LA","french hip hop","pop urbaine","rap conscient","rap francais",NA,NA
"20","Morale","Roméo Elvis","Morale",2016,"Winter",29,0.594,0.736,0.582,0,0.11,-12.711,0.606,80.374,"3","1",223149,0.631,"4","2CwKvU9vqlB4ve8QqYVC2P","belgian hip hop","french hip hop",NA,NA,NA,NA
"21","Irish Pub Song","The High Kings","Irish Pub Song",2013,"Spring",59,0.724,0.742,0.717,0,0.199,-6.48,0.0622,126.081,"0","1",180123,0.968,"4","6zX3HwSuoQThrabeoHJvCs","celtic","celtic rock","irish folk","irish pub song",NA,NA
"22","Punchlines qui traînent 2","Seyté","La vie est belle",2018,"Spring",28,0.198,0.643,0.624,0,0.302,-5.041,0.406,90.628,"2","1",173333,0.535,"4","4zyr72ulXCyicOOBzy3rWj","belgian hip hop","french hip hop",NA,NA,NA,NA
"23","Many Men (Wish Death)","50 Cent","Get Rich Or Die Tryin'",2003,"Winter",74,0.0153,0.653,0.826,0.00146,0.131,-2.93,0.354,108.52,"6","0",256226,0.416,"5","2I9foKseoFQh07p6sD2voE","east coast hip hop","gangster rap","hip hop","pop rap","queens hip hop","rap"
"24","Peut-être demain j'arrête","Le Motif","Première Partie",2020,"Autumn",33,0.293,0.746,0.684,0,0.0961,-6.914,0.0485,74.509,"0","1",140466,0.903,"4","6lIG9BfzZFPnP9sFuzMMNu","rap calme",NA,NA,NA,NA,NA
"25","Chicken Fried","Zac Brown Band","The Foundation",2008,"Autumn",81,0.645,0.566,0.713,0,0.114,-4.25,0.0418,169.861,"6","1",238146,0.805,"4","0LQtEJt7x0s6knb6RKdRYc","contemporary country","country","country road","modern country rock",NA,NA
"26","Content","Spider ZED","Jeune intermittent",2020,"Autumn",39,0.883,0.915,0.391,6.32e-05,0.111,-10.713,0.097,129.961,"9","1",177899,0.65,"4","7um0Qjh2Szv0OBYcJ3KTpM","french hip hop","rap calme",NA,NA,NA,NA
"27","Ça sert","Nemir","Nemir",2019,"Autumn",47,0.619,0.908,0.422,0.000703,0.087,-10.232,0.156,111.026,"11","0",220837,0.615,"4","6imNmcUAMFBSUKyeykQs2K","french hip hop","rap calme",NA,NA,NA,NA
"28","Jeanne-Mance","Kirouac","Summer Pack!",2019,"Summer",27,0.119,0.78,0.568,1.29e-06,0.453,-8.978,0.281,120.025,"1","0",182857,0.378,"4","0kE9iw4bjbli8ViwVboNc5","hip hop quebecois","indie quebecois",NA,NA,NA,NA
"29","Daruma","Népal","Adios Bahamas",2020,"Winter",58,0.0599,0.871,0.47,0.0841,0.109,-7.202,0.0894,136.002,"11","0",228296,0.377,"4","3nLuikFtBQKiFAq2XUPdqv","french hip hop",NA,NA,NA,NA,NA
"30","Jeune intermittent","Spider ZED","Jeune intermittent",2020,"Autumn",35,0.908,0.828,0.298,8.9e-05,0.104,-11.115,0.112,150.159,"3","1",79574,0.925,"4","2Yy5cJk1eDZ7rRAND119W1","french hip hop","rap calme",NA,NA,NA,NA
"31","Roxanne","Lujipeka","L.U.J.I.",2020,"Spring",29,0.363,0.751,0.684,0.00232,0.116,-6.691,0.0363,140.012,"8","0",182826,0.9,"4","22T1dDw9TtRcuHvJ1ZeMdw","french hip hop","rap calme",NA,NA,NA,NA
"32","L'air du temps","Nekfeu","Les étoiles vagabondes : expansion",2019,"Summer",53,0.47,0.957,0.412,8.36e-06,0.134,-10.359,0.408,106.007,"5","0",171626,0.654,"4","1EmA0Vy52T84bObOEOPWsB","french hip hop","pop urbaine","rap conscient",NA,NA,NA
"33","Tu sais ...","Seyté","La vie est belle",2018,"Spring",29,0.258,0.576,0.821,0,0.103,-5.711,0.472,93.091,"6","1",178064,0.627,"4","1GIlWgF3CQWZPlQEnVn3mc","belgian hip hop","french hip hop",NA,NA,NA,NA
"34","Le couteau dans la paix","Davodka","Mise au poing",2015,"Winter",46,0.537,0.737,0.87,0,0.0951,-5.348,0.414,89.995,"8","1",166400,0.609,"4","1jVjs2dvohgYRyZVcJ1Omp","french hip hop","rap conscient",NA,NA,NA,NA
