"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"15","PANICO (feat. Takagi & Ketra)","Lazza","SIRIO","2022","Spring",71,0.0615,0.788,0.731,0,0.0997,-6.082,0.047,127.03,"4","0",188564,0.258,"4","0SsUOrXUM2gZxVLYizZfQZ","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022","Spring",63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,"11","0",212966,0.948,"4","7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Threesome","Canova","Threesome","2017","Spring",47,0.0409,0.529,0.896,0,0.076,-4.084,0.0697,127.935,"9","1",211486,0.451,"4","1uJlpcJU3IgM5pMxXWccz0","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Nostalgia","BLANCO","Nostalgia","2022","Summer",64,0.0372,0.644,0.904,0,0.0767,-3.749,0.0605,130.061,"0","1",182307,0.562,"4","22gH5Qg5j5ZzF7LaR7Nrkj","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","THATS WHAT I WANT","Lil Nas X","MONTERO","2021","Autumn",83,0.00614,0.737,0.846,0,0.0486,-4.51,0.22,87.981,"1","0",143901,0.546,"4","0e8nrvls4Qqv5Rfa2UhqmO","lgbtq+ hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Io non abito al mare","Francesca Michielin","2640","2018","Winter",54,0.273,0.442,0.709,5.38e-06,0.092,-5.236,0.134,72.434,"0","1",192626,0.309,"4","2awDnmL1D9cyIJFVruAQcF","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Cigarette Daydreams","Cage The Elephant","Melophobia","2013","Autumn",78,0.0807,0.636,0.676,0,0.0831,-3.442,0.0263,113.98,"2","1",208760,0.273,"4","6jHvX8ZnHKC1PnrPMJ0Emt","modern alternative rock","modern rock","pov: indie","punk blues","rock",NA,NA,NA,NA,NA,NA,NA,NA
"22","Sundress","A$AP Rocky","Sundress","2018","Autumn",80,0.181,0.721,0.707,3.68e-06,0.143,-6.364,0.0595,125.005,"6","1",158205,0.743,"4","2aPTvyE09vUCRwVvj0I8WK","east coast hip hop","hip hop","rap","trap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Stelle","Fabri Fibra","Caos","2022","Spring",47,0.00323,0.638,0.921,0,0.185,-4.428,0.112,120.004,"8","0",186106,0.621,"4","66AUa1k42pssdUkFCDOhC8","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Magnifico (feat. Francesca Michielin)","Fedez","Pop-hoolista","2014","Autumn",62,0.3,0.675,0.686,0,0.108,-7.927,0.0542,92.027,"0","1",203746,0.359,"4","3DmjHN1btW4dRtgwm7FdO2","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Pensando a lei","Shiva","Pensando a lei","2022","Winter",59,0.0551,0.79,0.68,0,0.0761,-6.787,0.223,143.046,"1","1",176245,0.61,"4","4Yi4RRhp3nfKR1FDbXlHBp","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","GIORNATE NOIOSE","ARIETE","SPECCHIO","2022","Winter",42,0.0324,0.611,0.622,0,0.248,-5.132,0.0273,94.998,"0","0",156306,0.703,"4","1NtpWsXJY3b2Cmmu2wWmQH","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Seignosse","Rhove","Seignosse","2022","Winter",55,0.192,0.919,0.591,8.22e-06,0.1,-5.668,0.245,104.959,"10","0",176426,0.159,"4","1aHWdsWQooVkRhZL2oU8m2","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","La Presa B e La Presa Male (feat. Francesca Michielin)","Bresh","ORO BLU","2022","Spring",46,0.362,0.699,0.473,0,0.11,-8.033,0.0772,86.502,"5","1",195452,0.0983,"4","16TaDfuh9aueJJY96mFdXw","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Camelot","Leon Faun","C'era una volta","2021","Summer",46,0.0139,0.436,0.837,0,0.141,-5.228,0.0872,140.413,"1","1",129427,0.604,"4","4i1qmWjOWq2VP1janRNBVv","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","FIORI MORTI","PSICOLOGI","TRAUMA","2022","Spring",52,0.12,0.46,0.76,0,0.261,-5.729,0.131,175.968,"1","1",136313,0.642,"4","0Yoizi4nA5CE4d52jRwvld","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","TUTTO (con te)","ARIETE","TUTTO (con te)","2022","Summer",48,0.259,0.72,0.72,0,0.184,-5.871,0.0722,124.002,"6","1",178660,0.424,"4","08Hacl2rWl6GD6TKUyaKIy","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Marciapiede (con Tony Effe, Ernia & Rkomi)","Night Skinny","Botox","2022","Autumn",46,0.264,0.48,0.569,0,0.317,-7.514,0.187,87.115,"2","0",156827,0.32,"4","73vDLslbbGUsK4MvX99pWQ","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Come le balene","Postino","Latte di soia","2018","Summer",28,0.615,0.381,0.703,2.28e-06,0.149,-6.018,0.0516,92.016,"10","1",226440,0.149,"4","35VdWbXXNZ0t0zlU0IK4V5","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","SUI MURI","PSICOLOGI","TRAUMA","2022","Spring",60,0.739,0.422,0.477,0,0.255,-8.12,0.0384,76.183,"11","1",181529,0.39,"4","1pz0bN7LWZZLTx5odixW7a","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CASTELLI DI LENZUOLA","ARIETE","SPECCHIO","2022","Winter",53,0.589,0.602,0.556,0,0.185,-5.967,0.0337,99.977,"0","1",184253,0.186,"4","6hLEPly11XS3mFlG9AyO4T","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Sulla Giostra","Fabri Fibra","Caos","2022","Spring",41,0.019,0.629,0.576,0,0.104,-7.735,0.156,79.112,"5","0",205026,0.765,"4","01l8BJl6CoFQaR3RFliOD9","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Di nascosto","Albert","Di nascosto","2022","Spring",17,0.567,0.869,0.689,1.41e-06,0.0633,-5.19,0.125,115.945,"6","1",165537,0.931,"4","3KlHmSAsL45GRkuJ2UmVWG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chega","Gaia","Nuova Genesi","2020","Spring",52,0.583,0.838,0.563,2.58e-06,0.134,-6.415,0.114,140.037,"9","0",184706,0.764,"4","76w5oLSdgYvA0Bt4dTUe0Z","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","abcdefu","GAYLE","abcdefu","2021","Summer",82,0.299,0.695,0.54,0,0.367,-5.692,0.0493,121.932,"4","1",168601,0.415,"4","4fouWK6XVHhzl78KzQ1UjL","modern alternative pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Pronti Al Peggio","Fabri Fibra","Caos","2022","Spring",43,0.0501,0.652,0.815,0,0.368,-6.345,0.0439,140.056,"9","0",204973,0.447,"4","1OCDA2RhtGn6HRvpqq7FgV","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Dove sei","Neffa","Molto calmo","2013","Summer",55,0.142,0.41,0.787,0,0.181,-6.573,0.0425,84.836,"5","0",239946,0.627,"4","694LrzNH8SUIpNumvdOyAW","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Senza Una Direzione","Cranio Randagio","COME IL RE LEONE","2018","Autumn",36,0.0606,0.681,0.788,0,0.0917,-7.181,0.22,99.889,"6","0",223893,0.594,"4","7i2QnxezaiCtoDoZBkbPSV","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Ramenez la coupe à la maison","Vegedream","Ramenez la coupe à la maison","2018","Summer",71,0.0358,0.808,0.661,0,0.138,-6.237,0.0395,107.992,"0","0",235555,0.804,"4","45eY7Qi2PDUs8WJEhjGWdN","french hip hop","pop urbaine","r&b francais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Mamma Non Mi Parla","NASKA","REBEL (Deluxe)","2022","Autumn",38,0.000519,0.42,0.947,0,0.0905,-3.277,0.172,84.72,"11","1",169764,0.334,"4","6oeVsiBAeioivlD0i1T3au","emo rap italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Caffè","Bresh","ORO BLU","2022","Spring",56,0.0291,0.644,0.755,0,0.0809,-6.768,0.0422,94.529,"8","1",189025,0.58,"4","2WoqekZTPdDdiJ1RgSldUT","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Domani smetto","Articolo 31","Domani smetto","2002","Spring",57,0.296,0.655,0.956,0,0.445,-2.632,0.142,97.991,"0","1",157640,0.946,"4","138buFk4Rh1sVSs5iysbYz","italian adult pop","italian underground hip hop","rap italiano old school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Rituali","Angelina Mango","Rituali","2022","Autumn",49,0.0716,0.656,0.719,1.79e-05,0.219,-7.458,0.0838,175.973,"1","1",174886,0.665,"4","12fveSAiznR97Gemr3MsGW","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","TUTTE LE SERE (feat. ARIETE)","bnkr44","FARSI MALE A NOI VA BENE","2021","Autumn",44,0.312,0.535,0.659,0,0.12,-6.013,0.0442,159.849,"0","0",185053,0.55,"4","4sJ4ZAKEuMe2qtvOtN7UcB","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Margherita","Dígame","Margherita","2020","Spring",32,0.537,0.854,0.544,0,0.0877,-7.916,0.0547,92.041,"10","1",171126,0.897,"4","0kqkg9z52Oxu1KmfuxHSEf","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Love/Hate Letter To Alcohol (with Fleet Foxes)","Post Malone","Twelve Carat Toothache (Deluxe)","2022","Summer",26,0.045,0.3,0.566,0.004,0.281,-7.044,0.0378,107.99,"4","0",183816,0.0394,"4","2qNR3D19mC0nbODSm84DUX","dfw rap","melodic rap","pop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Intro (Cielo)","Fabri Fibra","Caos","2022","Spring",48,0.0768,0.325,0.629,0,0.243,-5.782,0.0822,86.693,"2","0",144520,0.171,"4","7luFLdyoCkAyNZm3BEGAAT","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","L'ultima notte","ARIETE","L'ultima notte","2021","Spring",65,0.268,0.618,0.687,0,0.126,-5.603,0.0446,94.037,"2","1",157566,0.398,"4","63mdY4U0KvnbMkUEc7FHN8","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Mezzanotte in Punto (con Franco126, Ketama126 & Bresh)","Night Skinny","Botox","2022","Autumn",51,0.441,0.484,0.575,7.98e-06,0.137,-7.326,0.129,83.802,"7","1",237656,0.333,"4","2ppZvuaUPZftMUZ5PZQ1Qd","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Non lasciarmi cadere","chiello","OCEANO PARADISO","2021","Autumn",48,0.86,0.437,0.309,0,0.155,-9.561,0.0405,131.012,"2","1",146223,0.309,"4","3j6JJZs12M8UBx8b9GZ9T1","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","LIMBO (feat. Gemitaiz)","Lazza","J","2020","Summer",53,0.186,0.866,0.653,1.62e-05,0.087,-5.389,0.163,134.039,"4","0",159154,0.514,"4","0xs15y7PkGlS49he9RbUZu","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Notti In Bianco","BLANCO","Notti In Bianco","2020","Summer",58,0.355,0.58,0.778,0,0.0769,-4.141,0.0473,150.096,"6","1",176400,0.612,"4","38UoVEHcZ85EGBo6k79643","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Fake (con Geolier & Luchè)","Night Skinny","Botox","2022","Autumn",50,0.102,0.54,0.651,1.01e-06,0.182,-8.327,0.276,79.011,"11","0",177504,0.225,"4","1eOMMRfHqMQHqirJ7JNoVb","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","FARSI MALE A NOI VA BENE","bnkr44","FARSI MALE A NOI VA BENE","2021","Autumn",26,0.49,0.495,0.583,0,0.0601,-9.172,0.0962,155.956,"9","1",210120,0.362,"4","5jyLuKDNy590NIm9thsxRF","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Una Cosa Sola (feat. Shablo)","Irama","Il giorno in cui ho smesso di pensare","2022","Summer",27,0.0635,0.795,0.812,0,0.114,-4.329,0.0505,104.989,"0","1",178285,0.605,"4","4TNVpkVnqjkOXhGEWNigss","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Dedicato A Te","Le Vibrazioni","Le Vibrazioni","2003","Spring",62,0.224,0.491,0.769,0,0.0971,-7.575,0.0275,98.039,"0","1",208466,0.349,"4","4DxU9yKktJVQXhcLxjh67j","classic italian pop","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Gente che spera (feat. Reverendo)","Articolo 31","Domani smetto","2002","Spring",54,0.611,0.692,0.701,0,0.0757,-4.048,0.113,92.913,"0","1",248546,0.96,"4","31cPyWXo1UdKJsEt4PEWDQ","italian adult pop","italian underground hip hop","rap italiano old school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","A un passo da te","MINACELENTANO","Le migliori","2016","Autumn",57,0.239,0.64,0.862,0,0.0891,-2.796,0.356,181.711,"5","0",271360,0.459,"4","7rl7TNsfJiJJ3BY47peVSm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Big City Life","Mattafix","Signs Of A Struggle","2005","missing",68,0.0175,0.7,0.62,3.3e-06,0.0891,-9.36,0.0797,173.998,"2","1",240893,0.739,"4","2oHsYkh2Vc9OXRyLXLUinC","reggae fusion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","OSSA ROTTE","Rkomi","OSSA ROTTE","2022","Summer",40,0.0361,0.588,0.826,0,0.134,-4.211,0.242,93.146,"1","1",205621,0.597,"4","4cvyHBayAxsUTXjv717mVL","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Sei ottavi","Rino Gaetano","Aida","1977","Spring",52,0.679,0.481,0.353,0,0.149,-14.957,0.0349,97.387,"8","1",199866,0.662,"4","4g6BNLYlAei2bppoe5Z3gK","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Ciao Ciao","La rappresentante di lista","Ciao Ciao","2022","Winter",58,0.125,0.747,0.819,2.61e-06,0.331,-4.602,0.134,117.994,"4","0",184311,0.637,"4","0jLeyuu6mtsD384054xLah","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"67","Cooped Up (with Roddy Ricch)","Post Malone","Cooped Up","2022","Spring",68,0.038,0.669,0.773,0,0.113,-5.619,0.153,93.923,"0","1",185857,0.377,"4","7DwcBgdzqhFJltEaV1XF81","dfw rap","melodic rap","pop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","SOGNI MATTI (feat. Leon Faun & Drast)","Sick Luke","X2","2022","Winter",55,0.229,0.513,0.655,0,0.208,-5.732,0.278,80.589,"7","1",197009,0.297,"4","3eSSVIw9YbVm1SLNxqtdjR","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Vieni nel mio cuore","Ultimo","Vieni nel mio cuore","2022","Spring",57,0.248,0.677,0.66,0,0.177,-7.104,0.0462,127.087,"1","1",172761,0.253,"4","0OHD6Ask31KqVqxge0OwlG","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","PER AVERTI (feat. Rkomi)","Dylan","PER AVERTI (feat. Rkomi)","2022","Autumn",47,0.0399,0.698,0.675,0,0.406,-5.158,0.145,124.932,"5","0",207058,0.679,"4","6oHLm5t10rVyFzTdYu0xGx","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Poi si romperanno","chiello","OCEANO PARADISO","2021","Autumn",41,0.196,0.546,0.807,0,0.0934,-6.825,0.0441,169.997,"11","1",167668,0.558,"4","33sckT4uvJVp7cHITx8f2E","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Veleno","Guè","GVESVS","2021","Winter",62,0.24,0.793,0.772,3.15e-06,0.145,-6.005,0.0422,94.998,"2","1",194106,0.674,"4","5b5LAmQZx3mKmhL7PQGegi","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Heat Waves","Glass Animals","Dreamland","2020","Summer",91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,"11","1",238805,0.531,"4","3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA,NA,NA,NA,NA,NA,NA,NA
"74","Diavolo (con Ghali, Rkomi, Tedua & bnkr44)","Night Skinny","Botox","2022","Autumn",54,0.158,0.712,0.657,0,0.14,-6.965,0.143,90.022,"9","1",230483,0.557,"4","0CPailVeTy4L39Zaiuopap","italian hip hop","rap siciliano","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Vanchiglia","Errico Canta Male","Quartieri, Vol. 1","2016","missing",31,0.313,0.617,0.949,0,0.194,-5.12,0.0539,130.197,"0","1",212626,0.718,"4","39IDCj1BPtxvtyzqMoOblA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Come A Little Closer","Cage The Elephant","Melophobia","2013","Autumn",71,0.0265,0.44,0.778,1.04e-06,0.151,-1.786,0.0327,148.038,"1","0",229346,0.304,"4","7oWbeO9v3Cfs900q7JhLAs","modern alternative rock","modern rock","pov: indie","punk blues","rock",NA,NA,NA,NA,NA,NA,NA,NA
"77","Tazza di te","Galeffi","Scudetto","2017","Autumn",51,0.0913,0.73,0.655,0,0.0772,-5.182,0.141,149.942,"0","1",145176,0.246,"4","0vrmJ3WdKnbBhtMszRS1Fq","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Blu","Postino","Latte di soia","2018","Summer",48,0.229,0.469,0.533,0,0.105,-5.58,0.0321,76.039,"9","0",231853,0.142,"4","58Tml7P9dP7aGplLopXFds","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Visti Dall'Alto (feat. Dardust)","Rkomi","Dove Gli Occhi Non Arrivano","2019","Spring",52,0.139,0.44,0.587,0,0.0903,-8.337,0.0851,83.39,"10","0",196253,0.594,"4","50Im1CDeBfRbJUPacCEIOS","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Hypnotized","Purple Disco Machine","Hypnotized","2020","Spring",67,0.0968,0.69,0.813,0.000324,0.109,-5.084,0.0997,108.078,"11","0",195657,0.704,"4","0vWUhCPxpJOJR5urYbZypB","deep house","house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Eclissi (feat. Neffa)","Gemitaiz","Eclissi","2022","Spring",52,0.288,0.607,0.551,0.0138,0.165,-6.964,0.0804,175.033,"1","0",160457,0.24,"4","2hgeR92aGWwz0ymQfwbIk8","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Sbatti","Gazzelle","Punk","2018","Autumn",55,0.0569,0.59,0.72,0,0.242,-3.418,0.031,75.983,"3","1",197293,0.588,"4","35B5JfaaAYdlOdiZ0NE6QX","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","I'm Good (Blue)","David Guetta","I'm Good (Blue)","2022","Summer",92,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,"7","0",175238,0.304,"4","4uUG5RXrOk84mYEfFvj3cK","big room","dance pop","edm","pop","pop dance",NA,NA,NA,NA,NA,NA,NA,NA
"84","Mille guerre","ARIETE","18 anni","2020","Winter",56,0.537,0.538,0.579,0,0.165,-6.986,0.114,166.053,"6","1",137562,0.616,"5","3CXFLrWD9LoyPbKPTSUkQH","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","uNa DiReZioNe giUsTa","yungest Moonstar","uNa DiReZioNe giUsTa","2021","Summer",60,0.303,0.409,0.647,0,0.332,-7.698,0.212,196.426,"10","1",215516,0.523,"4","1ktyKCzfI8hooCJP3X2yP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","LA DOLCE VITA","Fedez","LA DOLCE VITA","2022","Summer",62,0.0124,0.737,0.858,0,0.382,-3.589,0.0527,144.991,"8","1",187862,0.919,"4","0I0b7uTFfHhBz5bMkSDouF","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","GIRASOLE","bnkr44","FARSI MALE A NOI VA BENE 2.0","2022","Spring",31,0.532,0.682,0.89,0,0.152,-4.986,0.0563,140.119,"1","0",197453,0.827,"4","0wW7yRFcQrhXNjBwfcm1Gw","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Bad Liar","Imagine Dragons","Origins (Deluxe)","2018","Autumn",83,0.0722,0.383,0.637,0,0.368,-6.993,0.0703,177.913,"3","1",260773,0.0827,"4","2RSHsoi04658QL5xgQVov3","modern rock","pop","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
