"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"11","Senza Di Me (feat. Venerus & Franco126)","Gemitaiz","Senza Di Me","2018","Winter",66,0.167,0.698,0.636,0,0.125,-5.844,0.034,107.282,"8","1",201961,0.313,"3","3xGD5KhnizETt7KQwxtUAc","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"12","Non Abbiamo Età","Luchè","Potere","2019","Winter",41,0.0522,0.372,0.689,0,0.154,-4.711,0.243,193.259,"6","1",181661,0.191,"4","6vVH5RgMlLObkHkkb2bs94","italian hip hop","italian pop","rap napoletano",NA,NA,NA,NA,NA
"13","Andate Tutti Affanculo","The Zen Circus","Andate Tutti Affanculo","2009","Autumn",40,0.672,0.638,0.586,0.0105,0.0715,-8.992,0.0303,116.015,"7","1",486133,0.651,"4","1qeafllxI3w3GNa2SLPW6r","indie rock italiano","italian alternative","italian indie pop",NA,NA,NA,NA,NA
"14","C'era una Vodka","Willie Peyote","Educazione sabauda","2016","Winter",48,0.247,0.572,0.752,0,0.0698,-7.066,0.215,84.096,"8","1",286818,0.491,"4","7K77DnDEuYKIk2b2vkIT2V","italian alternative","italian indie pop","italian pop","rap napoletano","turin indie",NA,NA,NA
"15","Thinking out Loud","Ed Sheeran","x (Deluxe Edition)","2014","Summer",85,0.474,0.781,0.445,0,0.184,-6.061,0.0295,78.998,"2","1",281560,0.591,"4","34gCuhDGsG4bRPIf9bb02f","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA
"16","Barceloneta","Carl Brave x Franco126","Barceloneta","2017","Summer",50,0.229,0.655,0.765,0,0.118,-4.617,0.231,136.493,"5","1",242627,0.715,"4","5DelwP5vBag1H1Nmlygcu8","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
"17","Last Friday Night (T.G.I.F.)","Katy Perry","Teenage Dream: The Complete Confection","2012","Spring",76,0.00125,0.649,0.815,4.31e-05,0.671,-3.796,0.0415,126.03,"3","0",230746,0.765,"4","455AfCsOhhLPRc68sE01D8","pop",NA,NA,NA,NA,NA,NA,NA
"18","uNa DiReZioNe giUsTa","yungest Moonstar","uNa DiReZioNe giUsTa","2021","Summer",60,0.303,0.409,0.647,0,0.332,-7.698,0.212,196.426,"10","1",215516,0.523,"4","1ktyKCzfI8hooCJP3X2yP5",NA,NA,NA,NA,NA,NA,NA,NA
"19","Bad Habits","Ed Sheeran","=","2021","Autumn",85,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,"11","0",230746,0.537,"4","3rmo8F54jFF8OgYsqTxm5d","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA
"20","Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt","Libertà","2019","Summer",65,0.0104,0.754,0.725,0,0.192,-6.058,0.066,120.003,"8","1",208133,0.271,"4","00GxbkrW4m1Tac5xySEJ4M","italian adult pop","italian hip hop","italian pop","pop virale italiano","rap napoletano",NA,NA,NA
"21","50 Special","Lùnapop","...Squérez?","1999","Autumn",65,0.0031,0.492,0.939,3.23e-05,0.109,-4.667,0.0314,160.173,"7","1",207520,0.893,"4","21Ay8mJRYQuOMZp7qyQXl6","classic italian pop","italian adult pop","italian pop",NA,NA,NA,NA,NA
"22","Faccio un casino","Coez","Faccio un casino","2017","Spring",68,0.562,0.742,0.49,0,0.191,-6.482,0.0513,82.994,"7","1",193624,0.509,"4","6qNXkVk19OYLu4CoqjDfZ0","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA,NA
"23","I Watussi","Edoardo Vianello","Edoardo Vianello","2000","Autumn",44,0.55,0.558,0.84,0,0.0952,-4.822,0.122,132.773,"5","1",188800,0.824,"4","2xZm2yssvtO5o6XNVWjUkH","classic italian pop",NA,NA,NA,NA,NA,NA,NA
"24","L'esercito del selfie (feat. Lorenzo Fragola & Arisa)","Takagi & Ketra","L'esercito del selfie (feat. Lorenzo Fragola & Arisa)","2017","Summer",56,0.0707,0.818,0.714,0,0.0901,-5.39,0.0335,118.019,"2","1",187189,0.78,"4","28I8isBTQdyl3LTtAAQofp","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA
"25","Alla Tua","Carl Brave x Franco126","Polaroid 2.0","2018","Winter",45,0.00789,0.718,0.667,0,0.0638,-6.029,0.107,128.093,"5","1",183750,0.225,"4","6HkJey4kJvPhFYnSOmAlKI","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
