"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"48","Swarm of Fish","Pianopassion","Piano Stories III: Inspiration and Enchantment","2016","Autumn",63,0.958,0.454,0.095,0.862,0.0906,-21.375,0.0358,160.088,"1","0",108237,0.0395,"3","5I7CTEi8FIBCvSUrw5273y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Retaliate","NZ42","Init Reboot","2022","Spring",3,2.79e-05,0.504,0.84,0.76,0.16,-7.555,0.0442,162.969,"11","0",376932,0.214,"4","0ICv3XDe8yZ3iVpQFN4rLY","acidcore",NA,NA,NA,NA,NA,NA,NA,NA
"50","Mr. and Mrs. Fox","Alexandre Desplat","Fantastic Mr. Fox - Additional Music From The Original Score By Alexandre Desplat - The Abbey Road Mixes","2010","Winter",34,0.919,0.722,0.45,0.757,0.319,-15.689,0.0566,132.001,"2","1",66906,0.921,"4","1d8GvqSGx37baHpabPmgtf","french soundtrack","orchestral soundtrack","soundtrack",NA,NA,NA,NA,NA,NA
"51","Comptine d'un autre été, l'après-midi","Yann Tiersen","Le Fabuleux destin d'Amélie Poulain (Bande originale du film)","2001","Spring",76,0.991,0.483,0.192,0.908,0.106,-15.378,0.0469,100.848,"4","0",140733,0.0542,"4","14rZjW3RioG7WesZhYESso","compositional ambient","french soundtrack",NA,NA,NA,NA,NA,NA,NA
"52","R MAX","Contrefaçon","R MAX - Single","2017","Spring",24,0.0292,0.619,0.986,0.00112,0.0861,-5.907,0.434,75.338,"7","1",195310,0.376,"4","2FFTaiKLshB35SA1QjOnz4","french indietronica",NA,NA,NA,NA,NA,NA,NA,NA
"53","First Love Feeling","umbraid","First Love Feeling","2019","Spring",39,0.00232,0.417,0.871,0.789,0.242,-8.999,0.0399,144.012,"1","1",322274,0.234,"4","6Vk8JsDdW8JOPhp2fMKh8L","french techno","techno rave",NA,NA,NA,NA,NA,NA,NA
"54","A Dangerous Thing","AURORA","A Dangerous Thing","2022","Winter",43,0.475,0.55,0.557,0,0.116,-6.134,0.0356,105.979,"11","0",215573,0.111,"4","3Ola5gPTe1NK9GgnVgLoVX","art pop","norwegian pop",NA,NA,NA,NA,NA,NA,NA
"55","Yumma","Ahmed Fakroun","Awedny","2010","Summer",19,0.00961,0.72,0.546,0.668,0.0334,-13.692,0.0274,108.114,"4","0",220933,0.961,"4","49eHVKMPqxdareHnFl3IL7","arab groove","libyan pop",NA,NA,NA,NA,NA,NA,NA
"56","El Pescador","Totó La Momposina","La Candela Viva","1993","missing",50,0.774,0.488,0.718,0,0.687,-9.128,0.112,170.74,"10","0",247306,0.813,"4","5STDVTFO7ziu4LDaaRCx2n","chicha","colombian rock","cumbia","folclor afrocolombiano","porro",NA,NA,NA,NA
"57","Pelele","Morad","Pelele","2021","Winter",72,0.224,0.83,0.698,0.00065,0.0761,-5.549,0.163,144.929,"1","0",216827,0.825,"4","5h5TUj8pU2WhdSeJx9BnX2","drill espanol","urbano espanol",NA,NA,NA,NA,NA,NA,NA
"58","Heart And Soul","Blue Barron & His Orchestra","Blue Barron & His Orchestra, 1938-41","1977","Winter",28,0.986,0.552,0.119,0.00571,0.215,-15.301,0.0541,67.629,"8","1",159493,0.446,"4","4nElTFqpGQy9vSJYF3TboM","man's orchestra",NA,NA,NA,NA,NA,NA,NA,NA
"59","Space Raiders - Charlotte de Witte Remix","Eats Everything","Space Raiders (Charlotte de Witte Remix)","2019","Winter",51,0.00314,0.749,0.731,0.867,0.111,-10.865,0.108,131.997,"4","1",438720,0.0598,"4","4F8OK7mNa51mKqgHqWQiYm","deep disco house","house","raw techno",NA,NA,NA,NA,NA,NA
"60","Mama","Fatoumata Diawara","Fenfo","2018","Spring",34,0.917,0.56,0.225,4.12e-05,0.127,-10.271,0.0314,110.137,"6","0",260839,0.264,"4","3ug0MtfIWDgeebuH2C439X","afropop","desert blues","malian blues","mande pop","wassoulou","world",NA,NA,NA
"61","Sadeness","Enigma","Love Sensuality Devotion: The Greatest Hits","2001","Winter",59,0.0928,0.588,0.644,0.0472,0.092,-9.547,0.0338,95.647,"7","1",255533,0.49,"4","57h06SZNL6LJ3YKZ1UGCeu","downtempo","gregorian dance",NA,NA,NA,NA,NA,NA,NA
"62","Wonder Woman","WSTRN","Wonder Woman","2021","Autumn",46,0.0328,0.762,0.643,0.0085,0.113,-7.947,0.0638,102.064,"10","0",197647,0.456,"4","3Ojkw9bUCkW3odXjl6J1xi","afroswing","grime","uk hip hop",NA,NA,NA,NA,NA,NA
"63","Sientate en Ese Deo","El Alfa","Sientate en Ese Deo","2018","Summer",50,0.3,0.883,0.828,0.439,0.0867,-3.089,0.106,116.01,"0","0",221896,0.433,"4","7no50s2we7Ap7UsvHtn6Px","dembow","rap dominicano","reggaeton","trap latino","urbano latino",NA,NA,NA,NA
"64","Nterini - Sparrow & Barbossa Remix","Fatoumata Diawara","Nterini (Sparrow & Barbossa Remix)","2020","Summer",41,0.0088,0.793,0.9,0.733,0.123,-7.839,0.0537,123.003,"1","0",363765,0.467,"4","6ZD6KxJrALrxyx0E01Rkgf","afropop","desert blues","malian blues","mande pop","wassoulou","world",NA,NA,NA
"65","Bad B","DFT","Bad B","2021","Autumn",15,0.183,0.89,0.691,0,0.0903,-5.3,0.133,104.043,"1","0",156995,0.69,"4","3tNphfZkMzSml8IryzmQBu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Ambition For Cash","Key Glock","Ambition For Cash","2021","Autumn",69,0.0115,0.841,0.732,2.18e-05,0.136,-5.186,0.19,149.012,"7","0",143480,0.576,"4","1tkipCYkIgti8f1tqjfcWe","memphis hip hop","rap","southern hip hop","tennessee hip hop","trap",NA,NA,NA,NA
"67","Moussolou","Oumou Sangaré","Moussolou","1991","Winter",40,0.26,0.566,0.335,0,0.207,-13.493,0.0513,110.783,"7","1",314573,0.94,"4","2jkZYhTXDk83BOaRTR8QxH","afropop","malian blues","mande pop","wassoulou","world",NA,NA,NA,NA
"68","Ou Y´An Ye","Fatoumata Diawara","Fenfo","2018","Spring",31,0.542,0.648,0.57,0.00932,0.109,-8.188,0.0399,163.529,"0","1",252546,0.491,"3","6nxB6Pz0DvvEoY9uMcnINt","afropop","desert blues","malian blues","mande pop","wassoulou","world",NA,NA,NA
"69","Fourth of July - April Base Version","Sufjan Stevens","Fourth of July","2022","Summer",45,0.994,0.648,0.173,0.00112,0.121,-18.497,0.0398,114.992,"8","1",223201,0.549,"4","1qufJFcGOXDdfA9kryBCQG","art pop","baroque pop","chamber pop","indie pop","indie rock","singer-songwriter",NA,NA,NA
"70","These Days","Nico","Chelsea Girl","1967","Autumn",66,0.989,0.401,0.13,0.305,0.101,-17.638,0.0312,93.091,"5","1",210653,0.213,"4","3uCkIqD0VzQUijbs8WIizs","experimental","melancholia","singer-songwriter",NA,NA,NA,NA,NA,NA
"71","Maison Belissimo","Bruno Belissimo","Maison Belissimo","2021","Spring",11,0.00788,0.77,0.602,0.818,0.102,-7.668,0.0356,123.026,"3","0",201705,0.87,"4","5ewCtXqMzS88i8aFPNgfvi","indie rock italiano",NA,NA,NA,NA,NA,NA,NA,NA
"72","Badd Gyal","DJ Hard2Def","Badd Gyal","2021","Autumn",47,0.166,0.863,0.688,2.87e-05,0.271,-5.539,0.164,100.016,"1","0",188242,0.256,"4","6tskW8QNRDCBI4fVs2FjvX",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Butterfly","SMiLE.dk","Smile","1998","Summer",63,0.214,0.703,0.985,0.918,0.139,-5.105,0.0352,134.909,"11","1",177453,0.776,"4","3CisGh5CyKBDnGtjmsszSo","bubblegum dance",NA,NA,NA,NA,NA,NA,NA,NA
"74","Layla","Various Artists","70s Mix","2019","Summer",25,0.451,0.459,0.89,0.11,0.306,-3.246,0.0487,115.654,"1","1",423680,0.447,"4","274LrsIzJ56qtJC9H5dpS1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Heartbreakfree","Ji Nilsson","Heartbreakfree","2014","Spring",27,0.315,0.679,0.394,1.29e-06,0.12,-11.087,0.0464,96.92,"6","1",198040,0.648,"4","0oo1EB82OtGdLkldixgc2C","swedish pop",NA,NA,NA,NA,NA,NA,NA,NA
"76","Bloody Samaritan","Ayra Starr","Bloody Samaritan","2021","Summer",59,0.036,0.796,0.719,0,0.0718,-7.018,0.138,105.027,"8","0",187000,0.242,"4","3Keas2doqXf1veo2DOOIdz","afrobeats",NA,NA,NA,NA,NA,NA,NA,NA
"77","Peru","Fireboy DML","Peru","2021","Summer",60,0.572,0.951,0.415,0.00403,0.0792,-6.847,0.077,108.014,"7","0",151640,0.633,"4","0lk5tzmaJWVAv5GBvpm3xu","afrobeats","afropop","nigerian pop",NA,NA,NA,NA,NA,NA
"78","Domina","De Schuurman","Bubbling Inside","2021","Summer",8,0.0202,0.737,0.928,0.792,0.342,-4.427,0.0451,130.044,"7","0",212837,0.406,"4","3gW2IqXv78pQ4pIridQeKS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Mystery of Love","Various Artists","Call Me By Your Name (Original Motion Picture Soundtrack)","2017","Autumn",68,0.94,0.365,0.273,0.431,0.109,-16.526,0.038,132.285,"4","0",248964,0.238,"5","4HbeGjbt7u3pvwDk1vN7P0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Strawberry Blond","Mitski","Retired from Sad, New Career in Business","2013","Summer",70,0.839,0.51,0.545,0,0.061,-8.299,0.0928,77.92,"0","1",114277,0.941,"4","1EO9dn7V0ufwPHJngZThO5","brooklyn indie","pov: indie",NA,NA,NA,NA,NA,NA,NA
"81","Oo-De-Lally - From ""Robin Hood""","Roger Miller","Oo-De-Lally (From ""Robin Hood"")","1988","Winter",58,0.946,0.666,0.189,0,0.103,-16.991,0.137,80.312,"5","1",58120,0.572,"3","0mWXrr6HQZUhCQG4JMkT2e","classic country pop","classic oklahoma country","nashville sound",NA,NA,NA,NA,NA,NA
"82","La Soupe","Vortek's","La Soupe","2019","Spring",45,0.0076,0.689,0.964,0.502,0.0948,-2.436,0.214,169.997,"4","0",367328,0.0328,"4","3TeC8dmOlBa70P2SdJMs5D","acidcore","tekno",NA,NA,NA,NA,NA,NA,NA
"83","On the Sea","Beach House","Bloom","2012","Spring",43,0.728,0.247,0.515,0.049,0.094,-7.659,0.0334,102.281,"3","1",332466,0.178,"3","5ADsYkqsZvaPeoPqEHYr2X","art pop","baltimore indie","dream pop","dreamo","indie pop","indie rock","indietronica","modern dream pop","pov: indie"
"84","Carolina Carol Bela","Various Artists","Brazilian Beats 1 (Mr Bongo presents)","1999","missing",48,0.87,0.45,0.53,0.0723,0.137,-11.284,0.0358,86.087,"7","0",188173,0.899,"4","7ByLX8Moni2MfhfbMKJ5Ll",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Sans cesse, mon chéri","Domenique Dumont","Miniatures de auto rhythm","2018","Autumn",54,0.702,0.871,0.54,0.654,0.107,-10.385,0.0364,123.015,"3","1",247317,0.944,"4","2Nq8gEPSjszcePWB7hS1zb","fluxwork","fourth world",NA,NA,NA,NA,NA,NA,NA
"86","Dolcenera","Fabrizio De André","Anime Salve Legacy Edition","1996","missing",44,0.178,0.68,0.494,5.07e-05,0.201,-8.357,0.0425,125.893,"11","0",297786,0.588,"4","5qr8mQoN9tEWVIcX30fx3R","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA
"87","Better Than Gold","The Harder They Fall","The Harder They Fall (The Motion Picture Soundtrack)","2021","Autumn",42,0.00446,0.808,0.716,0.00655,0.069,-4.728,0.0305,125.95,"7","1",353288,0.707,"4","0Yj82LI1pZSEUiokfFHoVG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","RC","Requin Chagrin","Requin Chagrin","2016","Spring",27,0.131,0.311,0.833,0.88,0.0907,-4.024,0.0558,145.027,"9","1",206466,0.311,"4","3Bwpdquf94ala5SiMtylkt","french indie pop","french psychedelic","french shoegaze",NA,NA,NA,NA,NA,NA
"89","Enséñame a Bailar","Bad Bunny","Un Verano Sin Ti","2022","Spring",78,0.191,0.81,0.789,1.08e-05,0.467,-5.08,0.0846,105.009,"8","1",176000,0.77,"4","2NMjggapJcXXM7WccGEBUO","reggaeton","trap latino","urbano latino",NA,NA,NA,NA,NA,NA
"90","Le code","Myth Syzer","Bisous","2018","Spring",56,0.394,0.646,0.446,3.47e-06,0.0579,-7.887,0.0784,123.8,"7","0",280413,0.565,"4","74SKS91bfQHLomV8rcErwE","rap calme",NA,NA,NA,NA,NA,NA,NA,NA
"91","Bebé Durmiendo Cumbia","Elijah Minnelli","Bebé Durmiendo Cumbia","2019","Spring",37,0.253,0.824,0.359,0.00239,0.508,-9.312,0.345,133.954,"0","1",237423,0.629,"4","1vtkNVW78sPsiOhRJuux85",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Frozen Garden","Emily Jane White","They Moved in Shadow All Together","2016","Spring",39,0.538,0.379,0.414,0.725,0.375,-13.859,0.0337,176.252,"7","1",236160,0.0387,"3","04Zk9i4Qw5rFuNg9ck3vI0","indie folk",NA,NA,NA,NA,NA,NA,NA,NA
"93","Sinnerman - Sofi Tukker Remix","Nina Simone","Sinnerman (Sofi Tukker Remix)","2021","Autumn",63,0.411,0.795,0.764,0.0105,0.0912,-7.463,0.04,124.027,"11","0",232632,0.156,"4","6Au1l0egQFYxbnCZxakoOL","jazz blues","neo soul","soul","soul jazz","torch song","vocal jazz",NA,NA,NA
"94","Liar","Tolani","Liar","2019","Spring",27,0.448,0.871,0.405,6.15e-05,0.0966,-12.537,0.0692,102.969,"3","0",191518,0.837,"4","5scse2pEzUWzbcleDSJ29o","afro r&b",NA,NA,NA,NA,NA,NA,NA,NA
"95","Chambacú","Quantic","1000 Watts","2016","Summer",56,0.0394,0.722,0.502,0.207,0.145,-10.249,0.0424,83.258,"5","0",199077,0.65,"4","5R2hXwoRB4gIgoNXoUuK51","downtempo","electronica","latin alternative","nu jazz","nu-cumbia","trip hop",NA,NA,NA
"96","Mébh's Tune","Bruno Coulais","WolfWalkers (Original Motion Picture Soundtrack)","2020","Winter",37,0.785,0.299,0.573,0.759,0.107,-12.621,0.0643,82.536,"2","1",184773,0.797,"4","09nv9tFB3yehVR7X67idN8","bajki","french soundtrack",NA,NA,NA,NA,NA,NA,NA
"97","killer","FKA twigs","killer","2022","Summer",53,0.168,0.401,0.619,0,0.272,-7.035,0.21,78.763,"0","0",176876,0.757,"4","4QUzLCXrpHO4c6dGyZlpO2","afrofuturism","alternative r&b","art pop","escape room","experimental r&b","trip hop",NA,NA,NA
"98","Hares On The Mountain","Shirley Collins","Folk Roots, New Routes","1964","Winter",41,0.898,0.488,0.275,8.89e-06,0.102,-8.474,0.0344,143.376,"0","0",180253,0.651,"3","2hA33KSrRe7M2GZvhTIPQP","british folk",NA,NA,NA,NA,NA,NA,NA,NA
"99","Se Acabo (feat. Method Man) - Remix","The Beatnuts","Take It Or Squeeze It","2001","Spring",65,0.156,0.935,0.519,0,0.425,-6.482,0.31,96.97,"6","0",212293,0.884,"4","4F3AZKEJubvPsl0hBArVBW","east coast hip hop","queens hip hop",NA,NA,NA,NA,NA,NA,NA
"100","Vibration","Fireboy DML","Laughter, Tears & Goosebumps","2019","Autumn",67,0.466,0.791,0.828,1.17e-05,0.109,-6.908,0.0477,103.983,"11","1",198461,0.883,"4","7u0z6FcJDqkZwdpqAqUzmO","afrobeats","afropop","nigerian pop",NA,NA,NA,NA,NA,NA
