"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"47","Soltera (Remix)","Lunay","Épico",2019,"Autumn",76,0.361,0.795,0.783,0,0.437,-4.271,0.0432,92.01,"5","1",266086,0.799,"4","4t9a07PAghtQMRAIP9FQ7Z","reggaeton","reggaeton flow","trap latino","urbano latino",NA,NA
"48","Salto nel vuoto","Poli Ok","Salto nel vuoto",2022,"Spring",40,0.215,0.611,0.804,0,0.249,-4.663,0.157,97.853,"0","1",191518,0.567,"4","14BIzYTfE2g7mjKJTrV1Wv","pop virale italiano",NA,NA,NA,NA,NA
"49","Casse rotte (feat. Brokenspeakers)","Coez","Volare",2022,"Spring",37,0.15,0.714,0.858,0,0.163,-2.811,0.151,85.007,"0","1",242378,0.788,"4","27dNFX3mCkv6H1nFP9GiRY","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA
"50","Mount Everest","Labrinth","Imagination & the Misfit Kid",2019,"Autumn",83,0.236,0.494,0.428,0.0698,0.0816,-7.239,0.205,87.724,"0","0",157497,0.44,"4","1ZdhOMWyFR8Iv9eylMGYg2","indie poptimism","pop",NA,NA,NA,NA
"51","Falene","Andre Faida","Ryder Season 2",2022,"Summer",1,0.0422,0.596,0.572,0,0.322,-7.326,0.0406,85.009,"4","1",138352,0.339,"4","78pszdVetPQe05RJCjjmgy",NA,NA,NA,NA,NA,NA
"52","Drunk in Love Remix (feat. Jay-Z & Kanye West)","Beyoncé","BEYONCÉ [Platinum Edition]",2014,"Autumn",69,0.16,0.508,0.763,0,0.118,-3.58,0.0516,139.653,"8","1",395986,0.476,"4","0FZmAvivvifvtN3pZScbw1","pop","r&b",NA,NA,NA,NA
"53","MOLOTOV","Lazza","SIRIO",2022,"Spring",67,0.265,0.613,0.96,0,0.24,-4.343,0.0542,159.98,"5","0",160204,0.669,"4","6SQmh0L5icrThwGDTeLkg1","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"54","Capri Sun","Capo Plaza","Hustle Mixtape",2022,"Summer",72,0.0454,0.683,0.852,0,0.246,-2.755,0.0636,93.068,"0","1",199680,0.448,"4","1XpmMe95dk9jh3zuOMpeU2","italian hip hop","italian pop","trap italiana",NA,NA,NA
"55","Gold Roses (feat. Drake)","Rick Ross","Port of Miami 2",2019,"Summer",62,0.00991,0.502,0.633,0,0.389,-5.8,0.419,83.226,"1","1",349600,0.552,"4","1rX5L6pyl3rVWb55D8Cprr","dirty south rap","gangster rap","hip hop","rap","southern hip hop","trap"
"56","AIRFORCE (feat. Madame)","Massimo Pericolo","SOLO TUTTO",2021,"Spring",64,0.394,0.458,0.625,0,0.107,-7.053,0.18,78.54,"10","0",220235,0.353,"4","4MTlIhliwFJnTfbEoctDyB","italian hip hop","trap metal italiana",NA,NA,NA,NA
