"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"46","Niente da perdere","Shiva","Niente da perdere",2022,"Summer",57,0.101,0.817,0.683,0,0.0747,-4.634,0.192,129.916,"9","1",166214,0.663,"4","3HiQ6Tn1mWVgYDLgeaxjS5","italian hip hop","italian pop","trap italiana",NA,NA
"47","SOGNI MATTI (feat. Leon Faun & Drast)","Sick Luke","X2",2022,"Winter",55,0.229,0.513,0.655,0,0.208,-5.732,0.278,80.589,"7","1",197009,0.297,"4","3eSSVIw9YbVm1SLNxqtdjR","italian hip hop","trap italiana",NA,NA,NA
"48","Mamma Mia","Sfera Ebbasta","Mamma Mia",2022,"Spring",66,0.042,0.762,0.609,2.78e-06,0.25,-5.934,0.0369,99.971,"8","0",166796,0.266,"4","7d7xucQmFY7PoESyJm2V9J","italian hip hop","italian pop","trap italiana","trap latino",NA
"49","Rollercoaster","Emis Killa","Supereroe",2018,"Autumn",56,0.052,0.744,0.866,2.2e-05,0.0574,-5.178,0.174,104.042,"11","1",207550,0.791,"4","4WJj8NsyCm3YAADCOe0hrf","italian hip hop","italian pop",NA,NA,NA
"50","Sosta","Various Artists","Undamento 01",2016,"Summer",48,0.272,0.659,0.883,0,0.382,-4.12,0.161,92.053,"7","1",160561,0.728,"4","5rItTdPxhUoEnBhlq3Y7Br",NA,NA,NA,NA,NA
"51","British","Dark Polo Gang","British",2018,"Spring",48,0.00875,0.84,0.488,8.39e-05,0.0474,-7.717,0.168,95.987,"9","1",188850,0.307,"4","3eIRxkHV1xKsSJ8WWFfGjE","italian hip hop","italian indie pop","italian pop","trap italiana",NA
"52","NUOVO RANGE (con SFERA EBBASTA)","Rkomi","TAXI DRIVER",2021,"Autumn",69,0.233,0.68,0.76,0,0.13,-4.866,0.0556,82.54,"1","0",176772,0.709,"4","5YSR0sWUZk7NuIbkycxndu","italian hip hop","italian pop",NA,NA,NA
"53","Chico (feat. Rose Villain & Luchè)","Guè","Mr. Fini",2020,"Autumn",66,0.164,0.778,0.819,0,0.111,-3.873,0.0531,144.953,"0","0",201931,0.637,"4","3sUzeeqRtfBfJAkk8qb8Pd","italian hip hop","italian pop",NA,NA,NA
"54","Waiting For Love","Avicii","Stories",2015,"Autumn",84,0.31,0.579,0.736,0,0.198,-3.863,0.0527,127.999,"6","0",230613,0.613,"4","2P4OICZRVAQcYAV2JReRfj","dance pop","edm","pop","pop dance",NA
"55","Hall of Fame (feat. will.i.am)","The Script","#3 Deluxe Version",2012,"Autumn",84,0.0654,0.421,0.873,0,0.123,-4.343,0.0564,84.786,"10","1",202533,0.629,"4","7wMq5n8mYSKlQIGECKUgTX","celtic rock","pop",NA,NA,NA
"56","LONDRA","Rosa Chemical","FOREVER",2020,"Spring",47,0.0545,0.683,0.806,0,0.0618,-4.348,0.0521,106.018,"7","1",194779,0.522,"4","1zBr4jTyegVrBeGUgZgy7l","italian hip hop","italian pop",NA,NA,NA
"57","Stamm Fort (feat. Sfera Ebbasta)","Luchè","Potere",2019,"Winter",64,0.0983,0.78,0.521,0.000125,0.0967,-5.094,0.123,160.087,"0","1",171375,0.643,"4","7iTTQvztpfrDneVSX9IGBD","italian hip hop","italian pop","rap napoletano",NA,NA
"58","Bandita","Jake La Furia","Bandita",2018,"Summer",48,0.0841,0.859,0.892,0,0.105,-3.58,0.154,93.012,"11","0",204516,0.514,"4","1AxEMGsutOIbDzZnvj0yaj","italian hip hop","italian pop",NA,NA,NA
"59","Routine","Neima Ezza","Routine",2019,"Autumn",52,0.0907,0.677,0.734,6.39e-06,0.788,-6.754,0.0733,150.035,"0","1",173600,0.767,"4","2Su5i05PwQHG12neeluq3d","italian hip hop","trap italiana",NA,NA,NA
"60","Cambiare Adesso","Dark Polo Gang","Trap Lovers",2019,"Spring",62,0.276,0.661,0.777,1.81e-06,0.252,-3.156,0.0618,79.959,"8","1",228287,0.619,"4","2xjxaKiYssIdDU6DCPpZPt","italian hip hop","italian indie pop","italian pop","trap italiana",NA
