"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"69","Still Waiting","Sum 41","Does This Look Infected?","2002","Winter",75,0.00105,0.431,0.95,3.63e-05,0.272,-4.918,0.26,191.936,"7","1",158733,0.56,"4","0jqK7sGTLsHPkQrrcrGuKD","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"70","Run Through Walls","The Script","Sunsets & Full Moons","2019","Autumn",56,0.226,0.337,0.66,0,0.744,-3.644,0.0324,158.864,"2","1",206693,0.49,"4","7ybTXgmWoVFV33te4kVlUR","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"71","Blu Celeste","BLANCO","Blu Celeste","2021","Autumn",59,0.921,0.688,0.442,0,0.366,-5.611,0.0354,116.463,"9","1",206379,0.252,"4","0BeXxjO6mgLDzg4xA6UheO","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"72","Mr. Brightside","The Killers","Hot Fuss","2004","missing",88,0.00121,0.352,0.911,0,0.0995,-5.23,0.0747,148.033,"1","1",222973,0.236,"4","003vvx7Niy0yvhvHt4a68B","alternative rock","dance rock","modern rock","permanent wave","rock",NA,NA,NA,NA
"73","Fat Lip","Sum 41","All Killer, No Filler","2001","Winter",77,0.000579,0.402,0.914,0,0.065,-5.215,0.142,196.505,"9","1",178266,0.626,"4","4KacUpvbA3Mfo05gttTjhN","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"74","Hall of Fame (feat. will.i.am)","The Script","#3 Deluxe Version","2012","Autumn",84,0.0654,0.421,0.873,0,0.123,-4.343,0.0564,84.786,"10","1",202533,0.629,"4","7wMq5n8mYSKlQIGECKUgTX","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"75","Brividi","Mahmood","Brividi","2022","Winter",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,"7","1",199146,0.342,"4","1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"76","Dive","Ed Sheeran","÷ (Deluxe)","2017","Spring",75,0.355,0.761,0.386,0,0.0953,-6.158,0.0399,134.943,"4","1",238440,0.526,"3","51ChrwmUPDJvedPQnIU8Ls","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA,NA
"77","Underclass Hero","Sum 41","Underclass Hero","2007","Winter",62,0.000708,0.347,0.988,0,0.101,-2.979,0.127,191.933,"9","1",194133,0.765,"4","6dXizHF3KbmdvOgvMAhnQC","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"78","The Last Time","The Script","Sunsets & Full Moons","2019","Autumn",58,0.0486,0.521,0.746,0,0.236,-3.421,0.0349,132.014,"5","1",196106,0.15,"4","600oiqLkQIJ85HvQGIQWvO","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"79","Known Unknowns","Ned Stranger","Known Unknowns","2021","Spring",4,0.703,0.744,0.525,0.00309,0.125,-11.722,0.052,120.034,"9","0",175640,0.58,"4","2sRRCWi6AYzxUunEKSqBsc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Smile Every Day","Roger Williams & The All Mixed-Up Quartet","A Different Road","2010","Winter",3,0.106,0.55,0.778,0,0.0772,-4.868,0.0876,172.155,"11","1",252560,0.805,"4","20wJcBCE6ihKDev6CHWzTK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Summer","Sum 41","All Killer, No Filler","2001","Winter",44,2.8e-05,0.507,0.971,0,0.317,-3.769,0.0705,114.166,"7","1",169360,0.562,"4","5chsaehCHtSbHVeky3WDm6","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
