"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"62","When Did Your Heart Go Missing?","Rooney","Calling The World",2007,"Winter",50,0.00176,0.598,0.93,0,0.0353,-4.014,0.0466,175.795,"9","0",213333,0.97,"4","7bBEDtVmP86Zli3NmBV17y","modern power pop",NA,NA,NA,NA,NA
"63","Heartless","The Weeknd","The Highlights",2021,"Winter",51,0.0194,0.538,0.751,1.42e-06,0.145,-5.487,0.128,169.985,"10","0",198267,0.244,"4","7graOvVPwjmSFwJ3rHoPDt","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"64","Ayo Girl (Fayahh Beat) [feat. Rema]","Robinson","Ayo Girl (Fayahh Beat) [feat. Rema]",2022,"Spring",63,0.00702,0.647,0.766,0,0.096,-4.803,0.0389,95.016,"6","1",165215,0.55,"4","57Hk0AE5OhgXrPWZOhipHt",NA,NA,NA,NA,NA,NA
"65","Boca","Gaia","Boca",2021,"Spring",42,0.451,0.815,0.66,0,0.324,-5.564,0.251,99.958,"4","0",156000,0.665,"4","1k7AVxRvQVQLlnmHlLRHUg","italian adult pop","italian pop",NA,NA,NA,NA
"66","Tarot","Bad Bunny","Un Verano Sin Ti",2022,"Spring",83,0.0225,0.795,0.684,0,0.658,-3.971,0.0419,114.011,"11","0",237894,0.419,"4","41oY4WCTj5kccfesTVFnvN","reggaeton","trap latino","urbano latino",NA,NA,NA
"67","Good Ones","Charli XCX","Good Ones",2021,"Autumn",57,0.072,0.764,0.672,3.32e-06,0.0806,-5.947,0.0293,129.049,"7","0",136614,0.789,"4","6PZpNMstpIiRenGK5UyG5D","art pop","candy pop","metropopolis","pop","uk pop",NA
"68","Moth To A Flame (with The Weeknd)","Swedish House Mafia","Paradise Again",2022,"Spring",83,0.0027,0.553,0.659,0,0.105,-7.295,0.0391,120.146,"8","1",234000,0.105,"4","0VO8gYVDSwM1Qdd2GsMoYK","edm","pop dance","progressive electro house",NA,NA,NA
"69","Time N Affection","Rema","Time N Affection",2022,"Spring",44,0.306,0.549,0.689,0,0.0785,-6.667,0.118,108.643,"9","0",230721,0.268,"4","6uuhvitj2K7IFj3cRGLGC9","afrobeats","nigerian pop",NA,NA,NA,NA
"70","Ciò che non dici - prod. thasup","Mara Sattei","Ciò che non dici (prod. thasup)",2021,"Winter",30,0.0683,0.563,0.714,0.00188,0.0529,-6.548,0.21,180.058,"6","1",174159,0.633,"3","2jCxkj3EYVL0vUuROwFPxn","italian hip hop","italian pop",NA,NA,NA,NA
"71","Let Me Love You","Mario","Let Me Love You",2004,"Autumn",76,0.235,0.656,0.578,0,0.118,-8.97,0.0922,94.514,"7","0",256733,0.556,"4","3ibKnFDaa3GhpPGlOUj7ff","dance pop","hip pop","r&b","southern hip hop","urban contemporary",NA
"72","Love Me Harder","The Weeknd","The Highlights",2021,"Winter",58,0.0103,0.468,0.707,0,0.0766,-4.39,0.0327,99.083,"1","0",236041,0.221,"4","37NfmgIw3hLatdtt7c8PNm","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"73","Everything But You (feat. A7S)","Clean Bandit","Everything But You (feat. A7S)",2022,"Winter",63,0.031,0.679,0.764,9.05e-06,0.0951,-5.301,0.0391,124.977,"6","1",198014,0.471,"4","2wVQcA1YCuGL6EW0QbgVoV","pop","uk dance","uk funky",NA,NA,NA
"74","When I R.I.P.","Labrinth","Euphoria (Original Score from the HBO Series)",2019,"Autumn",72,0.73,0.417,0.551,0.00166,0.0907,-6.456,0.174,87.614,"8","0",174567,0.444,"4","2t16D9V5FmmRAJjsSpwvZf","indie poptimism","pop",NA,NA,NA,NA
"75","Feelings","Maroon 5","V",2014,"Autumn",58,0.00365,0.693,0.727,0,0.0576,-5.364,0.0749,121.937,"10","0",194773,0.746,"4","2dyyOwe0KxTZTJjjXDeLmU","pop",NA,NA,NA,NA,NA
"76","Call Out My Name","The Weeknd","My Dear Melancholy,",2018,"Spring",88,0.17,0.461,0.593,0,0.307,-4.954,0.0356,134.17,"1","1",228373,0.175,"3","09mEdoA6zrmBPgTEN5qXmN","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"77","Catwalk (feat. Skeltal Ki)","RuPaul","Mamaru",2022,"Winter",50,0.0156,0.727,0.795,0,0.105,-7.241,0.125,108.004,"0","1",175555,0.572,"4","1PV3tt86OaMewEsXwj91Ma","diva house","strut",NA,NA,NA,NA
"78","Con Altura","ROSALÍA","Con Altura",2019,"Spring",75,0.39,0.882,0.689,0.00325,0.0501,-4.027,0.124,97.963,"6","1",161626,0.746,"4","2qG5sZ7Si6sdK74qLxedYM","latin viral pop","pop","r&b en espanol",NA,NA,NA
"79","Mascarade (feat. Lous and The Yakuza) - Radio Edit","YEИDRY","Mascarade (feat. Lous and The Yakuza)",2022,"Winter",46,0.807,0.799,0.456,0.001,0.119,-8.499,0.263,141.95,"8","0",155549,0.477,"4","45qyXu23cbQYUqfovmA3Yv","dominican pop",NA,NA,NA,NA,NA
"80","Ordinary Life","The Weeknd","Starboy",2016,"Autumn",66,0.0275,0.537,0.587,0,0.0961,-7.486,0.0771,149.748,"7","0",221920,0.365,"4","15k2nBQJ0teDmPZHrOXL2N","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"81","Después de la Playa","Bad Bunny","Un Verano Sin Ti",2022,"Spring",79,0.356,0.564,0.903,0,0.175,-3.221,0.307,78.293,"5","1",230400,0.607,"4","1dm6z1fWB0cErMszU25dy2","reggaeton","trap latino","urbano latino",NA,NA,NA
"82","Vroom Vroom","Charli XCX","Vroom Vroom EP",2016,"Winter",66,0.122,0.836,0.684,0,0.0854,-5.818,0.241,151.007,"11","1",193270,0.514,"4","5hyq3LBlCfjRQAFkdQwe8o","art pop","candy pop","metropopolis","pop","uk pop",NA
"83","Movie Star (feat. Pharrell Williams)","Jack Harlow","Come Home The Kids Miss You",2022,"Spring",55,0.00461,0.829,0.488,0,0.107,-7.275,0.183,93.199,"8","1",142590,0.551,"4","3u8bblcJtOxxmGzJrviWLp","deep underground hip hop","kentucky hip hop","pop rap","rap",NA,NA
"84","Reminder","The Weeknd","Starboy",2016,"Autumn",89,0.142,0.706,0.505,0,0.164,-6.923,0.193,160.053,"8","1",218880,0.388,"4","37F0uwRSrdzkBiuj0D5UHI","canadian contemporary r&b","canadian pop","pop",NA,NA,NA
"85","Silent Hill","Kendrick Lamar","Mr. Morale & The Big Steppers",2022,"Spring",71,0.438,0.907,0.577,3.19e-05,0.137,-6.737,0.0767,140.07,"1","0",220779,0.801,"4","3lzUeaCbcCDB5IXYfqWRlF","conscious hip hop","hip hop","rap","west coast rap",NA,NA
"86","Nuova Registrazione 402 - prod. thasup","Mara Sattei","Nuova Registrazione 402 (prod. thasup)",2019,"Autumn",41,0.0549,0.687,0.686,0,0.168,-5.822,0.0379,113.996,"1","1",171564,0.199,"4","6R8lW71NRY2DMLenshmWPS","italian hip hop","italian pop",NA,NA,NA,NA
