"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4"
"32","La storia infinita","Pinguini Tattici Nucleari","AHIA!",2020,"Winter",64,0.169,0.701,0.744,0,0.115,-3.421,0.0411,89.986,"4","1",207802,0.651,"4","2r1SRt8bhtR6a9bMRR0AgV","bergamo indie","italian indie pop","italian pop","milan indie"
"33","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)",2021,"Autumn",87,0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,"0","1",613026,0.205,"4","5enxwA8aAbwZbf5qCHORXi","pop",NA,NA,NA
"34","Destri","Gazzelle","OK",2021,"Winter",69,0.126,0.459,0.696,0,0.198,-4.953,0.0406,85.819,"8","1",185503,0.422,"4","7nRFsITVaSHko2Fw2Gcy59","italian adult pop","italian pop","rome indie",NA
"35","Tommaso","Fulminacci","La Vita Veramente",2019,"Spring",58,0.02,0.745,0.905,4.3e-05,0.345,-3.35,0.0497,150.11,"7","1",157640,0.733,"4","182Br0vkoUXaoowa62VU03","italian indie pop","italian pop","rome indie",NA
"36","ACIDO","PSICOLOGI","TRAUMA",2022,"Spring",40,0.101,0.51,0.808,0.000157,0.438,-5.968,0.0338,150.002,"5","1",210200,0.67,"3","4GUbhJkgfDXC83pMS1WT5m","italian hip hop","italian pop","rome indie",NA
"37","Out Of The Woods","Taylor Swift","1989 (Deluxe)",2014,"Winter",76,0.000743,0.553,0.841,1.19e-05,0.341,-6.937,0.0396,92.008,"7","1",235800,0.338,"4","0qUnBLZ8bJqUNEeQgayL9t","pop",NA,NA,NA
"38","Lake Washington Boulevard","Pinguini Tattici Nucleari","Fuori dall'Hype",2019,"Spring",62,0.234,0.708,0.745,0,0.0654,-3.249,0.0367,110.003,"7","1",228466,0.808,"4","6Jn9qoprkuSfsRW7tTRkOV","bergamo indie","italian indie pop","italian pop","milan indie"
"39","La Nuova Stella Di Broadway","Cesare Cremonini","La Teoria Dei Colori",2012,"Winter",65,0.657,0.473,0.566,3.49e-05,0.0908,-7.984,0.0342,139.879,"2","1",267746,0.296,"4","3qtuOAI0YyfoBM1s7Tvm46","italian adult pop","italian pop",NA,NA
"40","TATUAGGI (feat. ARIETE)","PSICOLOGI","MILLENNIUM BUG",2020,"Summer",59,0.346,0.609,0.69,0,0.162,-6.075,0.0949,94.973,"5","1",185979,0.654,"4","15WIkk29b7NqOK2poTRnOU","italian hip hop","italian pop","rome indie",NA
"41","Style","Taylor Swift","1989 (Deluxe)",2014,"Winter",91,0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,"7","1",231000,0.487,"4","0ug5NqcwcFR2xrfTkc7k8e","pop",NA,NA,NA
"42","L'uomo che inventò il fuoco","Pinguini Tattici Nucleari","Gioventù brucata",2017,"Spring",46,0.621,0.712,0.771,2.08e-06,0.102,-6.092,0.173,100.034,"0","1",323746,0.717,"4","3VVZQQhjaVyhszJctiwYW6","bergamo indie","italian indie pop","italian pop","milan indie"
"43","Horror","NASKA","REBEL",2022,"Spring",53,0.0282,0.455,0.677,0,0.564,-5.041,0.0338,179.981,"4","1",219846,0.266,"4","6fPGBlx8wsAxhoDn7BwiAH","emo rap italiano",NA,NA,NA
"44","sottacqua","chiamamifaro","sottacqua",2022,"Summer",31,0.0789,0.593,0.898,0,0.156,-4.217,0.0606,145.967,"1","0",201189,0.701,"4","2Pdr33YqelbFwPepOAwBQy",NA,NA,NA,NA
"45","the last great american dynasty","Taylor Swift","folklore",2020,"Summer",78,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,"7","1",230999,0.706,"4","2Eeur20xVqfUoM3Q7EFPFt","pop",NA,NA,NA
"46","Tetris","Pinguini Tattici Nucleari","Gioventù brucata",2017,"Spring",60,0.68,0.668,0.82,4.67e-06,0.112,-6.089,0.0625,114.98,"4","1",350880,0.668,"4","5SGm0Q5Wur9mhpXnbzaPjG","bergamo indie","italian indie pop","italian pop","milan indie"
"47","Tutta la vita","Gazzelle","Punk",2018,"Autumn",46,0.129,0.646,0.575,8.34e-06,0.0969,-4.202,0.029,120.086,"5","1",185463,0.459,"4","6jfjt2OGDdVUECy47V4sqt","italian adult pop","italian pop","rome indie",NA
"48","1312","PSICOLOGI","TRAUMA",2022,"Spring",41,0.156,0.258,0.502,0,0.251,-8.143,0.0345,92.983,"4","0",165413,0.415,"5","358uYHCGhL4ScusugjRV1z","italian hip hop","italian pop","rome indie",NA
"49","Blank Space","Taylor Swift","1989 (Deluxe)",2014,"Winter",91,0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,"5","1",231826,0.57,"4","1u8c2t2Cy7UBoG4ArRcF5g","pop",NA,NA,NA
"50","How Far We've Come","Matchbox Twenty","How Far We've Come",2007,"Autumn",61,0.0045,0.566,0.905,0,0.21,-5.093,0.0646,83,"0","1",212253,0.792,"4","1EHh1fC9FCKw31wotfXx7L","neo mellow","pop rock","post-grunge",NA
"51","Antartide","Pinguini Tattici Nucleari","Fuori dall'Hype",2019,"Spring",58,0.463,0.589,0.853,0,0.0769,-3.01,0.0483,169.934,"4","1",274720,0.303,"4","66tVtoFKxaV62FBk5ihSPM","bergamo indie","italian indie pop","italian pop","milan indie"
"52","Till Forever Falls Apart","Ashe","Till Forever Falls Apart",2021,"Spring",72,0.413,0.509,0.498,0,0.0674,-6.94,0.0315,99.729,"2","1",222860,0.283,"4","2769RhOZs0ezRncRW1vryp","alt z",NA,NA,NA
"53","Getaway Car","Taylor Swift","reputation",2017,"Autumn",87,0.00465,0.562,0.689,2.23e-06,0.0888,-6.745,0.127,172.054,"2","1",233626,0.351,"4","0VE4kBnHJUgtMf0dy6DRmW","pop",NA,NA,NA
"54","1 step forward, 3 steps back","Olivia Rodrigo","SOUR",2021,"Spring",80,0.941,0.473,0.203,0,0.126,-12.627,0.102,168.884,"2","1",163586,0.419,"4","4wcBRRpIfesgcyUtis7PEg","pop",NA,NA,NA
"55","7 su 7","NASKA","REBEL",2022,"Spring",49,0.00246,0.443,0.895,0,0.318,-4.85,0.198,183.147,"11","1",147586,0.801,"4","2E27zWyPLrjq2d38bOC2Xn","emo rap italiano",NA,NA,NA
"56","Home","One Direction","Rarities - EP",2010,"Autumn",62,0.0115,0.42,0.867,0,0.0851,-5.397,0.0853,78.814,"9","1",194906,0.63,"4","5UcphALlWd7sBBySclJvAi","boy band","pop","post-teen pop","talent show"
"57","You're On Your Own, Kid","Taylor Swift","Midnights (3am Edition)",2022,"Autumn",72,0.416,0.694,0.38,8.47e-06,0.126,-10.307,0.0614,120.044,"2","1",194206,0.376,"4","7gVWKBcfIW93YxNBi3ApIE","pop",NA,NA,NA
"58","We Are Young (feat. Janelle Monáe)","fun.","Some Nights",2012,"Winter",80,0.02,0.378,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,"10","1",250626,0.735,"4","5rgy6ghBq1eRApCkeUdJXf","baroque pop","metropopolis",NA,NA
"59","La banalità del mare","Pinguini Tattici Nucleari","Fuori dall'Hype",2019,"Spring",62,0.414,0.768,0.804,0,0.408,-3.4,0.036,104.967,"4","1",192506,0.51,"4","4vseCIz3IuhWMQW9XiBnHC","bergamo indie","italian indie pop","italian pop","milan indie"
"60","Che senso ha","Franco126","Che senso ha",2021,"Spring",44,0.195,0.617,0.597,0,0.113,-6.112,0.0554,77.497,"6","1",233806,0.448,"4","7CXdIdQAQU4aDk4l7NwznL","italian hip hop","italian pop","rome indie",NA
"61","The Great War","Taylor Swift","Midnights (3am Edition)",2022,"Autumn",78,0.219,0.573,0.741,2.23e-05,0.0842,-8.987,0.0353,96.016,"5","1",240355,0.554,"4","3UMrglJeju5yWyYIW6o99b","pop",NA,NA,NA
"62","L'ultima notte","ARIETE","L'ultima notte",2021,"Spring",65,0.268,0.618,0.687,0,0.126,-5.603,0.0446,94.037,"2","1",157566,0.398,"4","63mdY4U0KvnbMkUEc7FHN8","italian hip hop","italian pop","rome indie",NA
"63","Walking in the Wind","One Direction","Made In The A.M. (Deluxe Edition)",2015,"Autumn",68,0.0829,0.687,0.447,0,0.0878,-6.586,0.0486,114.578,"8","1",202640,0.501,"4","1ZycJRpLOazlLcoFGxGROO","boy band","pop","post-teen pop","talent show"
"64","Ferma A Guardare (feat. Pinguini Tattici Nucleari)","Ernia","Gemelli",2021,"Winter",68,0.445,0.585,0.724,0,0.1,-5.611,0.0967,162.05,"9","0",213542,0.547,"4","1eDC4NiUYgQSKpKDIvXxi4","italian hip hop","italian pop","milan indie",NA
"65","Cruel Summer","Taylor Swift","Lover",2019,"Summer",100,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,"9","1",178426,0.564,"4","1BxfuPKGuaTgP7aM0Bbdwr","pop",NA,NA,NA
"66","UMORE (feat. ARIETE)","PSICOLOGI","TRAUMA",2022,"Spring",52,0.149,0.657,0.752,0,0.121,-7.239,0.0978,88.962,"9","1",156952,0.614,"4","5AYkL6iVkGwli8di1NrC3K","italian hip hop","italian pop","rome indie",NA
"67","Ready to Run","One Direction","FOUR (Deluxe)",2014,"Autumn",65,0.00229,0.524,0.831,0,0.171,-4.174,0.036,115.067,"2","1",196053,0.299,"4","7GtGeeChOx4NS77bqK8SUx","boy band","pop","post-teen pop","talent show"
"68","Pompeii","Bastille","All This Bad Blood",2013,"Winter",78,0.0755,0.679,0.715,0,0.271,-6.383,0.0407,127.435,"9","1",214147,0.571,"4","4Ub8UsjWuewQrPhuepfVpd","metropopolis","modern rock","pop",NA
"69","Red (Taylor's Version)","Taylor Swift","Red (Taylor's Version)",2021,"Autumn",81,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,"1","0",223093,0.408,"4","4OAuvHryIVv4kMDNSLuPt6","pop",NA,NA,NA
"70","Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU",2022,"Spring",60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,"8","1",171437,0.705,"4","4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese",NA
"71","Fool's Gold","One Direction","FOUR (Deluxe)",2014,"Autumn",68,0.23,0.515,0.773,1.29e-06,0.0938,-4.848,0.0479,128.001,"6","1",210893,0.379,"4","0L5gFNrzHyh4OhMwEz6DGS","boy band","pop","post-teen pop","talent show"
"72","Pastello Bianco","Pinguini Tattici Nucleari","AHIA!",2020,"Winter",71,0.451,0.546,0.652,0,0.123,-3.852,0.0339,139.875,"0","1",236417,0.378,"4","0bKDQionn4VKcgNKbs4SWX","bergamo indie","italian indie pop","italian pop","milan indie"
"73","Clean","Taylor Swift","1989 (Deluxe)",2014,"Winter",73,0.232,0.815,0.377,0,0.1,-7.754,0.0346,103.97,"4","1",271000,0.211,"4","1NmVZsG18CzCAtw7rnV3yA","pop",NA,NA,NA
"74","8 miliardi di persone","Frah Quintale","Regardez moi",2017,"Autumn",66,0.546,0.63,0.824,0,0.107,-5.107,0.269,130.527,"0","1",223384,0.38,"4","6mA9cV0ti1IICSv3Wb0rSt","italian hip hop","italian indie pop","italian pop","milan indie"
"75","SPENSIERATEZZA","PSICOLOGI","MILLENNIUM BUG",2020,"Summer",51,0.559,0.408,0.603,0,0.111,-7.42,0.329,86.462,"4","1",169715,0.131,"4","2DzJYaFlsNdpmfoHMYecZ4","italian hip hop","italian pop","rome indie",NA
"76","Bagatelle","Pinguini Tattici Nucleari","Il Re è nudo",2014,"Summer",50,0.0871,0.538,0.675,0,0.173,-7.452,0.0412,125.084,"4","1",251917,0.578,"4","6PTxwEyZm0lI4nR970KPsz","bergamo indie","italian indie pop","italian pop","milan indie"
"77","exile (feat. Bon Iver)","Taylor Swift","folklore",2020,"Summer",83,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,"6","1",285634,0.152,"4","4pvb0WLRcMtbPGmtejJJ6y","pop",NA,NA,NA
"78","Everybody Talks","Neon Trees","Picture Show",2012,"Winter",81,0.00301,0.471,0.924,0,0.313,-3.906,0.0586,154.961,"8","1",177280,0.725,"4","2iUmqdfGZcHIhS3b9E9EWq","modern rock","neo mellow","pop rock","pov: indie"
"79","Night Changes","One Direction","FOUR (Deluxe)",2014,"Autumn",89,0.859,0.672,0.52,0,0.115,-7.747,0.0353,120.001,"8","1",226600,0.37,"4","5O2P9iiztwhomNh8xkR9lJ","boy band","pop","post-teen pop","talent show"
"80","Sciare","Pinguini Tattici Nucleari","Gioventù brucata",2017,"Spring",50,0.361,0.678,0.862,7.56e-06,0.267,-5.878,0.0343,109.964,"9","1",281293,0.639,"4","3V9aCzb0dOvuLHRerJ8sJI","bergamo indie","italian indie pop","italian pop","milan indie"
"81","Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift","Mr. Perfectly Fine (Taylor’s Version) (From The Vault)",2021,"Spring",77,0.167,0.661,0.819,0,0.0647,-6.269,0.0519,135.937,"11","0",277591,0.724,"4","7l2tmgUhV7Y2aJHjiszifg","pop",NA,NA,NA
"82","stupido clark kent","rovere","ultima stagione",2019,"Autumn",28,0.00317,0.714,0.822,4.73e-05,0.238,-6.593,0.0348,104.005,"7","1",216546,0.565,"4","3Vz0esG1pIfIIF56JecfR9","italian indie pop",NA,NA,NA
"83","Half a Heart","One Direction","Midnight Memories (Deluxe)",2013,"Autumn",66,0.286,0.515,0.714,0,0.118,-4.516,0.0348,155.954,"0","1",188546,0.495,"4","6nIE1oCE4udqMGv3bqVNVb","boy band","pop","post-teen pop","talent show"
"84","Gaetano","Calcutta ","Mainstream (Deluxe Edition)",2016,"Summer",64,0.752,0.609,0.483,3.96e-06,0.264,-7.778,0.0287,139.908,"0","1",242320,0.254,"4","48Nh04YgUsE4b5V3y9sIdD","italian adult pop","italian pop","rome indie",NA
"85","Death By A Thousand Cuts","Taylor Swift","Lover",2019,"Summer",80,0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,"4","1",198533,0.313,"4","2dgFqt3w9xIQRjhPtwNk3D","pop",NA,NA,NA
"86","tadb","rovere","disponibile anche in mogano",2019,"Spring",42,0.0289,0.551,0.667,0,0.0859,-4.884,0.0958,200.064,"1","0",189745,0.699,"4","3q6CTHUI3qjRkq0YqosAdt","italian indie pop",NA,NA,NA
"87","Photograph","Ed Sheeran","x (Deluxe Edition)",2014,"Summer",87,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,"4","1",258986,0.201,"4","1HNkqx9Ahdgi1Ixy2xkKkL","pop","singer-songwriter pop","uk pop",NA
"88","STOCCOLMA","Still Charles","STOCCOLMA",2022,"Summer",38,0.0705,0.544,0.878,0,0.0736,-7.448,0.11,158.12,"4","1",185644,0.777,"4","2YbyAH03K37nF4fOnOGkIo","emo trap italiana",NA,NA,NA
"89","cardigan","Taylor Swift","folklore",2020,"Summer",91,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,"0","0",239560,0.551,"4","4R2kfaDFhslZEMJqAFNpdd","pop",NA,NA,NA
"90","Right Now","One Direction","Midnight Memories (Deluxe)",2013,"Autumn",82,0.218,0.645,0.78,0,0.0919,-5.165,0.0319,120.008,"8","1",200400,0.372,"4","1dQQ2QlnvXUehsRUrukKmf","boy band","pop","post-teen pop","talent show"
"91","NUOVO RANGE (con SFERA EBBASTA)","Rkomi","TAXI DRIVER",2021,"Autumn",69,0.233,0.68,0.76,0,0.13,-4.866,0.0556,82.54,"1","0",176772,0.709,"4","5YSR0sWUZk7NuIbkycxndu","italian hip hop","italian pop",NA,NA
"92","24/7","Tear&Drugz","24/7",2022,"Spring",26,0.0293,0.618,0.744,0,0.0809,-5.474,0.107,80.082,"7","1",139562,0.636,"4","032zxhpUSSgQMrHiplLHlY",NA,NA,NA,NA
"93","Come Back...Be Here (Taylor's Version)","Taylor Swift","Red (Taylor's Version)",2021,"Autumn",74,0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,"4","1",223333,0.399,"4","4pNApnaUWAL2J4KO2eqokq","pop",NA,NA,NA
"94","Poetica","Cesare Cremonini","Possibili Scenari",2017,"Autumn",61,0.014,0.393,0.607,0,0.0721,-6.569,0.0339,139.807,"7","1",293960,0.202,"3","07qo9gnLM488CUr0EtgIA1","italian adult pop","italian pop",NA,NA
"95","Amarsi Male","Lo Stato Sociale","Amore, Lavoro E Altri Miti Da Sfatare",2017,"Spring",44,0.0189,0.536,0.879,0.0361,0.682,-4.162,0.0361,190.063,"10","1",257906,0.884,"4","2Ros2t8vJWm9okVWJCvvZB","italian adult pop","italian alternative","italian indie pop","italian pop"
"96","ESAGERATA","Tananai","ESAGERATA",2021,"Winter",43,0.0233,0.753,0.65,9.57e-05,0.104,-5.337,0.0545,115.013,"0","1",198782,0.407,"4","6yRqZK6gIT3zVu3y5JPcaF","italian pop",NA,NA,NA
"97","this is me trying","Taylor Swift","folklore",2020,"Summer",80,0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,"9","1",195097,0.412,"4","7kt9e9LFSpN1zQtYEl19o1","pop",NA,NA,NA
"98","The One That Got Away","Katy Perry","Teenage Dream",2010,"Summer",70,0.000812,0.691,0.795,1.02e-06,0.156,-4.021,0.0355,133.971,"1","0",227333,0.876,"4","4uQY80TKE1u4ZQZQKHzVEi","pop",NA,NA,NA
"99","No Control","One Direction","FOUR (Deluxe)",2014,"Autumn",72,0.0278,0.558,0.916,0,0.0296,-3.145,0.0839,142.984,"1","0",199720,0.85,"4","4JaLkM90MJutDAl5jD9BZX","boy band","pop","post-teen pop","talent show"
"100","Cold Coffee","Ed Sheeran","Songs I Wrote With Amy",2011,"Winter",42,0.453,0.544,0.529,0,0.131,-6.753,0.0256,92.936,"6","1",254226,0.403,"4","0Qhut5Vj2My3pVxjHdwAAX","pop","singer-songwriter pop","uk pop",NA
"101","Wonderland","Taylor Swift","1989 (Deluxe)",2014,"Winter",74,0.0493,0.422,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,"3","1",245560,0.197,"4","6RvRzl1YJTDnUvdOtV21IK","pop",NA,NA,NA
