"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3"
"11","tutta la città","Joseph","tutta la città",2022,"Spring",18,0.0322,0.589,0.688,0,0.218,-6.313,0.0509,128.873,"10","0",175545,0.445,"4","5jZ3gAws7oYZcJ9e9moN2u","r&b italiano",NA,NA
"12","QUELLE PAROLE","bnkr44","FARSI MALE A NOI VA BENE 2.0",2022,"Spring",45,0.311,0.709,0.788,0,0.116,-6.424,0.193,137.004,"0","0",158470,0.545,"4","44FeZREhPwoT8lYNImkVV6","hyperpop italiano",NA,NA
"13","Photoshop","PZD","Rottami",2022,"Summer",3,0.28,0.384,0.518,1.09e-05,0.223,-7.682,0.3,63.121,"10","1",201857,0.348,"4","502PqSh1Fu2at0XTzh85bl",NA,NA,NA
"14","QUANDO PUOI","Novelo","QUANDO PUOI",2022,"Summer",27,0.222,0.869,0.794,0,0.0467,-6.725,0.236,112.982,"7","1",154012,0.933,"4","3rvL3vz9a9qK6KBeH8ZgOj",NA,NA,NA
"15","Capelli blu","Tenth Sky","Cose stupide",2022,"Spring",18,0.164,0.686,0.597,0,0.328,-8.597,0.15,145.997,"11","1",164807,0.726,"4","2B0EWIxpFfDgiZYqLRS8Bk","emo rap italiano",NA,NA
"16","AMICO DOVE SEI?","Rkomi","TAXI DRIVER",2022,"Winter",27,0.152,0.639,0.58,0,0.0854,-8.088,0.273,110.154,"9","1",133471,0.13,"4","1JzdlnbeGpHDZ0BGuOd36T","italian hip hop","italian pop",NA
"17","Cucinare","PZD","Rottami",2022,"Summer",6,0.862,0.397,0.302,5.32e-06,0.125,-10.902,0.0598,88.967,"0","1",173142,0.209,"4","1s9PU3wdhbxOhGAnda0kDO",NA,NA,NA
"18","AD UN PARTY","PAULO","AD UN PARTY",2020,"Winter",27,0.016,0.601,0.693,1.98e-06,0.0961,-7.263,0.0472,130.097,"3","0",153230,0.178,"4","0WLYQAvtIIPqFK8ol61NXz","emo trap italiana",NA,NA
"19","Demasiadas Mujeres","C. Tangana","El Madrileño",2021,"Winter",77,0.131,0.658,0.453,2e-04,0.0848,-7.378,0.39,126.043,"9","0",153960,0.358,"4","3GaGWoU1KfVqgl7vnRHP55","urbano espanol",NA,NA
"20","Gocce dal cielo","YuzU","Gocce dal cielo",2021,"Spring",1,0.286,0.748,0.285,0.117,0.245,-17.919,0.0475,136.03,"11","1",134116,0.177,"4","1Tb89d1jGGgpQPsCUJItal",NA,NA,NA
"21",".","ATARDE","difetti di forma",2023,"Winter",9,0.798,0.66,0.212,3.28e-06,0.162,-10.819,0.047,144.134,"0","1",98048,0.197,"5","5OQQV0AqyohfKT2CUHIs2t",NA,NA,NA
"22","In piedi","PZD","Rottami",2022,"Summer",7,0.767,0.638,0.359,0,0.176,-10.587,0.0491,85.053,"9","0",183214,0.207,"4","5q3fPjnmt86WCQMNI9kFFr",NA,NA,NA
"23","LUNA STORTA","Anzj","LUNA STORTA",2022,"Autumn",15,0.35,0.579,0.517,0,0.121,-9.296,0.0702,139.86,"1","1",173333,0.151,"4","4US0BuWhHzJhmXhIGUUDn4","emo rap italiano",NA,NA
"24","Arianna","ESSEHO","Arianna",2021,"Winter",24,0.542,0.661,0.733,0,0.104,-5.843,0.117,125.995,"8","1",221904,0.549,"4","1hQjqnuEJiq8GEyjuZWEkP",NA,NA,NA
"25","nastro","ATARDE","difetti di forma",2023,"Winter",14,0.327,0.595,0.5,0,0.151,-6.769,0.0371,140.009,"0","1",211714,0.397,"4","2yLbBxaXcHOSWH1AACeeCQ",NA,NA,NA
"26","Marecittà","BALTIMORA","Marecittà",2022,"Spring",21,0.337,0.732,0.678,0.000791,0.124,-6.055,0.0383,108.021,"2","1",203055,0.21,"4","4dsKdbPdybG4yaQD6Fppz4",NA,NA,NA
"27","Twin Peaks","NIO","Twin Peaks",2022,"Spring",6,0.11,0.705,0.475,0,0.14,-8.252,0.164,138.756,"0","1",130378,0.523,"4","4PgwFeTesVd21JzEDDgOkz",NA,NA,NA
"28","Chimera","PZD","Rottami",2022,"Summer",2,0.0243,0.767,0.454,0,0.0891,-10.778,0.247,104.094,"0","1",154714,0.717,"4","4zIcUtNhDjhXLNRYcuCH7H",NA,NA,NA
