"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"71","Tacones Rojos","Sebastian Yatra","Dharma",2022,"Winter",78,0.062,0.746,0.844,0,0.149,-3.499,0.0359,123.014,"11","0",189333,0.934,"4","6ylDpki1VpIsc525KC1ojF","colombian pop","latin pop","reggaeton","reggaeton colombiano","urbano latino",NA
"72","Mezza siga","Nerone","GEMINI",2019,"Summer",55,0.525,0.785,0.489,0,0.123,-11.172,0.292,132.902,"7","1",166015,0.288,"4","0N258KE4IMjv18ixXQcVgC","italian hip hop",NA,NA,NA,NA,NA
"73","Todo De Ti","Rauw Alejandro","VICE VERSA",2021,"Winter",76,0.302,0.78,0.719,0.000196,0.0931,-3.613,0.0506,127.962,"3","0",199604,0.336,"4","3rdAz1fbUfZxYgaCviYhRo","puerto rican pop","reggaeton","trap latino","urbano latino",NA,NA
"74","Fottiti (feat. Tony Effe)","Bresh","ORO BLU",2022,"Spring",50,0.0821,0.51,0.719,0,0.239,-7.434,0.266,168.032,"1","0",139937,0.601,"4","1J6HctZmOX2JTHlOd1VMpU","italian hip hop","italian pop","rap genovese",NA,NA,NA
"75","Shars 2020","Al Safir","Shars 2020",2020,"Winter",64,0.244,0.772,0.586,1.84e-06,0.0873,-8.506,0.237,95.048,"0","0",185322,0.473,"4","2OazFN4VRGMQe09Z71Yqqa","rap espanol","urbano espanol",NA,NA,NA,NA
"76","BABY GODDAMN","Tananai","BABY GODDAMN",2021,"Spring",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,"10","0",149605,0.885,"4","3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA
"77","Pelele","Morad","Pelele",2021,"Winter",72,0.224,0.83,0.698,0.00065,0.0761,-5.549,0.163,144.929,"1","0",216827,0.825,"4","5h5TUj8pU2WhdSeJx9BnX2","drill espanol","urbano espanol",NA,NA,NA,NA
"78","Mare Mosso - feat. Bresh","Tedua","Vita Vera Mixtape",2020,"Summer",47,0.197,0.428,0.744,0,0.218,-6.299,0.1,85.662,"8","1",233215,0.567,"4","4oU7UcbiSaxbU8xQqGdvwS","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA
"79","Tiroteo - Remix","Marc Seguí","Tiroteo (Remix)",2021,"Spring",83,0.282,0.75,0.522,0,0.0743,-7.018,0.0293,110.427,"9","1",321555,0.601,"4","4OwhwvKESFtuu06dTgct7i","spanish pop",NA,NA,NA,NA,NA
"80","TROIA (feat. J Lord)","Massimo Pericolo","SOLO TUTTO",2021,"Spring",54,0.359,0.564,0.708,0,0.139,-6.714,0.0893,79.022,"11","0",214785,0.488,"4","7tZ3j6ftRvAWfuMLrOVEfr","italian hip hop","trap metal italiana",NA,NA,NA,NA
"81","Inverno","Fr721 X Edo721","DCCXXI",2019,"Winter",10,0.48,0.781,0.69,0,0.337,-9.417,0.141,130.029,"0","1",230769,0.585,"4","5OoTl3scT9FPzFZiW2pdum",NA,NA,NA,NA,NA,NA
"82","Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti",2022,"Spring",87,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,"5","0",243716,0.187,"4","1IHWl5LamUGEuP4ozKQSXZ","reggaeton","trap latino","urbano latino",NA,NA,NA
"83","Te Felicito","Shakira","Te Felicito",2022,"Spring",82,0.234,0.695,0.636,0,0.081,-4.654,0.317,174.14,"5","1",172235,0.575,"4","2rurDawMfoKP4uHyb2kJBt","colombian pop","dance pop","latin pop","pop",NA,NA
"84","Con me","Izi","Fenice",2016,"Spring",39,0.0454,0.709,0.816,0,0.117,-6.248,0.146,122.207,"11","0",228573,0.551,"4","54BDrAesThB9j8fI1rxRsL","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA
"85","Stay Away (feat. Ketama126, Side Baby & Franco126)","Night Skinny","Mattoni",2019,"Autumn",57,0.219,0.65,0.521,0,0.134,-10.012,0.0893,180.086,"6","1",216000,0.574,"4","6oZJl2T2hdHnMYcZR6VJGb","italian hip hop","rap siciliano","trap italiana",NA,NA,NA
"86","Morad: Bzrp Music Sessions, Vol. 47","Bizarrap","Morad: Bzrp Music Sessions, Vol. 47",2021,"Winter",70,0.468,0.77,0.859,0.00339,0.103,-4.526,0.0429,122.042,"0","0",177583,0.548,"4","39yyHtQ4tkjZzd8TfIBKQw","argentine hip hop","pop venezolano","trap argentino","trap latino","urbano latino",NA
"87","Fiel - Remix","Wisin","Fiel (Remix)",2021,"Summer",68,0.398,0.839,0.711,2.02e-06,0.118,-4.733,0.0473,97.99,"6","0",349546,0.573,"4","43qcs9NpJhDxtG91zxFkj7","reggaeton","urbano latino",NA,NA,NA,NA
"88","Cayó La Noche","La Pantera","Cayó La Noche",2021,"Summer",54,0.138,0.768,0.706,2.36e-06,0.0921,-6.487,0.364,173.951,"5","0",215172,0.826,"4","2jeDtqfRAGJb9McjwfXN9I","rap canario",NA,NA,NA,NA,NA
"89","Blu Celeste","BLANCO","Blu Celeste",2021,"Autumn",59,0.921,0.688,0.442,0,0.366,-5.611,0.0354,116.463,"9","1",206379,0.252,"4","0BeXxjO6mgLDzg4xA6UheO","italian hip hop","italian pop",NA,NA,NA,NA
"90","GIRANO - feat. Izi","Bresh","CHE IO MI AIUTI",2020,"Winter",48,0.0435,0.684,0.854,0,0.206,-6.483,0.0521,110.072,"7","0",214037,0.135,"4","0PS1FFCmLVhUyIBm6M7Agi","italian hip hop","italian pop","rap genovese",NA,NA,NA
"91","V12 (feat. Lil Uzi Vert)","iann dior","on to better things",2022,"Winter",51,0.411,0.705,0.681,0,0.121,-3.286,0.148,164.941,"4","0",177835,0.626,"4","4y4Prw5JPDmM6NvtA4VK6g","melodic rap",NA,NA,NA,NA,NA
"92","UOMO A TERRA","Noyz Narcos","VIRUS",2022,"Winter",49,0.0466,0.879,0.785,0,0.223,-4.959,0.268,98.001,"10","0",123061,0.712,"4","3aaxVh7kAA5h5IszxwYjYR","italian hip hop","italian underground hip hop",NA,NA,NA,NA
"93","S4TW","Vaz Tè","VT2M",2020,"Autumn",32,0.0965,0.656,0.56,0,0.189,-7.065,0.11,155.089,"9","0",137806,0.409,"4","6TPZzgIB6Xp1mAYPz3WcNh","italian hip hop","rap genovese","trap italiana",NA,NA,NA
"94","Il meglio di te","Bresh","ORO BLU",2022,"Spring",66,0.104,0.722,0.592,9.89e-06,0.293,-6.161,0.0805,81.989,"4","0",157013,0.552,"4","4544onOpxe51skG7KWeohk","italian hip hop","italian pop","rap genovese",NA,NA,NA
"95","let you","iann dior","on to better things",2022,"Winter",56,0.262,0.598,0.838,0,0.122,-5.513,0.0881,170.191,"7","0",151733,0.704,"4","5bQHJT0MZXTXccO84VpNQP","melodic rap",NA,NA,NA,NA,NA
"96","Bluff","Disme","Malverde",2020,"Winter",40,0.0188,0.657,0.619,0,0.138,-8.115,0.29,93.751,"8","0",179979,0.399,"4","2M1pP4oLfRA8lwzlxu88L8","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA
"97","CRY LATER (feat. Sfera Ebbasta & Luchè)","Noyz Narcos","VIRUS",2022,"Winter",56,0.505,0.703,0.885,0,0.18,-5.277,0.138,92.041,"0","0",174619,0.669,"4","6rY8VQS4hEgdG3OqKd9lBJ","italian hip hop","italian underground hip hop",NA,NA,NA,NA
"98","Efecto","Bad Bunny","Un Verano Sin Ti",2022,"Spring",87,0.141,0.801,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,"7","0",213061,0.234,"4","5Eax0qFko2dh7Rl2lYs3bx","reggaeton","trap latino","urbano latino",NA,NA,NA
"99","I might","iann dior","on to better things",2022,"Winter",40,0.0467,0.727,0.657,0,0.193,-7.186,0.0456,150.051,"8","1",127733,0.423,"4","0CKPcHaoyQIe3kf6bQaF2R","melodic rap",NA,NA,NA,NA,NA
"100","Desesperados","Rauw Alejandro","VICE VERSA",2021,"Winter",82,0.356,0.869,0.694,0.00125,0.0878,-3.35,0.0783,90.02,"1","0",224996,0.511,"4","6mmPpaltUZK7xjNlBPQQ0p","puerto rican pop","reggaeton","trap latino","urbano latino",NA,NA
"101","Bocca Chiusa","SWF","18/19",2020,"Spring",4,0.201,0.734,0.863,0,0.327,-5.707,0.0759,135.069,"0","1",257870,0.656,"4","0Wy21gngR4wYLvuhEEb1qr",NA,NA,NA,NA,NA,NA
