"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3"
"bulbi","ATARDE","bulbi","2021-12-10",162631,30,0.485,0.616,0.582,0,0.353,-6.251,0.0516,97.903,0,1,162631,0.625,4,"6kNdTITP0TrbHzbapseqkN",NA,NA,NA
"La stessa parte della luna","Emma Nolde","Dormi","2022-09-30",257079,23,0.731,0.406,0.496,2.89e-06,0.0951,-6.775,0.033,108.015,2,1,257079,0.0977,4,"75Sxtpf4qJLqtpeDiZqXWa","italian alternative","italian indie pop",NA
"Colore","BALTIMORA","Marecittà","2022-03-11",206022,25,0.62,0.604,0.395,0,0.497,-9.043,0.062,98.955,8,0,206022,0.254,3,"62gnsBKRg5EyXPfDvDWWMZ",NA,NA,NA
"Segni (feat. Axos)","NIO","QUATTROMURA","2022-06-23",188205,17,0.241,0.801,0.545,0.000952,0.106,-8.644,0.212,115.028,5,0,188205,0.897,4,"75rK4JtGh6cjOkseBjsA9i",NA,NA,NA
"Outro","PZD","Rottami","2022-06-16",169714,3,0.403,0.779,0.626,0.0413,0.108,-9.339,0.0437,105.026,9,1,169714,0.204,4,"5LqKPTdMxoVK38OzhuwR0S",NA,NA,NA
"FIORI MORTI","PSICOLOGI","TRAUMA","2022-04-28",136313,52,0.12,0.46,0.76,0,0.261,-5.729,0.131,175.968,1,1,136313,0.642,4,"0Yoizi4nA5CE4d52jRwvld","italian hip hop","italian pop","rome indie"
"Sempre il buio","Mecna","Sempre il buio","2022-05-10",215846,36,0.223,0.577,0.471,0.000102,0.141,-9.72,0.112,130.427,11,0,215846,0.337,4,"4HWl863PEnEfKfBfYydQxl","italian hip hop","r&b italiano",NA
"Aria","Elex","Aria","2022-10-14",216000,4,0.0832,0.558,0.703,0,0.286,-6.085,0.035,129.978,2,0,216000,0.119,4,"0BjZnI20OPKVoefzL1Hejj",NA,NA,NA
"Solitudine","Oh Baro","Solitudine","2021-04-12",142968,32,0.807,0.773,0.423,0,0.0919,-9.314,0.0686,119.999,1,0,142968,0.442,4,"39ahaR5ICoynut00CJRcfI",NA,NA,NA
"rooftop","ATARDE","difetti di forma","2023-01-18",164614,15,0.348,0.742,0.671,0,0.19,-7.153,0.0653,104.032,1,1,164614,0.463,4,"5BPtprt4heBDwHLC2jDTuq",NA,NA,NA
"Settimane (feat. European Vampire)","Bartolini","Bart Forever","2022-06-10",195990,10,0.422,0.496,0.799,0,0.313,-6.736,0.19,180.201,6,1,195990,0.569,4,"3f29D2CQlRRGeoLZ4DZfI2","italian indie pop",NA,NA
"Andrea","Bresh","Andrea","2022-02-18",185125,47,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,11,0,185125,0.325,3,"03j2Lo97VCDprSk8oLb8Gi","italian hip hop","italian pop","rap genovese"
"Maria (feat. Tredici Pietro)","CanovA","Level One","2022-07-15",127278,28,0.152,0.824,0.697,0,0.103,-4.869,0.113,93.987,7,1,127278,0.634,4,"6DI4rEuh4WRwRsn4D8DWLN","italian pop",NA,NA
"Asfalto bollente","PZD","Rottami","2022-06-16",178285,7,0.381,0.795,0.582,5.8e-06,0.148,-11.034,0.152,120.063,9,0,178285,0.382,4,"7Kh7IgpIB0wcPWUbm56qhH",NA,NA,NA
"Quello Che Manca (con Rkomi)","Elisa","Ritorno Al Futuro / Back To The Future","2022-05-05",210366,40,0.272,0.617,0.682,5.48e-06,0.265,-7.86,0.0358,150.002,8,1,210366,0.399,4,"78iKbOo1k73BkHpKioJ49z","italian adult pop","italian pop",NA
"ACQUA (feat. BLUEM & Quentin40)","Fuera","CIRCO MEZZALUNA","2022-05-27",217450,30,0.675,0.612,0.543,3.76e-05,0.124,-9.951,0.16,156.97,9,1,217450,0.429,4,"5IeGfbLsgDiM3LR1LM5Hse","italian indie pop",NA,NA
"Fiumi di lacrime","Ganzo","San Castrese","2022-04-29",179435,35,0.261,0.689,0.684,0,0.107,-5.331,0.0481,123.909,9,1,179435,0.523,4,"07Udcg18l3O10CORM1HaJG","r&b italiano",NA,NA
"Noel","Baobab!","Baobab!","2022-03-04",232012,11,0.0673,0.625,0.769,0.00223,0.123,-3.679,0.0322,115.048,9,1,232012,0.482,4,"5OGxg6dODpjX5OTv0bG5F7",NA,NA,NA
"salvare","Joseph","salvare","2022-09-20",184421,29,0.209,0.576,0.783,0,0.0838,-4.931,0.0689,95.266,7,0,184421,0.565,4,"4jQCFTq0WPVBHayDkgzIFf","r&b italiano",NA,NA
"Fidati di me","Mida","Fidati di me","2022-07-22",132750,43,0.0767,0.606,0.677,0,0.264,-6.589,0.145,135.172,0,0,132750,0.646,4,"23buzayn9V9AoQWnlI08GQ","trap italiana",NA,NA
"Sottomarca","PZD","Rottami","2022-06-16",149142,4,0.286,0.756,0.626,0,0.346,-7.657,0.0406,100.018,2,1,149142,0.311,4,"4umejNujQo2vsZMjmQUHSX",NA,NA,NA
"In centro","YuzU","In centro","2021-05-14",166352,1,0.502,0.717,0.617,0.903,0.18,-12.988,0.0787,121.918,11,1,166352,0.378,4,"3x5LK0QKoa5MeAsErVzzhs",NA,NA,NA
