"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Patatine","Dargen D'Amico","NEI SOGNI NESSUNO È MONOGAMO","2022-03-03",187263,48,0.545,0.583,0.674,0,0.144,-6.421,0.202,95.286,7,1,187263,0.489,4,"4F7jDMyiMiRpnAPS08KrxN","italian adult pop","italian hip hop","italian pop","milan indie","r&b italiano",NA,NA,NA,NA,NA
"Cornutone","Squallor","Mutando","1981",252560,42,0.226,0.713,0.597,0,0.183,-10.256,0.0541,118.114,7,1,252560,0.778,4,"5FK9QdVXh9kcxsyj6bMABU","cartoni animati",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumando Cazzi Freestyle","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",200666,13,0.00639,0.539,0.656,0.115,0.136,-6.19,0.0983,89.85,11,1,200666,0.332,4,"0vdyfVxW89dYhiS22oy8Qt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deeper","Freddie Gibbs","Piñata","2014-03-18",199053,52,0.261,0.388,0.79,0,0.464,-8.336,0.38,180.392,1,1,199053,0.721,4,"2uB9gUU1HLnHckvK2tylJM","alternative hip hop","hip hop","indiana hip hop","rap","underground hip hop",NA,NA,NA,NA,NA
"Italiani mambo","Sergio Caputo","Cocktail","1998-02-26",263240,13,0.0201,0.71,0.651,2.38e-05,0.102,-11.788,0.0857,93.73,2,1,263240,0.567,4,"7E9YRYdjE2GeYhqhz4BMCg","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martire","Tommy Toxxic","Ghost","2019-06-18",97848,10,0.452,0.487,0.521,0.000117,0.111,-6.934,0.109,126.883,8,1,97848,0.0655,4,"3xZtixc07KhWUvPJeSnCJ1","emo rap italiano","hyperpop italiano","trap italiana",NA,NA,NA,NA,NA,NA,NA
"Scherzo (feat. Massimo Pericolo)","Generic Animal","Presto","2020-02-20",227280,33,0.276,0.628,0.43,0,0.658,-7.471,0.0992,113.478,2,1,227280,0.155,5,"54MrGDkliLlPMhqPxaliRC","emo rap italiano","indie rock italiano","italian alternative","italian indie pop","milan indie","r&b italiano",NA,NA,NA,NA
"Night","Sergio Caputo","Un Sabato Italiano","1983-01-01",219093,29,0.346,0.653,0.357,0,0.125,-18.381,0.102,107.81,9,0,219093,0.793,4,"74AkmTTh1JcLu94LKgXGS2","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uffa","20025xs","Idols","2021-01-21",178211,11,0.0857,0.821,0.855,0.277,0.0636,-8.743,0.133,150.025,9,1,178211,0.88,4,"56MrstgwmPcSpfM4DrESnh","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Place To Be","Nick Drake","Pink Moon","1972-02-25",160925,63,0.865,0.547,0.38,0.152,0.107,-9.521,0.0282,83.579,5,1,160925,0.395,4,"5QUeSXjTMHbq1fW5da2waF","british folk","folk","melancholia","singer-songwriter",NA,NA,NA,NA,NA,NA
"Next Level Charli","Charli XCX","Charli","2019-09-13",157626,50,0.0961,0.536,0.847,0,0.0837,-3.421,0.0323,150.043,2,1,157626,0.215,4,"7a6HVxpLhW7hRL9JcFZl16","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"Dog Walk (Intermission)","Yung Lean","Unknown Memory","2014-10-23",66773,34,0.148,0.931,0.547,0.884,0.112,-10.644,0.298,115.054,11,0,66773,0.912,4,"402ezdP2G8HfXFTs0njdQR","cloud rap","psychedelic hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA
